"grade","city","n","area_km2","pct_area","km_out","total","black","pct_black"
"A","Cleveland",31,34.51,11.44,12.38,79609,16918,21.25
"B","Cleveland",55,68.62,22.76,12.19,156981,54381,34.64
"C","Cleveland",76,143.01,47.42,11.44,320119,117653,36.75
"D","Cleveland",28,55.42,18.38,7.78,100969,68775,68.11
"A","Philadelphia",10,37.27,14.7,5.83,97336,39645,40.73
"B","Philadelphia",28,97.47,38.43,7.92,468917,195512,41.69
"C","Philadelphia",18,50.38,19.86,8.52,313165,169680,54.18
"D","Philadelphia",26,68.5,27.01,7.15,548467,188344,34.34
