city,a_tracts,d_tracts,a_pop,d_pop,a_pct_black,d_pct_black,gap
Cleveland,25,47,79609,100969,21.3,68.1,46.9
Pontiac,1,4,3542,16743,32.1,71.0,39.0
Decatur,1,4,2136,8047,19.4,54.8,35.4
Toledo,3,4,10035,6240,6.6,40.5,33.9
Greater Kansas City,5,34,17537,86408,4.0,37.7,33.6
St. Louis,15,17,62362,48757,14.0,47.6,33.6
Chicago,18,249,79779,720396,3.2,36.6,33.4
Pittsburgh,7,43,26590,97491,4.2,34.1,29.9
Dayton,6,8,20686,17080,24.0,52.3,28.3
Columbus,12,12,42776,32723,11.7,32.1,20.5
Oakland,12,41,43920,161665,4.3,22.8,18.5
York,2,2,8015,6253,11.2,28.1,16.9
Lansing,1,1,4560,2864,3.3,20.1,16.8
Erie,1,3,3709,10618,2.3,18.1,15.8
Grand Rapids,2,6,7603,16968,10.2,22.8,12.6
Youngstown,4,10,9086,21731,31.2,42.8,11.6
Springfield,2,12,6959,32855,10.7,22.1,11.4
San Diego,9,34,29614,145289,1.2,12.5,11.2
Fresno,1,3,4062,14248,3.5,14.4,10.9
Allentown,6,1,30380,2324,11.8,22.5,10.7
Akron,7,7,24096,14200,19.1,29.0,9.9
Jackson,1,3,4396,7807,7.4,17.1,9.7
Sacramento,2,6,7272,11442,1.1,9.2,8.0
San Francisco,4,50,13009,182083,0.9,7.3,6.4
Bay City,1,5,3296,16408,2.2,3.4,1.2
Los Angeles,47,293,168720,1159632,7.8,8.4,0.6
Bethlehem,1,1,3386,3877,5.9,5.9,-0.0
San Jose,1,6,3728,29341,5.4,3.7,-1.7
Detroit,22,102,82787,251281,46.8,43.9,-3.0
Canton,1,1,3278,2884,15.2,11.7,-3.5
Stockton,1,6,5750,26692,11.5,6.3,-5.2
Philadelphia,28,138,97336,548467,40.7,34.3,-6.4
Joliet,2,1,6265,3040,16.0,6.3,-9.6
