"city","GEOID","in_csv","centre_grade","modal_grade","dom_share","own_share","graded","pA","pB","pC","pD","pU"
"Cleveland","39035101201",0,"","D",87.01,NA,61.3,0,0,7.96,53.34,38.7
"Cleveland","39035101400",0,"","C",100,NA,47.21,0,0,47.21,0,52.79
"Cleveland","39035103602",0,"","D",90.69,NA,30.83,0,0,2.87,27.96,69.17
"Cleveland","39035103800",0,"","C",90.41,NA,85.87,0,0,77.63,8.23,14.13
"Cleveland","39035104400",0,"","D",100,NA,57.25,0,0,0,57.25,42.75
"Cleveland","39035104800",0,"","D",99.73,NA,18.72,0,0,0.05,18.67,81.28
"Cleveland","39035105100",0,"","C",100,NA,32.84,0,0,32.84,0,67.16
"Cleveland","39035105602",0,"","C",93.5,NA,42.47,0,0,39.72,2.76,57.53
"Cleveland","39035107000",0,"","C",93.26,NA,10.24,0,0.69,9.55,0,89.76
"Cleveland","39035107701",0,"","D",100,NA,11.26,0,0,0,11.26,88.74
"Cleveland","39035108201",0,"","D",100,NA,22.45,0,0,0,22.45,77.55
"Cleveland","39035110901",0,"","D",100,NA,34.56,0,0,0,34.55,65.44
"Cleveland","39035111202",0,"","D",87.99,NA,14.81,0,0.49,1.29,13.04,85.19
"Cleveland","39035114501",0,"","D",99.78,NA,50.45,0,0,0.11,50.34,49.55
"Cleveland","39035115700",0,"","D",100,NA,53.96,0,0,0,53.96,46.04
"Cleveland","39035115800",0,"","D",99.93,NA,73.48,0,0,0.05,73.43,26.52
"Cleveland","39035116600",0,"","D",51.88,NA,79.65,0,0,38.33,41.32,20.35
"Cleveland","39035117201",0,"","C",96.66,NA,50.02,0,1.67,48.36,0,49.98
"Cleveland","39035117900",0,"","C",100,NA,58.35,0,0,58.35,0,41.65
"Cleveland","39035123602",0,"","B",39.85,NA,32.55,9.13,12.97,10.45,0,67.45
"Cleveland","39035123700",0,"","C",94.79,NA,41.09,0,2.14,38.95,0,58.91
"Cleveland","39035124201",0,"","C",89.48,NA,43.34,0,4.56,38.78,0,56.66
"Cleveland","39035126100",0,"","C",99.43,NA,28.3,0,0.16,28.14,0,71.7
"Cleveland","39035130104",0,"","B",81.07,NA,46.12,8.73,37.39,0,0,53.88
"Cleveland","39035131103",0,"","A",96.43,NA,0.56,0.54,0.02,0,0,99.44
"Cleveland","39035131105",0,"","A",100,NA,0.33,0.33,0,0,0,99.67
"Cleveland","39035132100",0,"","C",69.29,NA,70.67,0,21.7,48.97,0,29.33
"Cleveland","39035132301",0,"","C",100,NA,32.44,0,0,32.44,0,67.56
"Cleveland","39035133103",0,"","C",100,NA,0.08,0,0,0.08,0,99.92
"Cleveland","39035134203",0,"","C",100,NA,2.31,0,0,2.31,0,97.69
"Cleveland","39035134204",0,"","C",64.01,NA,78.47,0,20.32,50.23,7.92,21.53
"Cleveland","39035134205",0,"","C",100,NA,7.73,0,0,7.73,0,92.27
"Cleveland","39035134206",0,"","C",88.89,NA,31.79,0,3.53,28.25,0,68.21
"Cleveland","39035134300",0,"","C",58.71,NA,66.48,0,20.97,39.03,6.48,33.52
"Cleveland","39035137101",0,"","D",91.89,NA,0.38,0,0,0.03,0.34,99.62
"Cleveland","39035137102",0,"","C",59.34,NA,0.91,0,0.37,0.54,0,99.09
"Cleveland","39035137103",0,"","C",100,NA,15.8,0,0,15.8,0,84.2
"Cleveland","39035138105",0,"","C",100,NA,0.12,0,0,0.12,0,99.88
"Cleveland","39035141000",0,"","C",100,NA,23.23,0,0,23.23,0,76.77
"Cleveland","39035151200",0,"","C",77.82,NA,45.85,0,10.17,35.68,0,54.15
"Cleveland","39035152301",0,"","B",99.04,NA,23.88,0,23.65,0.23,0,76.12
"Cleveland","39035152303",0,"","C",94.68,NA,30.28,0,1.61,28.66,0,69.72
"Cleveland","39035152605",0,"","C",70.64,NA,49.53,0,14.54,34.99,0,50.47
"Cleveland","39035152701",0,"","C",100,NA,46.56,0,0,46.56,0,53.44
"Cleveland","39035152702",0,"","B",74.6,NA,38.74,0,28.9,9.84,0,61.26
"Cleveland","39035153107",0,"","A",62.92,NA,16.98,10.69,6.3,0,0,83.02
"Cleveland","39035154200",0,"","C",50.4,NA,38.89,0,19.29,19.6,0,61.11
"Cleveland","39035154400",0,"","C",95.95,NA,38.79,0,0.81,37.22,0.76,61.21
"Cleveland","39035155102",0,"","C",100,NA,2.75,0,0,2.75,0,97.25
"Cleveland","39035160602",0,"","C",74.65,NA,71.79,0,18.2,53.59,0,28.21
"Cleveland","39035170201",0,"","A",50.08,NA,25.04,12.54,1.66,10.84,0,74.96
"Cleveland","39035170202",0,"","C",100,NA,46.68,0,0,46.68,0,53.32
"Cleveland","39035171203",0,"","C",100,NA,53.92,0,0,53.92,0,46.08
"Cleveland","39035171204",0,"","C",72.89,NA,53.16,0,0,38.75,14.41,46.84
"Cleveland","39035171206",0,"","C",100,NA,54.52,0,0,54.52,0,45.48
"Cleveland","39035173104",0,"","D",100,NA,0.02,0,0,0,0.02,99.98
"Cleveland","39035173106",0,"","C",100,NA,12.43,0,0,12.43,0,87.57
"Cleveland","39035173107",0,"","C",100,NA,15.37,0,0,15.37,0,84.63
"Cleveland","39035174107",0,"","C",100,NA,1.15,0,0,1.15,0,98.85
"Cleveland","39035174207",0,"","",0,NA,0,0,0,0,0,100
"Cleveland","39035176200",0,"","C",100,NA,0.6,0,0,0.6,0,99.4
"Cleveland","39035177101",0,"","A",100,NA,0.17,0.17,0,0,0,99.83
"Cleveland","39035177304",0,"","C",100,NA,37.77,0,0,37.77,0,62.23
"Cleveland","39035177503",0,"","C",100,NA,5.78,0,0,5.78,0,94.22
"Cleveland","39035177504",0,"","C",100,NA,20.49,0,0,20.49,0,79.51
"Cleveland","39035178101",0,"","C",100,NA,4.11,0,0,4.11,0,95.89
"Cleveland","39035178102",0,"","B",72.41,NA,39.83,9,28.84,1.99,0,60.17
"Cleveland","39035178204",0,"","C",100,NA,0.28,0,0,0.28,0,99.72
"Cleveland","39035178205",0,"","C",100,NA,49.52,0,0,49.52,0,50.48
"Cleveland","39035180103",0,"","C",64.71,NA,0.17,0,0.06,0.11,0,99.83
"Cleveland","39035181201",0,"","B",92.86,NA,6.17,0.24,5.72,0.2,0,93.83
"Cleveland","39035183501",0,"","A",100,NA,62.29,62.29,0,0,0,37.71
"Cleveland","39035184103",0,"","C",100,NA,3.69,0,0,3.69,0,96.31
"Cleveland","39035184104",0,"","C",100,NA,7.57,0,0,7.57,0,92.43
"Cleveland","39035184108",0,"","C",100,NA,0.53,0,0,0.53,0,99.47
"Cleveland","39035185101",0,"","B",100,NA,1.64,0,1.64,0,0,98.36
"Cleveland","39035185202",0,"","B",82.3,NA,67.52,0,55.57,11.95,0,32.48
"Cleveland","39035187106",0,"","A",94.8,NA,12.11,11.48,0.63,0,0,87.89
"Cleveland","39035188103",0,"","B",100,NA,1.17,0,1.17,0,0,98.83
"Cleveland","39035189105",0,"","B",100,NA,1.38,0,1.38,0,0,98.62
"Cleveland","39035189107",0,"","C",100,NA,0.04,0,0,0.04,0,99.96
"Cleveland","39035189110",0,"","B",100,NA,1.11,0,1.11,0,0,98.89
"Cleveland","39035190502",0,"","C",100,NA,0.23,0,0,0.23,0,99.77
"Cleveland","39035192300",0,"","",0,NA,0,0,0,0,0,100
"Cleveland","39035192900",0,"","C",100,NA,0.03,0,0,0.03,0,99.97
"Cleveland","39035194100",0,"","C",100,NA,0.12,0,0,0.12,0,99.88
"Cleveland","39035194300",0,"","C",100,NA,0.16,0,0,0.16,0,99.84
"Cleveland","39035195600",0,"","C",100,NA,4.33,0,0,4.33,0,95.67
"Cleveland","39035195700",0,"","C",72.99,NA,7.32,0,0,5.35,1.98,92.68
"Cleveland","39035195800",0,"","C",100,NA,0.06,0,0,0.06,0,99.94
"Cleveland","39035196100",0,"","C",84.12,NA,11.27,0,0,9.48,1.79,88.73
"Cleveland","39035196300",0,"","C",100,NA,0.1,0,0,0.1,0,99.9
"Cleveland","39035197000",0,"","C",100,NA,0.32,0,0,0.32,0,99.68
"Cleveland","39035197300",0,"","C",66.63,NA,67.16,0,0,44.74,22.41,32.84
"Cleveland","39035197700",0,"","D",76.24,NA,69.65,0,0,16.55,53.1,30.35
"Cleveland","39035198400",0,"","D",100,NA,71.18,0,0,0,71.18,28.82
"Cleveland","39035980100",0,"","D",100,NA,6.28,0,0,0,6.28,93.72
"Cleveland","39035980200",0,"","B",73.91,NA,0.69,0,0.51,0.18,0,99.31
"Cleveland","39035980500",0,"","C",100,NA,9.23,0,0,9.23,0,90.77
"Cleveland","39035980900",0,"","D",93.5,NA,18.29,0,0,1.19,17.11,81.71
"Cleveland","39035981100",0,"","C",100,NA,0.46,0,0,0.46,0,99.54
"Cleveland","39055311700",0,"","C",100,NA,0.07,0,0,0.07,0,99.93
"Cleveland","39085200500",0,"","B",100,NA,0.38,0,0.38,0,0,99.62
"Cleveland","39085200600",0,"","B",100,NA,1.42,0,1.42,0,0,98.58
"Cleveland","39085200900",0,"","B",100,NA,0.16,0,0.16,0,0,99.84
"Cleveland","39035183100",1,"A","A",100,100,76.59,76.59,0,0,0,23.41
"Cleveland","39035183300",1,"A","A",100,100,92.12,92.12,0,0,0,7.88
"Cleveland","39035183604",1,"A","A",100,100,100,100,0,0,0,0
"Cleveland","39035183401",1,"A","A",99.99,99.99,84.88,84.87,0.01,0,0,15.12
"Cleveland","39035183502",1,"A","A",99.98,99.98,91.86,91.84,0.02,0,0,8.14
"Cleveland","39035183605",1,"A","A",99.76,99.76,91.41,91.2,0.22,0,0,8.59
"Cleveland","39035183200",1,"A","A",99.52,99.52,77.78,77.41,0.37,0,0,22.22
"Cleveland","39035187105",1,"A","A",98.91,98.91,76.18,75.36,0.83,0,0,23.82
"Cleveland","39035183606",1,"A","A",98.9,98.9,100,98.9,1.1,0,0,0
"Cleveland","39035181100",1,"A","A",80.9,80.9,46.87,37.92,6.11,2.84,0,53.13
"Cleveland","39035196000",1,"A","A",79.31,79.31,83.14,65.95,13.62,3.58,0,16.86
"Cleveland","39035160100",1,"A","A",73.8,73.8,50.63,37.36,12.5,0.76,0,49.37
"Cleveland","39035160604",1,"A","A",73.22,73.22,37.18,27.23,9.96,0,0,62.82
"Cleveland","39035140800",1,"A","A",72.22,72.22,78.97,57.03,21.94,0,0,21.03
"Cleveland","39035187104",1,"A","A",69.57,69.57,100,69.57,30.43,0,0,0
"Cleveland","39035160900",1,"A","A",69.39,69.39,68.06,47.23,13.16,7.67,0,31.94
"Cleveland","39035153106",1,"A","A",64.67,64.67,72.2,46.7,25.51,0,0,27.8
"Cleveland","39035123400",1,"A","A",64.51,64.51,59.79,38.57,21.22,0,0,40.21
"Cleveland","39035177404",1,"A","A",63.12,63.12,99.7,62.93,36.77,0,0,0.3
"Cleveland","39035183402",1,"A","A",56.29,56.29,100,56.28,42.82,0.89,0,0
"Cleveland","39035160500",1,"A","A",53.45,53.45,73.62,39.35,19.06,15.21,0,26.38
"Cleveland","39035151300",1,"A","A",46.6,46.6,66.48,30.98,30.15,5.35,0,33.52
"Cleveland","39035121700",1,"A","B",52.57,40.71,100,40.71,52.57,6.72,0,0
"Cleveland","39035106900",1,"A","B",54.59,30.11,99.95,30.1,54.57,15.29,0,0.05
"Cleveland","39035130105",1,"A","B",73.82,26.18,63.9,16.73,47.17,0,0,36.1
"Cleveland","39035130106",1,"B","B",100,100,44.45,0,44.45,0,0,55.55
"Cleveland","39035140500",1,"B","B",100,100,98.98,0,98.98,0,0,1.02
"Cleveland","39035140702",1,"B","B",100,100,100,0,100,0,0,0
"Cleveland","39035141500",1,"B","B",100,100,90.53,0,90.53,0,0,9.47
"Cleveland","39035141601",1,"B","B",100,100,90.22,0,90.22,0,0,9.78
"Cleveland","39035141602",1,"B","B",100,100,100,0,100,0,0,0
"Cleveland","39035140701",1,"B","B",99.92,99.92,100,0.08,99.92,0,0,0
"Cleveland","39035140900",1,"B","B",99.8,99.8,99.95,0.2,99.75,0,0,0.05
"Cleveland","39035141700",1,"B","B",99.66,99.66,100,0.34,99.66,0,0,0
