"computed_from","estimate_mail","estimate_not_mail","truth_mail","truth_not_mail","error","impossible"
"2,653 precincts",194,-2.2,64.5,44.1,129.5,"yes"
"  159 counties",233.4,-16.3,64.5,44.1,168.9,"yes"
