"quantity","value","unit"
"Blocks in Georgia",232717,"count"
"Blocks with nobody in them",67384,"count"
"Blocks with at least one person",165333,"count"
"Median population of a populated block",26,"count"
"Blocks containing exactly one person",2457,"count"
"Blocks containing fewer than ten people",33374,"count"
"Share of Georgians living in blocks of fewer than ten",1.68,"%"
"Total population, summed from blocks",10711908,"count"
