"population","value","what_it_is_for"
"Resident population, 2020 census",10711908,"Redistricting, funding formulas, every rate with a population denominator"
"Apportionment population, 2020 census",10725274,"Dividing the 435 House seats among the states"
"Difference",13366,"Federal employees and their dependents stationed overseas, allocated to a home state for apportionment only"
