"year","band","pop_share","vote_share","gap"
1966,"18 to 24 Years",9.531,5.347,-4.184
1966,"25 to 44 Years",39.948,38.264,-1.684
1966,"45 to 64 Years",34.726,40.404,5.678
1966,"65 Years and Over",15.795,15.984,0.189
1968,"18 to 24 Years",9.956,7.408,-2.548
1968,"25 to 44 Years",39.562,38.899,-0.663
1968,"45 to 64 Years",34.635,38.299,3.664
1968,"65 Years and Over",15.848,15.395,-0.453
1970,"18 to 24 Years",10.793,6.008,-4.785
1970,"25 to 44 Years",38.986,37.048,-1.938
1970,"45 to 64 Years",34.363,40.394,6.031
1970,"65 Years and Over",15.858,16.551,0.693
1972,"18 to 24 Years",18.07,14.234,-3.836
1972,"25 to 44 Years",36.103,35.949,-0.154
1972,"45 to 64 Years",31.089,34.955,3.866
1972,"65 Years and Over",14.738,14.863,0.125
1974,"18 to 24 Years",18.202,9.695,-8.507
1974,"25 to 44 Years",36.563,34.53,-2.033
1974,"45 to 64 Years",30.405,38.716,8.311
1974,"65 Years and Over",14.83,17.059,2.229
1976,"18 to 24 Years",18.392,13.123,-5.269
1976,"25 to 44 Years",37.054,36.775,-0.279
1976,"45 to 64 Years",29.542,34.314,4.772
1976,"65 Years and Over",15.013,15.788,0.775
1978,"18 to 24 Years",18.251,9.349,-8.902
1978,"25 to 44 Years",37.941,35.646,-2.295
1978,"45 to 64 Years",28.64,36.522,7.882
1978,"65 Years and Over",15.168,18.482,3.314
1980,"18 to 24 Years",17.912,12.062,-5.85
1980,"25 to 44 Years",39.014,38.649,-0.365
1980,"45 to 64 Years",27.736,32.438,4.702
1980,"65 Years and Over",15.338,16.851,1.513
1982,"18 to 24 Years",17.417,8.899,-8.518
1982,"25 to 44 Years",40.416,37.802,-2.614
1982,"45 to 64 Years",26.698,34.211,7.513
1982,"65 Years and Over",15.469,19.089,3.62
1984,"18 to 24 Years",16.46,11.205,-5.255
1984,"25 to 44 Years",41.787,40.718,-1.069
1984,"45 to 64 Years",26.068,30.36,4.292
1984,"65 Years and Over",15.684,17.717,2.033
1986,"18 to 24 Years",15.196,7.234,-7.962
1986,"25 to 44 Years",43.089,38.776,-4.313
1986,"45 to 64 Years",25.778,32.893,7.115
1986,"65 Years and Over",15.937,21.097,5.16
1988,"18 to 24 Years",14.357,9.051,-5.306
1988,"25 to 44 Years",43.72,41.118,-2.602
1988,"45 to 64 Years",25.751,30.452,4.701
1988,"65 Years and Over",16.173,19.379,3.206
1990,"18 to 24 Years",13.635,6.176,-7.459
1990,"25 to 44 Years",44.225,39.969,-4.256
1990,"45 to 64 Years",25.737,31.89,6.153
1990,"65 Years and Over",16.404,21.965,5.561
1992,"18 to 24 Years",13.125,9.161,-3.964
1992,"25 to 44 Years",43.795,41.636,-2.159
1992,"45 to 64 Years",26.468,30.214,3.746
1992,"65 Years and Over",16.612,18.99,2.378
1994,"18 to 24 Years",13.236,5.904,-7.332
1994,"25 to 44 Years",43.626,38.145,-5.481
1994,"45 to 64 Years",26.77,33.684,6.914
1994,"65 Years and Over",16.369,22.267,5.898
1996,"18 to 24 Years",12.729,7.608,-5.121
1996,"25 to 44 Years",43.063,39.084,-3.979
1996,"45 to 64 Years",27.741,32.956,5.215
1996,"65 Years and Over",16.467,20.352,3.885
1998,"18 to 24 Years",12.883,5.101,-7.782
1998,"25 to 44 Years",41.867,34.754,-7.113
1998,"45 to 64 Years",28.975,37.045,8.07
1998,"65 Years and Over",16.276,23.1,6.824
2000,"18 to 24 Years",13.184,7.785,-5.399
2000,"25 to 44 Years",40.363,36.747,-3.616
2000,"45 to 64 Years",30.281,35.484,5.203
2000,"65 Years and Over",16.172,19.985,3.813
2002,"18 to 24 Years",13.011,5.293,-7.718
2002,"25 to 44 Years",39.078,31.52,-7.558
2002,"45 to 64 Years",31.805,39.947,8.142
2002,"65 Years and Over",16.107,23.24,7.133
2004,"18 to 24 Years",12.892,9.265,-3.627
2004,"25 to 44 Years",38.079,34.093,-3.986
2004,"45 to 64 Years",32.924,37.609,4.685
2004,"65 Years and Over",16.105,19.033,2.928
2006,"18 to 24 Years",12.59,5.749,-6.841
2006,"25 to 44 Years",37.172,29.343,-7.829
2006,"45 to 64 Years",34,42.365,8.365
2006,"65 Years and Over",16.238,22.543,6.305
2008,"18 to 24 Years",12.533,9.544,-2.989
2008,"25 to 44 Years",36.231,32.323,-3.908
2008,"45 to 64 Years",34.624,38.687,4.063
2008,"65 Years and Over",16.611,19.445,2.834
2010,"18 to 24 Years",12.593,5.907,-6.686
2010,"25 to 44 Years",35.309,27.21,-8.099
2010,"45 to 64 Years",35.134,42.968,7.834
2010,"65 Years and Over",16.965,23.914,6.949
2012,"18 to 24 Years",12.701,8.536,-4.165
2012,"25 to 44 Years",34.334,30.059,-4.275
2012,"45 to 64 Years",34.894,39.127,4.233
2012,"65 Years and Over",18.072,22.278,4.206
2014,"18 to 24 Years",12.364,5.117,-7.247
2014,"25 to 44 Years",34.137,25.145,-8.992
2014,"45 to 64 Years",34.506,41.314,6.808
2014,"65 Years and Over",18.992,28.424,9.432
2016,"18 to 24 Years",11.943,8.397,-3.546
2016,"25 to 44 Years",34.093,29.812,-4.281
2016,"45 to 64 Years",34.134,37.584,3.45
2016,"65 Years and Over",19.83,24.206,4.376
2018,"18 to 24 Years",11.609,7.14,-4.469
2018,"25 to 44 Years",34.256,28.28,-5.976
2018,"45 to 64 Years",33.344,37.475,4.131
2018,"65 Years and Over",20.791,27.105,6.314
2020,"18 to 24 Years",11.36,8.893,-2.467
2020,"25 to 44 Years",34.26,30.731,-3.529
2020,"45 to 64 Years",32.47,34.685,2.215
2020,"65 Years and Over",21.91,25.692,3.782
2022,"18 to 24 Years",11.272,6.049,-5.223
2022,"25 to 44 Years",34.143,27.7,-6.443
2022,"45 to 64 Years",32.108,35.81,3.702
2022,"65 Years and Over",22.477,30.441,7.964
2024,"18 to 24 Years",11.517,8.531,-2.986
2024,"25 to 44 Years",34.093,30.142,-3.951
2024,"45 to 64 Years",31.189,33.258,2.069
2024,"65 Years and Over",23.201,28.068,4.867
