"year","retired","seeking","lost_primary","lost_general","reelected","pct_reelected","pct_lost_primary","pct_retired"
1946,32,398,18,52,328,82.4121,4.52261,7.44186
1948,29,400,15,68,317,79.25,3.75,6.75991
1950,29,400,6,32,362,90.5,1.5,6.75991
1952,42,389,9,26,354,91.0026,2.31362,9.74478
1954,24,407,6,22,379,93.1204,1.4742,5.56845
1956,21,411,6,16,389,94.6472,1.45985,4.86111
1958,33,396,3,37,356,89.899,0.757576,7.69231
1960,26,405,5,25,375,92.5926,1.23457,6.03248
1962,24,402,12,22,368,91.5423,2.98507,5.6338
1964,33,397,8,45,344,86.6499,2.01511,7.67442
1966,22,411,8,41,362,88.0779,1.94647,5.08083
1968,23,409,4,9,396,96.8215,0.977995,5.32407
1970,29,401,10,12,379,94.5137,2.49377,6.74419
1972,40,393,11,13,365,92.8753,2.79898,9.23788
1974,43,391,8,40,343,87.7238,2.04604,9.90783
1976,47,384,3,13,368,95.8333,0.78125,10.9049
1978,49,382,5,19,358,93.7173,1.3089,11.3689
1980,34,398,6,31,361,90.7035,1.50754,7.87037
1982,40,393,10,29,354,90.0763,2.54453,9.23788
1984,22,411,3,16,392,95.3771,0.729927,5.08083
1986,40,394,3,6,385,97.7157,0.761421,9.21659
1988,23,409,1,6,402,98.2885,0.244499,5.32407
1990,27,406,1,15,390,96.0591,0.246305,6.23557
1992,65,368,19,24,325,88.3152,5.16304,15.0115
1994,48,387,4,34,349,90.1809,1.03359,11.0345
1996,49,384,2,21,361,94.0104,0.520833,11.3164
1998,33,402,1,6,395,98.2587,0.248756,7.58621
2000,30,403,3,6,394,97.7667,0.744417,6.92841
2002,35,398,8,8,383,96.2312,2.01005,8.08314
2004,29,404,2,7,395,97.7723,0.49505,6.69746
2006,28,403,2,22,379,94.0447,0.496278,6.49652
2008,32,402,4,19,379,94.2786,0.995025,7.37327
2010,36,397,4,54,339,85.3904,1.00756,8.31409
2012,39,391,13,27,351,89.7698,3.32481,9.06977
2014,41,392,5,13,374,95.4082,1.27551,9.46882
2016,41,392,5,8,380,96.9388,1.27551,9.46882
2018,52,376,4,30,342,90.9574,1.06383,12.1495
2020,36,394,8,13,373,94.6701,2.03046,8.37209
2022,49,383,14,9,360,93.9948,3.65535,11.3426
2024,46,387,4,11,371,95.8656,1.03359,10.6236
