"year","congress","members","reelected","lost_general","denied","senate_run","died","not_running","left","pct_not_running","pct_denied"
2004,108,439,394,11,2,12,0,20,45,4.55581,0.455581
2006,109,440,379,26,1,8,0,26,61,5.90909,0.227273
2008,110,448,375,20,4,6,6,37,73,8.25893,0.892857
2010,111,445,338,56,4,13,1,33,107,7.41573,0.898876
2012,112,445,350,29,13,13,1,39,95,8.76404,2.92135
2014,113,444,373,15,4,14,1,37,71,8.33333,0.900901
2016,114,441,379,8,5,11,2,36,62,8.16327,1.13379
2018,115,450,340,31,4,11,1,63,110,14,0.888889
2020,116,442,369,16,7,5,2,43,73,9.72851,1.58371
2022,117,449,356,13,14,9,4,53,93,11.804,3.11804
