"year","fec_derived","brookings","retired_brookings","seeking_brookings","giroux","gap_brookings","gap_giroux"
2004,2,2,29,404,2,0,0
2006,1,2,28,403,2,-1,-1
2008,4,4,32,402,4,0,0
2010,4,4,36,397,4,0,0
2012,13,13,39,391,13,0,0
2014,4,5,41,392,5,-1,-1
2016,5,5,41,392,5,0,0
2018,4,4,52,376,4,0,0
2020,7,8,36,394,8,-1,-1
2022,14,14,49,383,14,0,0
