"domain","shares","score","sharers","top_sharer_pct","kept"
"truth-out.org",12,-0.5605,6,58.3,FALSE
"truthdig.com",7,-0.5539,5,42.9,FALSE
"blackamericaweb.com",12,-0.5496,9,33.3,FALSE
"currentaffairs.org",6,-0.5318,5,33.3,FALSE
"blavity.com",139,-0.5189,38,20.1,TRUE
"commondreams.org",350,-0.5121,59,26.6,TRUE
"colorlines.com",65,-0.5072,26,35.4,FALSE
"democracynow.org",170,-0.5051,40,25.3,TRUE
"atlantablackstar.com",5,-0.502,5,20,FALSE
"thenation.com",1234,-0.4912,114,19.4,TRUE
"theroot.com",426,-0.4912,87,19.2,TRUE
"attn.com",23,-0.4898,16,26.1,FALSE
"inthesetimes.com",62,-0.4875,21,37.1,FALSE
"telemundo.com/noticias",51,-0.4874,17,17.6,FALSE
"prospect.org",167,-0.4861,60,18.6,TRUE
"shareblue.com",180,-0.4642,57,13.9,TRUE
"jacobinmag.com",47,-0.458,9,38.3,FALSE
"slate.com",1093,-0.457,171,26,TRUE
"themarshallproject.org",48,-0.4502,16,50,FALSE
"mic.com",295,-0.4488,95,6.1,TRUE
"motherjones.com",1185,-0.4476,173,9.7,TRUE
"therealnews.com",22,-0.4464,10,31.8,FALSE
"revealnews.org",65,-0.444,33,10.8,FALSE
"thinkprogress.org",1128,-0.4427,176,9.5,TRUE
"newrepublic.com",337,-0.4411,93,27,TRUE
"bipartisanreport.com",5,-0.4354,5,20,FALSE
"politicususa.com",74,-0.4349,29,14.9,FALSE
"dailykos.com",599,-0.4336,112,10.2,TRUE
"buzzfeednews.com",1052,-0.4326,185,6.1,TRUE
"crooksandliars.com",21,-0.4313,16,9.5,FALSE
"elitedaily.com",37,-0.4295,22,18.9,FALSE
"vox.com",6564,-0.4282,303,4.2,TRUE
"progressive.org",27,-0.4274,14,25.9,FALSE
"newsone.com",75,-0.4254,33,18.7,FALSE
"nymag.com",909,-0.4241,174,7.9,TRUE
"splinternews.com",91,-0.4178,36,13.2,FALSE
"salon.com",506,-0.4151,141,4,TRUE
"good.is",7,-0.4131,5,28.6,FALSE
"univision.com",555,-0.4086,86,9.9,TRUE
"alternet.org",49,-0.4074,21,26.5,FALSE
"msmagazine.com",94,-0.4059,27,47.9,FALSE
"rightwingwatch.org",4,-0.4055,3,50,FALSE
"theintercept.com",755,-0.4054,124,17.4,TRUE
"huffingtonpost.com",4871,-0.405,298,3.1,TRUE
"splcenter.org",93,-0.4046,59,5.4,FALSE
"crooked.com",192,-0.4035,66,8.9,TRUE
"vice.com",819,-0.4023,183,4.3,TRUE
"psmag.com",78,-0.4006,43,9,FALSE
"nowthisnews.com",46,-0.3993,34,6.5,FALSE
"niemanlab.org",5,-0.3992,5,20,FALSE
"rawstory.com",210,-0.399,75,7.6,TRUE
"mediamatters.org",54,-0.393,34,9.3,FALSE
"jezebel.com",87,-0.3918,41,8,FALSE
"publicpolicypolling.com",25,-0.3843,14,24,FALSE
"propublica.org",629,-0.3783,175,4,TRUE
"qz.com",255,-0.3734,104,10.6,TRUE
"talkingpointsmemo.com",523,-0.3691,149,5.7,TRUE
"newyorker.com",848,-0.3647,201,5.7,TRUE
"poll.qu.edu",53,-0.363,38,13.2,FALSE
"theguardian.com",2286,-0.3541,263,5.9,TRUE
"observer.com",205,-0.3532,56,19.5,TRUE
"publicintegrity.org",68,-0.3525,44,8.8,FALSE
"washingtonmonthly.com",76,-0.3502,42,17.1,FALSE
"msnbc.com",3087,-0.35,294,4.9,TRUE
"pewresearch.org",157,-0.3494,89,11.5,TRUE
"npr.org",7080,-0.347,418,2.4,TRUE
"theconversation.com",38,-0.3363,26,10.5,FALSE
"nytimes.com",41890,-0.3289,496,3.2,TRUE
"vanityfair.com",374,-0.322,117,5.9,TRUE
"theatlantic.com",2393,-0.3167,312,3,TRUE
"thebulwark.com",23,-0.3145,14,21.7,FALSE
"governing.com",119,-0.313,48,20.2,TRUE
"nbcnews.com",9052,-0.3046,447,4,TRUE
"pbs.org",1067,-0.3041,286,2.9,TRUE
"thedailybeast.com",1390,-0.2917,221,6.2,TRUE
"ozy.com",58,-0.2867,37,17.2,FALSE
"washingtonpost.com",39464,-0.2806,510,2.6,TRUE
"cjr.org",28,-0.2802,14,32.1,FALSE
"cnn.com",12588,-0.2758,468,2.5,TRUE
"time.com",2752,-0.2503,354,2.4,TRUE
"fortune.com",487,-0.2432,195,3.1,TRUE
"thedailybanter.com",7,-0.2407,6,28.6,FALSE
"inquisitr.com",13,-0.2332,13,7.7,FALSE
"fivethirtyeight.com",340,-0.2264,123,6.2,TRUE
"politifact.com",548,-0.2134,165,5.3,TRUE
"newsweek.com",1812,-0.2063,316,4.6,TRUE
"theweek.com",132,-0.2037,72,6.8,TRUE
"ibtimes.com",112,-0.2008,74,8,TRUE
"justsecurity.org",67,-0.1999,40,16.4,FALSE
"snopes.com",46,-0.1933,27,10.9,FALSE
"cookpolitical.com",55,-0.1777,40,5.5,FALSE
"cbsnews.com",4888,-0.1693,457,5.6,TRUE
"poynter.org",12,-0.1627,11,16.7,FALSE
"politico.com",14914,-0.1602,498,7.1,TRUE
"factcheck.org",70,-0.1594,44,8.6,FALSE
"mashable.com",192,-0.1528,83,17.7,TRUE
"economist.com",303,-0.1512,112,8.6,TRUE
