"key","value","note"
"n_actors","641","politicians and political actors in the file"
"n_domains","184","news domains they shared links to"
"n_shares","375979","link shares recorded in total"
"n_with_nominate","527","of them with a roll-call ideology score"
"n_without","114","without one, who cannot enter the estimate"
"dropped_roles","Delegate, Governor, Other, Politician-Other","the roles that lack one"
"shares_lost","62353","link shares belonging to those people, and therefore unused"
"shares_lost_pct","16.6","percent of all shares that removes"
"min_shares","100","the share count an outlet needs to be scored here"
"n_kept","112","outlets that clear it"
"n_cut","72","that do not and are drawn in gray rather than dropped"
"kept_share_pct","99","percent of all link shares the kept outlets account for"
"left_most","blavity.com","the outlet the most liberal politicians share"
"left_score","-0.5189","its score"
"right_most","therightscoop.com","the outlet the most conservative politicians share"
"right_score","0.7854","its score"
"scale_span","1.304","the distance between the two ends"
"score_foxnews","0.5294","the score for foxnews.com"
"score_nytimes","-0.3289","the score for nytimes.com"
"n_pol_scored","516","politicians with at least twenty shares to scored outlets"
"cor_nominate_media","0.937","correlation between how they vote and what they link to"
"party_overlap","30","politicians whose media score falls inside the other party's range"
"dem_median_media","-0.223","the median Democrat's media score"
"rep_median_media","0.158","and the median Republican's"
"median_top_pct","9.8","percent of a typical kept outlet's shares contributed by its single biggest sharer"
"worst_domain","therightscoop.com","the kept outlet leaning hardest on one person"
"worst_top_pct","84.5","the percent that one person contributes"
