"name","role","party","nominate","shares","media_score"
"Tammy Duckworth","Senate","Democrat",-0.335,727,-0.2114
"Kyrsten Sinema","Senate","Independent",-0.105,322,-0.1606
"Kelly Loeffler","Senate","Republican",0.555,620,0.4531
"Rick Scott","Senate","Republican",0.66,706,0.1981
"Chris Murphy","Senate","Democrat",-0.271,2068,-0.2426
"Chris Coons","Senate","Democrat",-0.231,900,-0.1867
"Marco Rubio","Senate","Republican",0.608,1556,-0.0382
"Lisa Murkowski","Senate","Republican",0.211,91,-0.048
"Michael Bennet","Senate","Democrat",-0.23,608,-0.2275
"Dick Durbin","Senate","Democrat",-0.348,2431,-0.2302
"Tom Carper","Senate","Democrat",-0.178,791,-0.2163
"Richard Blumenthal","Senate","Democrat",-0.435,1746,-0.2332
"Kamala Harris","Senate","Democrat",-0.709,2844,-0.2675
"Dianne Feinstein","Senate","Democrat",-0.268,588,-0.2272
"John Boozman","Senate","Republican",0.426,161,0.0749
"Kevin Cramer","Senate","Republican",0.398,401,0.1951
"Michael Braun","Senate","Republican",0.8,434,0.3064
"Jeanne Shaheen","Senate","Democrat",-0.238,630,-0.1992
"Martin Heinrich","Senate","Democrat",-0.33,1000,-0.23
"Cory Booker","Senate","Democrat",-0.584,1991,-0.2765
"Chuck Schumer","Senate","Democrat",-0.356,1507,-0.2094
"Bob Menendez","Senate","Democrat",-0.367,994,-0.2173
"Rob Portman","Senate","Republican",0.371,698,0.0317
"Roy Blunt","Senate","Republican",0.398,362,0.1112
"Ed Markey","Senate","Democrat",-0.514,1635,-0.213
"Todd Young","Senate","Republican",0.453,739,0.0981
"Josh Hawley","Senate","Republican",0.747,609,0.1724
"Roger Wicker","Senate","Republican",0.376,292,0.0966
"Joni Ernst","Senate","Republican",0.544,331,0.2657
"Amy Klobuchar","Senate","Democrat",-0.284,1611,-0.2426
"Mitch McConnell","Senate","Republican",0.404,533,-6e-04
"Sherrod Brown","Senate","Democrat",-0.428,893,-0.2183
"Tom Udall","Senate","Democrat",-0.453,564,-0.2326
