"term","cases","pct_conservative"
1946,137,46
1947,115,37.4
1948,120,44.2
1949,99,56.6
1950,97,54.6
1951,92,57.6
1952,116,56
1953,87,50.6
1954,95,30.5
1955,100,33
1956,127,32.3
1957,153,39.9
1958,135,37.8
1959,135,37.8
1960,139,42.4
1961,117,29.9
1962,156,23.1
1963,179,21.8
1964,131,32.1
1965,138,36.2
1966,146,34.2
1967,196,25
1968,139,30.9
1969,137,46
1970,143,52.4
1971,175,45.7
1972,180,54.4
1973,171,56.1
1974,151,49.7
1975,180,62.2
1976,176,59.7
1977,154,49.4
1978,159,60.4
1979,152,48.7
1980,146,59.6
1981,173,52.6
1982,162,56.8
1983,170,61.2
1984,162,55.6
1985,162,59.3
1986,158,53.8
1987,150,51.3
1988,148,58.8
1989,138,54.3
1990,125,48.8
1991,120,53.3
1992,116,53.4
1993,94,56.4
1994,89,59.6
1995,89,53.9
1996,96,63.5
1997,97,59.8
1998,90,64.4
1999,85,50.6
2000,85,49.4
2001,83,60.2
2002,82,58.5
2003,78,57.7
2004,79,45.6
2005,86,59.3
2006,75,60
2007,72,47.2
2008,81,63
2009,92,50
2010,82,56.1
2011,76,57.9
2012,79,50.6
2013,74,44.6
2014,73,43.8
2015,79,50.6
2016,69,49.3
2017,68,51.5
2018,70,48.6
2019,56,48.2
2020,60,60
2021,63,65.1
2022,55,54.5
2023,57,49.1
