"a","b","agree","cases","pct"
"ACBarrett","BMKavanaugh",199,222,89.6
"ACBarrett","CThomas",185,220,84.1
"ACBarrett","EKagan",152,222,68.5
"ACBarrett","JGRoberts",194,222,87.4
"ACBarrett","KBJackson",78,110,70.9
"ACBarrett","NMGorsuch",180,220,81.8
"ACBarrett","SAAlito",183,218,83.9
"ACBarrett","SGBreyer",65,110,59.1
"ACBarrett","SSotomayor",140,222,63.1
"BMKavanaugh","CThomas",179,232,77.2
"BMKavanaugh","EKagan",164,234,70.1
"BMKavanaugh","JGRoberts",225,234,96.2
"BMKavanaugh","KBJackson",83,110,75.5
"BMKavanaugh","NMGorsuch",182,232,78.4
"BMKavanaugh","SAAlito",198,230,86.1
"BMKavanaugh","SGBreyer",82,122,67.2
"BMKavanaugh","SSotomayor",154,234,65.8
"CThomas","EKagan",133,232,57.3
"CThomas","JGRoberts",180,232,77.6
"CThomas","KBJackson",63,109,57.8
"CThomas","NMGorsuch",189,232,81.5
"CThomas","SAAlito",201,230,87.4
"CThomas","SGBreyer",65,121,53.7
"CThomas","SSotomayor",123,232,53
"EKagan","JGRoberts",165,234,70.5
"EKagan","KBJackson",97,110,88.2
"EKagan","NMGorsuch",150,232,64.7
"EKagan","SAAlito",128,230,55.7
"EKagan","SGBreyer",110,122,90.2
"EKagan","SSotomayor",216,234,92.3
"JGRoberts","KBJackson",81,110,73.6
"JGRoberts","NMGorsuch",177,232,76.3
"JGRoberts","SAAlito",195,230,84.8
"JGRoberts","SGBreyer",81,122,66.4
"JGRoberts","SSotomayor",153,234,65.4
"KBJackson","NMGorsuch",72,109,66.1
"KBJackson","SAAlito",67,108,62
"KBJackson","SGBreyer",0,0,NA
"KBJackson","SSotomayor",100,110,90.9
"NMGorsuch","SAAlito",194,230,84.3
"NMGorsuch","SGBreyer",71,121,58.7
"NMGorsuch","SSotomayor",142,232,61.2
"SAAlito","SGBreyer",66,120,55
"SAAlito","SSotomayor",123,230,53.5
"SGBreyer","SSotomayor",109,122,89.3
