"term","caseName","majVotes","minVotes","majority_bloc"
2020,"SALINAS v. U.S. RAILROAD RETIREMENT BOARD",5,4,"BMKavanaugh EKagan JGRoberts SGBreyer SSotomayor"
2020,"BORDEN v. UNITED STATES",5,4,"CThomas EKagan NMGorsuch SGBreyer SSotomayor"
2020,"UNITED STATES v. ARTHREX INC.",5,4,"ACBarrett BMKavanaugh JGRoberts NMGorsuch SAAlito"
2020,"GOLDMAN SACHS GROUP INC. v. ARKANSAS TEACHER RETIREMENT SYSTEM",5,4,"ACBarrett BMKavanaugh EKagan JGRoberts SGBreyer"
2020,"TRANSUNION LLC v. RAMIREZ",5,4,"ACBarrett BMKavanaugh JGRoberts NMGorsuch SAAlito"
2020,"MINERVA SURGICAL INC. v. HOLOGIC INC.",5,4,"BMKavanaugh EKagan JGRoberts SGBreyer SSotomayor"
2020,"PENNEAST PIPELINE CO. v. NEW JERSEY",5,4,"BMKavanaugh JGRoberts SAAlito SGBreyer SSotomayor"
2021,"PATEL v. GARLAND",5,4,"ACBarrett BMKavanaugh CThomas JGRoberts SAAlito"
2021,"BECERRA v. EMPIRE HEALTH FOUNDATION",5,4,"ACBarrett CThomas EKagan SGBreyer SSotomayor"
2021,"WHOLE WOMAN'S HEALTH v. JACKSON",5,4,"ACBarrett BMKavanaugh CThomas NMGorsuch SAAlito"
2021,"BIDEN v. MISSOURI",5,4,"BMKavanaugh EKagan JGRoberts SGBreyer SSotomayor"
2021,"CONCEPCION v. UNITED STATES",5,4,"CThomas EKagan NMGorsuch SGBreyer SSotomayor"
2021,"YSLETA DEL SUR PUEBLO v. TEXAS",5,4,"ACBarrett EKagan NMGorsuch SGBreyer SSotomayor"
2021,"TORRES v. TEXAS DEPARTMENT OF PUBLIC SAFETY",5,4,"BMKavanaugh EKagan JGRoberts SGBreyer SSotomayor"
2021,"OKLAHOMA v. CASTRO-HUERTA",5,4,"ACBarrett BMKavanaugh CThomas JGRoberts SAAlito"
2021,"NANCE v. WARD",5,4,"BMKavanaugh EKagan JGRoberts SGBreyer SSotomayor"
2021,"SHOOP v. TWYFORD",5,4,"ACBarrett BMKavanaugh CThomas JGRoberts SAAlito"
2021,"BIDEN v. TEXAS",5,4,"BMKavanaugh EKagan JGRoberts SGBreyer SSotomayor"
2022,"ALLEN v. MILLIGAN",5,4,"BMKavanaugh EKagan JGRoberts KBJackson SSotomayor"
2022,"NATIONAL PORK PRODUCERS COUNCIL v. ROSS",5,4,"ACBarrett CThomas EKagan NMGorsuch SSotomayor"
2022,"CRUZ v. ARIZONA",5,4,"BMKavanaugh EKagan JGRoberts KBJackson SSotomayor"
2022,"BITTNER v. UNITED STATES",5,4,"BMKavanaugh JGRoberts KBJackson NMGorsuch SAAlito"
2022,"MALLORY v. NORFOLK SOUTHERN RAILWAY CO.",5,4,"CThomas KBJackson NMGorsuch SAAlito SSotomayor"
2022,"ARIZONA v. NAVAJO NATION",5,4,"ACBarrett BMKavanaugh CThomas JGRoberts SAAlito"
2022,"COINBASE, INC. v. BIELSKI",5,4,"ACBarrett BMKavanaugh JGRoberts NMGorsuch SAAlito"
2023,"CAMPOS-CHAVES v. GARLAND",5,4,"ACBarrett BMKavanaugh CThomas JGRoberts SAAlito"
2023,"HARRINGTON v. PURDUE PHARMA L.P.",5,4,"ACBarrett CThomas KBJackson NMGorsuch SAAlito"
2023,"OHIO v. ENVIRONMENTAL PROTECTION AGENCY",5,4,"BMKavanaugh CThomas JGRoberts NMGorsuch SAAlito"
2023,"TEXAS v. NEW MEXICO AND COLORADO",5,4,"BMKavanaugh EKagan JGRoberts KBJackson SSotomayor"
2023,"BECERRA v. SAN CARLOS APACHE TRIBE",5,4,"EKagan JGRoberts KBJackson NMGorsuch SSotomayor"
