entity,mentions
HOUSE OF REPRESENTATIVES,2511
SENATE,2492
"Health & Human Services, Dept of (HHS)",145
White House Office,141
"Agriculture, Dept of (USDA)",118
"Energy, Dept of",108
"Transportation, Dept of (DOT)",100
Centers For Medicare and Medicaid Services (CMS),93
Environmental Protection Agency (EPA),87
"Commerce, Dept of (DOC)",87
"State, Dept of (DOS)",78
"Defense, Dept of (DOD)",76
"Treasury, Dept of",59
"Army, Dept of (Corps of Engineers)",55
Food & Drug Administration (FDA),49
"Interior, Dept of (DOI)",35
"Homeland Security, Dept of (DHS)",35
Executive Office of the President (EOP),34
U.S. Trade Representative (USTR),32
Centers For Disease Control & Prevention (CDC),31
"Housing & Urban Development, Dept of (HUD)",30
Office of Management & Budget (OMB),30
Natl Institutes of Health (NIH),29
"Labor, Dept of (DOL)",29
"Education, Dept of",27
"Army, Dept of (Other)",26
Health Resources & Services Administration (HRSA),25
"Justice, Dept of (DOJ)",23
"Veterans Affairs, Dept of (VA)",20
U.S. Agency for International Development (USAID),18
Office of Science & Technology Policy (OSTP),17
"Navy, Dept of",17
Natl Economic Council (NEC),17
Federal Emergency Management Agency (FEMA),16
Federal Communications Commission (FCC),16
Federal Trade Commission (FTC),15
Small Business Administration (SBA),14
Internal Revenue Service (IRS),14
General Services Administration (GSA),14
Bureau of Land Management (BLM),13
