client,registrant,client_state,amount,n_issues,n_lobbyists
PANTHEON DATA (FKA THE KENIFIC GROUP),"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",VA,70000,1,1
PARKER MEGGITT (FORMERLY MEGGITT USA),"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",DC,30000,2,1
TRELLISWARE TECHNOLOGIES,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,20000,1,1
"PACIFIC DEFENSE, LLC","ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,15000,1,1
CAMBIUM BIOMATERIALS,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,30000,1,1
"KARMAN-SD (FKA SYSTIMA TECHNOLOGIES, INC.)","ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",WA,25000,1,1
ALAKAI DEFENSE SYSTEMS,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",FL,20000,1,1
ASTRANIS SPACE TECHNOLOGIES CORP,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,30000,1,1
"SLEEP, INC.","SLEEP, INC.",VA,0,3,1
COUNCIL OF INSTITUTIONAL INVESTORS,COUNCIL OF INSTITUTIONAL INVESTORS,DC,0,1,1
COMMERCIAL SPACEFLIGHT FEDERATION,COMMERCIAL SPACEFLIGHT FEDERATION,DC,40000,2,1
AIM INTELLIGENT MACHINES,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",WA,30000,1,1
AUTONOMOUS DEFENSE TECHNOLOGIES CORP,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",VA,30000,1,1
FORTERRA (FKA RR.AI),"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",MD,30000,1,1
CASTELION,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,30000,1,1
RESOLUTION COPPER COMPANY,POLICY DEVELOPMENT GROUP,AZ,0,1,3
TOYOTA MOTOR SALES INC,POLICY DEVELOPMENT GROUP,CA,0,1,3
HONORHEALTH FORMERLY KNOWN AS SCOTTSDALE HEALTHCARE,POLICY DEVELOPMENT GROUP,AZ,0,1,3
ADVANCED AIR,POLICY DEVELOPMENT GROUP,CA,0,1,3
CLEAN FREIGHT COALITION,MULLEN CONSULTING LLC,DC,62500,1,1
AMERICAN MEDICAL RESPONSE,POLICY DEVELOPMENT GROUP,AZ,0,1,3
"OLD DOMINION FREIGHT LINE, INC.","BC CONSULTING, LLC",NC,45000,1,1
WERNER ENTERPRISES,"BC CONSULTING, LLC",NE,45000,1,1
COMMUNITY MEDICAL SERVICES,POLICY DEVELOPMENT GROUP,AZ,0,1,2
"NATIONAL TANK TRUCK CARRIER, INC.","BC CONSULTING, LLC",VA,30000,1,1
STARR-CAMARGO BRIDGE COMPANY,"BC CONSULTING, LLC",TX,15000,1,1
BORDER TRADE ALLIANCE,"BC CONSULTING, LLC",WA,60000,2,1
FRESH PRODUCE ASSOCIATION OF THE AMERICAS,"BC CONSULTING, LLC",AZ,45000,1,1
"STRAUNS CUSTOMHOUSE BROKERS, LLC","BC CONSULTING, LLC",TX,7500,2,1
STEVENS TRUCKING,"BC CONSULTING, LLC",OK,30000,1,1
NATIONAL MOTOR FREIGHT TRAFFIC ASSOCIATION,"BC CONSULTING, LLC",VA,22500,1,1
"DCI GROUP, L.L.C. ON BEHALF OF SCM CONSULTING LIMITED","GLASSMAN ENTERPRISES, LLC",DC,50000,1,1
MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR (MISO) FKA MIDWEST INDEPEN,THE HARRIS FIRM,DC,50000,1,1
YOUNG PEOPLE'S ALLIANCE,YOUNG PEOPLE'S ALLIANCE,NC,0,1,1
HOLISTIC INDUSTRIES INC.,THE HARRIS FIRM,DC,50000,3,1
"INSPIRE BRANDS, INC.","INSPIRE BRANDS, INC.",GA,120000,3,3
INDEPENDENT BAKERS ASSOCIATION,"ROBERT N. PYLE & ASSOCIATES, INC.",DC,0,14,1
EDMUND OPTICS INC,MARSHALL BRACHMAN,NJ,15000,5,1
"EXELA PHARMA SCIENCES, LLC","OLD NORTH STRATEGIES, LLC",NC,108000,3,1
ZIONS BANCORP,MARSHALL BRACHMAN,UT,52500,2,1
NORTH CAROLINA FRATERNAL ORDER OF POLICE,"OLD NORTH STRATEGIES, LLC",NC,10500,1,1
ENCOURA (FORMERLY NAT'L RESEARCH CTR FOR COLLEGE AND UNIVERSITY ADMISSIONS),MARSHALL BRACHMAN,MO,54000,3,1
PETER DAMON GROUP ON BEHALF OF HEAT AND FROST INSULATORS LABOR MANAGEMENT,"OLD NORTH STRATEGIES, LLC",DC,22500,1,1
REFORM ACTION FUND,THE TOLMAN GROUP,DC,30000,1,1
"HEALTHPEAK PROPERTIES, INC. FKA PHYSICIANS REALTY TRUST",MARSHALL BRACHMAN,WI,27000,2,1
BESI,"OLD NORTH STRATEGIES, LLC",IL,10500,2,1
OKLAHOMA HEART HOSPITAL,MARSHALL BRACHMAN,OK,15000,2,1
"ACADEMIC PROGRAMS INTERNATIONAL, LLC",MARSHALL BRACHMAN,TX,15000,3,1
"PETER DAMON GROUP ON BEHALF OF DRIVERDO, LLC DBA DRAIVER","OLD NORTH STRATEGIES, LLC",DC,7500,1,1
COMCAST CORPORATION,LUMPKIN PUBLIC AFFAIRS LLC,PA,13500,1,1
INDUSTRY COUNCIL FOR TANGIBLE ASSETS,WASHINGTON MATTERS LLC,GA,0,1,1
VIRGINIA COMMONWEALTH UNIVERSITY,VIRGINIA COMMONWEALTH UNIVERSITY,VA,40000,2,1
GOVERNMENTAL STRATEGIES INC (ON BEHALF OF THE DECOMMISSIONING PLANT COALITION),CCMSC CORPORATION,VA,5000,1,1
GRANT THORNTON ADVISORS LLC FKA GRANT THORNTON LLP,MARSHALL BRACHMAN,VA,37500,5,1
GOVERNMENTAL STRATEGIES INC (ON BEHALF OF WASTE CONTROL SPECIALISTS,CCMSC CORPORATION,VA,5000,1,1
GOVERNMENTAL STRATEGIES INC (ON BEHALF OF ORANOUSA LLC),CCMSC CORPORATION,VA,0,1,1
PET INDUSTRY JOINT ADVISORY COUNCIL,PET INDUSTRY JOINT ADVISORY COUNCIL,VA,0,1,4
NATIONAL ASSOCIATION OF HOUSING COOPERATIVES,NATIONAL ASSOCIATION OF HOUSING COOPERATIVES,DC,0,3,1
NATIONAL ASSOCIATION OF HOUSING COOPERATIVES,NATIONAL ASSOCIATION OF HOUSING COOPERATIVES,DC,0,3,1
KELLEY DRYE & WARREN,"CAPITOL CONNECTIONS, LLC",DC,12000,4,1
NATURAL FIBER ALLIANCE,"CAPITOL CONNECTIONS, LLC",DC,10000,2,1
UNITED STATES ASSOCIATION OF REPTILE KEEPERS,"CAPITOL CONNECTIONS, LLC",IN,15000,2,1
FUR COMMISSION USA (FKA CHALLIS HOBBS),"CAPITOL CONNECTIONS, LLC",ID,10000,1,1
CSL AMERICAS,"CAPITOL CONNECTIONS, LLC",MA,20000,1,1
"MARITIME TACTICAL SYSTEMS, INC. (MARTAC)","MARITIME TACTICAL SYSTEMS, INC. (MARTAC)",FL,0,1,1
MIRABELLA SG SPA,"BROADWATER INTERNATIONAL, INC.",,40000,1,1
EQUASPACE,"CHRISTOPHERSON ADVOCATES, LLC",MN,10000,1,3
ALASKA VILLAGE ELECTRIC COOPERATIVE,MARKLEY AND COMPANY,AK,0,1,1
PEOPLE SERVING PEOPLE INC,"CHRISTOPHERSON ADVOCATES, LLC",MN,10000,1,3
ALASKA ELECTRIC LIGHT & POWER CO,MARKLEY AND COMPANY,AK,0,1,1
180 DEGREES,"CHRISTOPHERSON ADVOCATES, LLC",MN,10000,1,3
COORSTEK INC,"COORSTEK, INC.",CO,25000,5,1
INSIDE PASSAGE ELECTRIC COOPERATIVE,MARKLEY AND COMPANY,AK,12500,1,1
"CITY OF HOONAH, ALASKA",MARKLEY AND COMPANY,AK,0,1,1
NATIONAL READY MIXED CONCRETE ASSOCIATION,"REPUBLIC CONSULTING, LLC",MD,40000,1,2
DAVITA INC.,TOM BRADLEY HEALTH POLICY LLC,DC,30000,1,1
"NORDIC AMMUNITION COMPANY (D/B/A NAMMO, INC.)","REPUBLIC CONSULTING, LLC",VA,40000,1,3
NUSHAGAK COOPERATIVE,MARKLEY AND COMPANY,AK,0,1,1
IQVIA,"REPUBLIC CONSULTING, LLC",NJ,60000,3,1
WW INTERNATIONAL (FORMERLY KNOWN AS WEIGHT WATCHERS),"REPUBLIC CONSULTING, LLC",NY,20000,2,1
WORLD COFFEE RESEARCH,JENNIFER CUPP,OR,0,3,1
NAKNEK ELECTRIC ASSOCIATION,MARKLEY AND COMPANY,AK,0,1,1
REPUBLIC MISSION SYSTEMS,"REPUBLIC CONSULTING, LLC",VA,0,1,2
UNIVERSITY OF KANSAS,UNIVERSITY OF KANSAS,DC,60000,5,1
AEVEX AEROSPACE,"REPUBLIC CONSULTING, LLC",CA,60000,1,2
MCKEE FOODS,"ROBERT N. PYLE & ASSOCIATES, INC.",TN,0,4,1
GRAVITY DIAGNOSTICS,"REPUBLIC CONSULTING, LLC",KY,20000,1,3
COPPER VALLEY ELECTRIC ASSOCIATION,MARKLEY AND COMPANY,AK,22500,1,1
WELCH'S,"ROBERT N. PYLE & ASSOCIATES, INC.",MA,0,3,1
KAGWERKS,"REPUBLIC CONSULTING, LLC",WA,30000,1,2
ERAMET MARIETTA INC,"ROBERT N. PYLE & ASSOCIATES, INC.",OH,0,4,1
ALASKA POWER ASSOCIATION,MARKLEY AND COMPANY,AK,0,1,1
ALARE TECHNOLOGIES,"REPUBLIC CONSULTING, LLC",CA,50000,1,2
A2G INTERNATIONAL LLC,"REPUBLIC CONSULTING, LLC",FL,20000,1,2
"G3 TECHNOLOGIES, INC.","REPUBLIC CONSULTING, LLC",MD,30000,1,2
M FINANCIAL,M FINANCIAL,OR,45000,3,1
AT SYSTEMS LLC,"REPUBLIC CONSULTING, LLC",TX,20000,1,2
NATIONAL SAFETY COUNCIL,NATIONAL SAFETY COUNCIL,IL,20000,5,1
AMERICAN COMMITTEE FOR THE WEIZMANN INSTITUTE OF SCIENCE,NXG GLOBAL LAW & COMPLIANCE PLLC,NY,0,1,1
INTERNATIONAL ASSOCIATION OF REFRIGERATED WAREHOUSES,INTERNATIONAL ASSOCIATION OF REFRIGERATED WAREHOUSES,VA,20000,5,2
AGRICULTURAL & APPLIED ECONOMICS ASSOCIATION,"THE RANDEL GROUP, LLC",WI,20000,2,1
ALLIANCE FOR A STRONGER FDA,"OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC",MD,50000,1,3
GRAVITICS,TECHNOLOGY STRATEGIES LLC,CO,30000,2,1
LOCKHEED MARTIN AERONAUTIC SECTOR,MARSHALL BRACHMAN,TX,34310,4,1
THREE RIVERS PLANNING & DEVELOPMENT DISTRICT,BUTLER SNOW LLP,MS,0,2,1
MADISON COUNTY BOARD OF SUPERVISORS,BUTLER SNOW LLP,MS,45000,2,1
"HELIX, INC.","HELIX, INC.",CA,80000,4,1
NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS,DANEA KEHOE,DC,10000,2,1
RIGHT AT HOME,DANEA KEHOE,NE,0,2,1
TAXBIT,TAXBIT,VA,170000,1,1
PHARMACEUTICAL INDUSTRY LABOR MANAGEMENT ASSOCIATION,E3 STRATEGIC CONSULTING GROUP,VA,30000,1,1
ATRIUM,"CASSIDY & ASSOCIATES, INC.",NC,40000,2,2
LOUISIANA SHERIFFS' ASSOCIATION,"DOUCET CONSULTING SOLUTIONS, LLC",LA,10000,5,1
FRIEDKIN GROUP,"DOUCET CONSULTING SOLUTIONS, LLC",TX,20000,1,1
CROWDPULSE LLC,"CASSIDY & ASSOCIATES, INC.",FL,50000,2,3
FORBES TATE PARTNERS ON BEHALF OF COALITION FOR APP FAIRNESS,"PREVAIL COMMUNICATIONS, LLC",DC,0,2,1
THE BORDERPLEX ALLIANCE,"DOUCET CONSULTING SOLUTIONS, LLC",TX,20000,1,1
NORTH CAROLINA STATE PORTS AUTHORITY,"CASSIDY & ASSOCIATES, INC.",NC,50000,3,2
DISPOSERX,FROST BROWN TODD LLC,NC,20000,1,2
U.S. HEMP ROUNDTABLE,FROST BROWN TODD LLC,KY,80000,1,2
PRYSMIAN GROUP,FROST BROWN TODD LLC,KY,50000,1,2
AMERICAN AIRLINES,"CASSIDY & ASSOCIATES, INC.",DC,50000,2,1
LAW ENFORCEMENT AGAINST DRUGS (L.E.A.D.),FROST BROWN TODD LLC,NJ,30000,2,2
FORT WORTH ZOO,"CAPITOL CONNECTIONS, LLC",TX,0,2,1
CORRECTIONAL VENDORS ASSOCIATION,THE LEONARD GROUP,DC,70000,1,2
AMERICAN CLEAN POWER ASSOCIATION,"CASSIDY & ASSOCIATES, INC.",DC,60000,2,4
AT GOVERNMENT STRATEGIES ON BEHALF OF THE ST LOUIS ECONOMIC DEVELOPMENT PARTNERS,"CASSIDY & ASSOCIATES, INC.",MO,30000,2,1
ATLAS AIR WORLDWIDE,"CASSIDY & ASSOCIATES, INC.",DC,50000,4,1
"AMERICAN RHEINMETALL MUNITIONS, INC.","CASSIDY & ASSOCIATES, INC.",VA,40000,1,4
BRIAN GLACKIN AND ASSOCIATES ON BEHALF OF MCCORD HEALTH,"CASSIDY & ASSOCIATES, INC.",WA,10000,4,1
NATIONAL ASSOCIATION OF POSTAL SUPERVISORS,NATIONAL ASSOCIATION OF POSTAL SUPERVISORS,VA,26250,7,1
CITY OF FLAGSTAFF,"NEXXUS CONSULTING, LLC",AZ,20000,1,2
GRAND RIVER BANDS OF OTTAWA INDIANS,"NEXXUS CONSULTING, LLC",MI,20000,1,2
CITY OF MARICOPA,"NEXXUS CONSULTING, LLC",AZ,20000,1,2
NORTHERN ARIZONA INTERGOVERNMENTAL PUBLIC TRANSPORTATION AUTHORITY,"NEXXUS CONSULTING, LLC",AZ,20000,1,2
CITY OF WINSLOW,"NEXXUS CONSULTING, LLC",AZ,20000,1,2
COCONINO COUNTY,"NEXXUS CONSULTING, LLC",AZ,30000,2,2
CITY OF TOLLESON,"NEXXUS CONSULTING, LLC",AZ,20000,1,2
PIMA COUNTY,"NEXXUS CONSULTING, LLC",AZ,30000,1,2
SALT RIVER PROJECT,"NEXXUS CONSULTING, LLC",DC,20000,2,2
TOWN OF SUPERIOR (ARIZONA),"NEXXUS CONSULTING, LLC",AZ,20000,2,2
"CITY OF DOUGLAS, ARIZONA","NEXXUS CONSULTING, LLC",AZ,20000,1,2
"CITY OF GLOBE, ARIZONA","NEXXUS CONSULTING, LLC",AZ,20000,1,2
"MOUNTAIN CAPITAL PARTNERS, LLC","NEXXUS CONSULTING, LLC",CO,20000,1,2
CITY OF BUCKEYE (ARIZONA),"NEXXUS CONSULTING, LLC",AZ,40000,2,2
SANTA CRUZ COUNTY,"NEXXUS CONSULTING, LLC",AZ,30000,1,2
CHILDREN'S MUSEUM TUCSON,"NEXXUS CONSULTING, LLC",AZ,20000,1,2
KB HOME,"NEXXUS CONSULTING, LLC",CA,15000,1,2
ARIZONA DEPARTMENT OF TRANSPORTATION,"NEXXUS CONSULTING, LLC",AZ,30000,1,2
TOWN OF SAHUARITA,"NEXXUS CONSULTING, LLC",AZ,10000,1,2
TRI-CITY REGIONAL SANITARY DISTRICT,"NEXXUS CONSULTING, LLC",AZ,10000,1,2
"HYDRONALIX, INC.","NEXXUS CONSULTING, LLC",AZ,20000,1,2
KAMAN AEROSPACE CORPORATION,GRIFFIN GLOBAL OUTREACH LLC,CT,20000,2,1
CITY OF GOODYEAR (ARIZONA),"NEXXUS CONSULTING, LLC",AZ,10000,1,2
COUNCIL FOR AFFORDABLE HEALTH COVERAGE,HORIZON GOVERNMENT AFFAIRS,,20000,1,2
"ENGINEERING AND SOFTWARE SYSTEM SOLUTIONS, INC. DBA ES3",GRIFFIN GLOBAL OUTREACH LLC,CA,20000,2,1
"MAZTECH INDUSTRIES, LLC",GRIFFIN GLOBAL OUTREACH LLC,CA,10000,2,1
LUMIBIRD PHOTONICS USA (FORMERLY QUANTEL USA),GRIFFIN GLOBAL OUTREACH LLC,MT,10000,2,1
"DIRECT CHASSISLINK, INC.","DIRECT CHASSISLINK, INC.",NC,162305,1,1
DIRECT SELLING ASSOCIATION,DIRECT SELLING ASSOCIATION,DC,0,3,2
NATIONAL ROOFING CONTRACTORS ASSOCIATION,NATIONAL ROOFING CONTRACTORS ASSOCIATION,DC,200000,12,3
OCCIDENTAL PETROLEUM CORPORATION,GTB PARTNERS,DC,20000,3,3
"ADVANCING MENTAL HEALTH FOR MILITARY FAMILIES, LLC","CASSIDY & ASSOCIATES, INC.",DE,50000,4,2
AIRBUS AMERICAS INC,"CASSIDY & ASSOCIATES, INC.",VA,60000,5,5
ALTRIA CLIENT SERVICES LLC,SLAIMAN CONSULTING LLC,DC,40000,1,1
DRAFTKINGS,SLAIMAN CONSULTING LLC,MA,30000,1,1
CRYSTALLEX,SLAIMAN CONSULTING LLC,,30000,1,1
INTERNATIONAL CODE COUNCIL,SLAIMAN CONSULTING LLC,DC,40000,1,1
BAE SYSTEMS INC.,"CASSIDY & ASSOCIATES, INC.",VA,80000,2,4
ENANTA PHARMACEUTICALS,SLAIMAN CONSULTING LLC,MA,0,1,1
CORPUS CHRISTI REGIONAL TRANSPORTATION AUTHORITY,"CASSIDY & ASSOCIATES, INC.",TX,30000,1,2
AMERICAN COMMERCIAL BARGE LINE LLC,"AMERICAN COMMERCIAL BARGE LINES, LLC",IN,0,3,1
UNIVERSITY OF NORTH TEXAS SYSTEM,"CONGRESSIONAL SOLUTIONS, INC (CSI)",TX,40000,1,1
COMMAND STRATEGIES ON BEHALF OF NORTHERN ARIZONA UNIVERSITY,"CONGRESSIONAL SOLUTIONS, INC (CSI)",VA,36000,1,1
CROWLEY MARITIME,"CASSIDY & ASSOCIATES, INC.",FL,50000,3,5
CALPINE CORPORATION,"CASSIDY & ASSOCIATES, INC.",TX,90000,1,2
SOLARCORE (FKA OROS),"CONGRESSIONAL SOLUTIONS, INC (CSI)",OR,15000,1,1
CTC GLOBAL,"CASSIDY & ASSOCIATES, INC.",CA,50000,2,3
HILCORP ENERGY COMPANY,"UNITED BY INTEREST, LLC.",TX,60000,2,8
NORTHEASTERN UNIVERSITY,"CONGRESSIONAL SOLUTIONS, INC (CSI)",MA,30000,1,1
COMMONSPIRIT HEALTH,"CASSIDY & ASSOCIATES, INC.",CA,60000,1,4
"CRH AMERICAS, INC","CASSIDY & ASSOCIATES, INC.",GA,20000,1,1
DISH NETWORK,"CASSIDY & ASSOCIATES, INC.",DC,60000,1,4
PREVENT BLINDNESS,HEALTH AND MEDICINE COUNSEL,IL,7500,2,2
AMERICAN CHIROPRACTIC ASSOCIATION,AMERICAN CHIROPRACTIC ASSOCIATION,VA,92100,3,1
DUN & BRADSTREET,"CASSIDY & ASSOCIATES, INC.",NJ,50000,3,3
CITY OF SHORELINE,"JOHNSTON GROUP, LLC",WA,20000,2,1
RARE ELEMENT RESOURCES,"MCMURRAY STRATEGY GROUP, LLC",CO,10500,1,1
EOG RESOURCES,"CASSIDY & ASSOCIATES, INC.",TX,60000,2,4
CITY OF MOUNTLAKE TERRACE,"JOHNSTON GROUP, LLC",WA,10000,2,1
CITY OF LAKEWOOD,"JOHNSTON GROUP, LLC",WA,20000,3,1
ASTRIA HEALTH (FORMERLY KNOWN AS SUNNYSIDE COMMUNITY HOSPITAL),"JOHNSTON GROUP, LLC",WA,10000,3,1
CHARTER COMMUNICATIONS INC,WILMER CUTLER PICKERING HALE AND DORR LLP,DC,40000,1,1
CITY OF LAKE FOREST PARK,"JOHNSTON GROUP, LLC",WA,10000,2,1
ISLAND HOSPITAL,"JOHNSTON GROUP, LLC",WA,10000,3,1
INTERNATIONAL ANTICOUNTERFEITING COALITION INC,"THE INTERNATIONAL ANTICOUNTERFEITING COALITION, INC.",DC,10000,2,1
CITY OF BREMERTON,"JOHNSTON GROUP, LLC",WA,0,3,1
SAMARITAN HEALTHCARE,"JOHNSTON GROUP, LLC",WA,10000,3,1
THE LIVINGSTON GROUP ON BEHALF OF RARE ELEMENT RESOURCES,MR. RON MCMURRAY,DC,6000,1,1
CITY OF MOUNT VERNON,"JOHNSTON GROUP, LLC",WA,10000,2,1
JEFFERSON HEALTHCARE,"JOHNSTON GROUP, LLC",WA,10000,2,1
CITY OF WOODINVILLE,"JOHNSTON GROUP, LLC",WA,10000,2,1
TRI STATE MEMORIAL HOSPITAL,"JOHNSTON GROUP, LLC",WA,10000,2,1
CURRY HEALTH NETWORK,"JOHNSTON GROUP, LLC",OR,10000,2,1
"CARFAX, INC.","CARFAX, INC.",VA,0,1,1
"CITY OF BURIEN, WA","JOHNSTON GROUP, LLC",WA,15000,3,1
SKYLINE HEALTH,"JOHNSTON GROUP, LLC",WA,10000,2,1
OLYMPIC MEDICAL CENTER,"JOHNSTON GROUP, LLC",WA,10000,3,1
GARFIELD COUNTY HOSPITAL DISTRICT,"JOHNSTON GROUP, LLC",WA,10000,2,1
ALLIANCE FOR PHYSICAL THERAPY QUALITY AND INNOVATION,ALLIANCE FOR PHYSICAL THERAPY QUALITY AND INNOVATION,DC,80000,1,1
FCA INTERNATIONAL,"OSCAR POLICY GROUP, LLC",IL,25000,1,1
FINISHING TRADES INSTITUTE OF THE MID ATLANTIC REGION,"OSCAR POLICY GROUP, LLC",PA,9000,1,1
STEAMFITTERS LOCAL 420,"OSCAR POLICY GROUP, LLC",PA,12000,2,1
EXPEDIA INC.,"CASSIDY & ASSOCIATES, INC.",DC,40000,2,3
NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION - PENN-DEL-JERSEY CHAPTER,"OSCAR POLICY GROUP, LLC",PA,0,1,1
AMERICAN SUBCONTRACTOR ASSOCIATION,"OSCAR POLICY GROUP, LLC",VA,30000,1,1
AMERICAN COUNCIL OF INDEPENDENT LABORATORIES,"OSCAR POLICY GROUP, LLC",DC,20000,4,1
CARPENTERS' COMPANY OF THE CITY AND COUNTY OF PHILADELPHIA,"OSCAR POLICY GROUP, LLC",PA,0,2,1
UNIVERSITY OF ILLINOIS,"TUSK STRATEGIES, LLC",IL,7500,1,1
"AGRI-MARK, INC","OSCAR POLICY GROUP, LLC",MA,10000,1,1
"UPSTATE NIAGARA COOPERATIVE, INC.","OSCAR POLICY GROUP, LLC",NY,10000,1,1
BIG BROTHERS BIG SISTERS INDEPENDENCE REGION,"OSCAR POLICY GROUP, LLC",PA,0,1,1
BIG BROTHERS BIG SISTERS MIDDLE TENNESSEE,"OSCAR POLICY GROUP, LLC",TN,0,1,1
GOGIG INC.,FORZA 151 STRATEGIES,FL,0,1,1
AMERICA OUTDOORS ASSOCIATION,FORZA 151 STRATEGIES,TN,0,1,1
BIG BROTHERS BIG SISTERS NEW YORK CITY,"OSCAR POLICY GROUP, LLC",NY,0,1,1
"MONROE ENERGY, LLC","OSCAR POLICY GROUP, LLC",PA,10000,1,1
CITY OF ENID,MR. MICHAEL COOPER,OK,30000,1,1
LABOR & ENERGY ALLIANCE,"OSCAR POLICY GROUP, LLC",PA,9000,1,1
MONTE SANO RESEARCH,"AGM CONSULTING SERVICES, INC.",AL,22500,1,1
TRIDEUM CORPORATION,"AGM CONSULTING SERVICES, INC.",AL,22500,1,1
IERUS TECHNOLOGIES,"AGM CONSULTING SERVICES, INC.",AL,22500,1,1
I3 CORPORATION,"AGM CONSULTING SERVICES, INC.",AL,22500,1,1
"1ST-EDGE, LLC","AGM CONSULTING SERVICES, INC.",AL,12750,1,1
HILL TECHNICAL SOLUTIONS,"AGM CONSULTING SERVICES, INC.",AL,22500,1,1
HOUSING PARTNERSHIP NETWORK INC,"THE HOUSING PARTNERSHIP NETWORK, INC.",MA,0,2,2
EXPERIMENTAL AIRCRAFT ASSOCIATION INC,"EXPERIMENTAL AIRCRAFT ASSOCIATION, INC.",WI,60000,1,1
GREATER COLUMBIA CHAMBER OF COMMERCE,"CASSIDY & ASSOCIATES, INC.",SC,30000,3,2
GHOST ROBOTICS CORPORATION,"CASSIDY & ASSOCIATES, INC.",PA,50000,2,2
GHOSTWORKS MARINE,"CASSIDY & ASSOCIATES, INC.",MI,40000,3,3
MESSER,"CASSIDY & ASSOCIATES, INC.",NJ,40000,1,1
MEDICAL PROPERTIES TRUST,"CASSIDY & ASSOCIATES, INC.",AL,60000,4,2
SOUTH DAKOTA ELLSWORTH DEVELOPMENT AUTHORITY,"DEFENSE CONSULTING GROUP, LLC",SD,32000,3,1
NORTHERN ARIZONA UNIVERSITY FOUNDATION,"CASSIDY & ASSOCIATES, INC.",AZ,50000,1,1
"PANHANDLE PLAINS HIGHER EDUCATION AUTHORITY, INC.",COLUMBIA STRATEGIC COUNSEL,TX,10000,2,1
SULLIVAN STRATEGIES OBO ODOT,COLUMBIA STRATEGIC COUNSEL,DC,10000,2,1
SOCIAL CURRENT,SOCIAL CURRENT,DC,0,1,1
"NIMITZ GROUP, LLC","CASSIDY & ASSOCIATES, INC.",TN,30000,1,3
"NORTH AMERICAN RESCUE, LLC","NORTH AMERICAN RESCUE, LLC",SC,10000,2,1
ALLIANCE FOR COMMUNITY MEDIA,MR. MIKE WASSENAAR,MN,10000,1,1
NATIONAL ASPHALT PAVEMENT ASSOCIATION,"CASSIDY & ASSOCIATES, INC.",MD,20000,1,1
AMERICAN LUNG ASSOCIATION,HEALTH AND MEDICINE COUNSEL,DC,10000,2,2
ASSOCIATION OF MINORITY HEALTH PROFESSIONS SCHOOLS,HEALTH AND MEDICINE COUNSEL,TX,10000,2,3
DIGESTIVE DISEASE NATIONAL COALITION,HEALTH AND MEDICINE COUNSEL,TX,10000,2,3
DYSTONIA MEDICAL RESEARCH FOUNDATION,HEALTH AND MEDICINE COUNSEL,TX,10000,2,2
ST GEORGE'S UNIVERSITY SCHOOL OF MEDICINE,HEALTH AND MEDICINE COUNSEL,TX,10000,2,3
AMERICAN THORACIC SOCIETY,HEALTH AND MEDICINE COUNSEL,DC,10000,2,3
MOREHOUSE SCHOOL OF MEDICINE,HEALTH AND MEDICINE COUNSEL,GA,10000,2,3
NATIONAL AHEC ORGANIZATION,HEALTH AND MEDICINE COUNSEL,PA,8500,2,3
PULMONARY HYPERTENSION ASSOCIATION,HEALTH AND MEDICINE COUNSEL,MD,10000,2,2
ACCESSIA HEALTH (FORMERLY PATIENT SERVICES INCORPORATED),HEALTH AND MEDICINE COUNSEL,VA,5000,2,3
AMERICAN BAR ASSOCIATION,CHRIS KATOPIS,DC,34875,1,1
ORASURE TECHNOLOGIES INC,HEALTH AND MEDICINE COUNSEL,PA,10000,2,3
NATIONAL COUNCIL FOR DIVERSITY IN HEALTH PROFESSIONS,HEALTH AND MEDICINE COUNSEL,CA,0,2,3
COALITION FOR CLINICAL & TRANSLATIONAL SCIENCE (FORMERLY JOINT ADVOCACY COALIT.),HEALTH AND MEDICINE COUNSEL,NC,0,2,3
NATIONAL SCLERODERMA FOUNDATION,HEALTH AND MEDICINE COUNSEL,TX,10000,2,2
"PARTS LIFE, INC.","CASSIDY & ASSOCIATES, INC.",NJ,30000,3,3
INTERSTITIAL CYSTITIS ASSOCIATION,HEALTH AND MEDICINE COUNSEL,MD,10000,2,2
U.S. HEREDITARY ANGIOEDEMA ASSOCIATION,HEALTH AND MEDICINE COUNSEL,HI,10000,2,2
SLEEP RESEARCH SOCIETY,HEALTH AND MEDICINE COUNSEL,IL,10000,2,3
TUSKEGEE UNIVERSITY COLLEGE OF VETERINARY MEDICINE,HEALTH AND MEDICINE COUNSEL,AL,10000,2,3
NATIONAL ALOPECIA AREATA FOUNDATION,HEALTH AND MEDICINE COUNSEL,CA,10000,2,2
