client,registrant,client_state,amount,n_issues,n_lobbyists
DRONEUP,DRONEUP,VA,30000,1,1
CONSEJO COORDINADOR EMPRESARIAL,"IQOM STRATEGIC ADVISORS, LLC",,140000,1,3
XIGNUX SA DE CV,"IQOM STRATEGIC ADVISORS, LLC",,9000,1,2
CONSEJO NACIONAL AGROPECUARIO,"IQOM STRATEGIC ADVISORS, LLC",,6000,1,3
INDUSTRIA MAQUILADORA Y MANUFACTURERA DE EXPORTACION (INDEX),"IQOM STRATEGIC ADVISORS, LLC",,15000,1,1
MID COAST HEALTH SYSTEM,MABRY PUBLIC AFFAIRS LLC,TX,15000,2,1
SABINE-NECHES NAVIGATION DISTRICT,MABRY PUBLIC AFFAIRS LLC,TX,70000,2,1
GOLDEN PASS LNG TERMINAL LLC - FKA - GOLDEN PASS PRODUCTS LLC,MABRY PUBLIC AFFAIRS LLC,TX,30000,2,1
TRUCONNECT,HARWOOD INTERNATIONAL LTD,CA,0,1,1
OUTDOOR VENTURE CORPORATION,MR. BRIAN DEARING,KY,0,1,1
XFS GLOBAL LLC,MR. BRIAN DEARING,VA,0,1,1
RV FRESH FOODS,"IQOM STRATEGIC ADVISORS, LLC",,0,2,1
"IRRIGATION AND ELECTRICAL DISTRICTS ASSOCIATION OF ARIZONA, INC","IRRIGATION AND ELECTRICAL DISTRICTS ASSOCIATION OF ARIZONA, INC.",AZ,0,2,1
"TRANS-GLOBAL SOLUTIONS, INC.",MABRY PUBLIC AFFAIRS LLC,TX,25000,1,1
VERIZON,"DCI GROUP, L.L.C.",DC,20000,1,1
GREENPOWER BX LLC,MR. MARK KOPEC,TX,0,1,1
3PL OPERATING INC.,MR. MARK KOPEC,NV,0,1,1
KOREA INTERNATIONAL TRADE ASSOCIATION,KOREA INTERNATIONAL TRADE ASSOCIATION,DC,62285,3,2
CONNECTIONS HEALTH SOLUTIONS,MCDERMOTT+ LLC,AZ,20000,1,3
THE PARTNERSHIP TO ADVANCE VIRTUAL CARE (PAVC),MCDERMOTT+ LLC,DC,30000,3,4
THE PERMANENTE FEDERATION,MCDERMOTT+ LLC,CA,0,2,3
ANDREESSEN HOROWITZ,MCDERMOTT+ LLC,CA,0,2,1
VERILY LIFE SCIENCES LLC,MCDERMOTT+ LLC,CA,0,3,2
CONSUMER TECHNOLOGY ASSOCIATION,MCDERMOTT+ LLC,VA,0,1,2
"COHERUS BIOSCIENCES, INC.",COHERUS BIOSCIENCES,CA,30000,2,3
MAIMONIDES MEDICAL CENTER,MCDERMOTT+ LLC,NY,40000,2,4
HELP AT HOME,MCDERMOTT+ LLC,IL,30000,2,4
"BROWNSTEIN HYATT FARBER SCHRECK, LLP OBO ATHENE HOLDING",RICHARD BURNESS,DC,0,1,1
PATIENTS FOR AFFORDABLE DRUGS NOW,MCDERMOTT+ LLC,DC,60000,3,4
NATIONAL COUNCIL ON AGING,MCDERMOTT+ LLC,CA,30000,2,7
"BROWNSTEIN HYATT FARBER SCHRECK, LLP OBO TEACHERS INSURANCE AND ANNUITY ASSOC",RICHARD BURNESS,CO,0,1,1
"BROWNSTEIN HYATT FARBER SCHRECK, LLP OBO APOLLO MANAGEMENT HOLDING",RICHARD BURNESS,CO,0,1,1
"BROWNSTEIN HYATT FARBER SCHRECK, LLP OBO JOHNSON & JOHNSON",RICHARD BURNESS,CO,0,1,1
"ARTIS, LLC",SKYLINE CAPITOL LLC,VA,20000,1,1
INTERGALACTIC,SKYLINE CAPITOL LLC,UT,30000,2,1
KENAI DEFENSE COMPANY LLC,SKYLINE CAPITOL LLC,UT,20000,2,1
"VIRTUALITICS, INC.",SKYLINE CAPITOL LLC,CA,15000,1,1
NEXA CAPITAL PARTNERS LLC,EAGLE POINT STRATEGIES LLC,VA,10000,2,1
EASTERN SHAWNEE TRIBE OF OKLAHOMA,DANCING RABBIT TRIBAL CONSULTING,OK,15000,1,1
PARK CITY UTAH,"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",MS,30000,3,2
UTAH TRANSIT AUTHORITY (UTA),"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",MS,40000,1,2
WASATCH FRONT REGIONAL COUNCIL,"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",UT,20000,2,2
SOUTH COAST WATER DISTRICT,"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",CA,20000,2,2
SONIC HEALTHCARE USA,"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",TX,40000,3,2
BEACH CITIES HEALTH DISTRICT,"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",CA,20000,3,2
"MILLCREEK, UTAH","BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",UT,20000,2,2
COVINGTON WATER DISTRICT,"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",WA,30000,3,1
COVINGTON WATER DISTRICT,"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",WA,30000,3,1
"SOUTH JORDAN, UTAH","BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",UT,20000,2,1
"HOLLADAY, UTAH","BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",UT,20000,3,1
UTAH VALLEY UNIVERSITY,"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",UT,30000,1,1
SPREAD THE WORD NEVADA,"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",NV,10000,2,1
NATIONAL CANNABIS INDUSTRY ASSOCIATION,NATIONAL CANNABIS INDUSTRY ASSOCIATION,DC,25000,3,1
SIXTEENTHIRTY FUND,BLUE MOUNTAIN STRATEGIES,DC,40000,2,1
ATOLLETC LLC,ATOLLETC LLC,IL,0,7,3
SMART APPROACHES TO MARIJUANA,BLUE MOUNTAIN STRATEGIES,VA,15000,5,1
STARKEY HEARING TECHNOLOGIES,BLUE MOUNTAIN STRATEGIES,MN,20000,1,1
STATE OF RHODE ISLAND,"MAYFORTH GROUP, LLC.",RI,45000,4,2
CENTRIO ENERGY,"LIEBMAN & ASSOCIATES, INC.",TX,60000,1,1
HORMEL FOODS CORPORATION,HORMEL FOODS CORPORATION,MN,130000,7,1
INTERCOMP COMPANY,"BROMELKAMP GOVERNMENT RELATIONS, LLC",MN,10000,2,1
"ENFOS, INC.","BROMELKAMP GOVERNMENT RELATIONS, LLC",IL,10000,2,1
CVS HEALTH,KEEFE STRATEGIES LLC FKA KEEFE SINGISER PARTNERS,DC,30000,2,1
PLANNED PARENTHOOD FEDERATION OF AMERICA,KEEFE STRATEGIES LLC FKA KEEFE SINGISER PARTNERS,NY,10000,1,1
HOPEWELL FUND,KEEFE STRATEGIES LLC FKA KEEFE SINGISER PARTNERS,DC,10000,1,1
AGILE THERAPEUTICS,KEEFE STRATEGIES LLC FKA KEEFE SINGISER PARTNERS,NJ,45000,1,1
AMERICANS FOR CONTRACEPTION,KEEFE STRATEGIES LLC FKA KEEFE SINGISER PARTNERS,DC,60000,1,1
NATIONAL PARTNERSHIP FOR WOMEN & FAMILIES,KEEFE STRATEGIES LLC FKA KEEFE SINGISER PARTNERS,DC,45000,2,2
COMMUNITY CATALYST,KEEFE STRATEGIES LLC FKA KEEFE SINGISER PARTNERS,MA,10000,2,1
THE COUNCIL OF STATE GOVERNMENTS,BRIMLEY GROUP INC.,KY,5000,2,1
JUST DETENTION INTERNATIONAL,BRIMLEY GROUP INC.,CA,5000,2,1
CORRECTIONAL LEADERS ASSOC. (F.K.A. ASSOC. OF STATE CORRECTIONAL ADMINISTRATORS),BRIMLEY GROUP INC.,ID,5000,1,1
ALLIANCE FOR CELL THERAPY NOW,"MARCHIBRODA GROUP, LLC",DC,0,1,1
O'GRADY PEYTON INTERNATIONAL (USA),MORRISON PUBLIC AFFAIRS GROUP,GA,40000,1,2
SEAMUS LITERARY & EDITORIAL SERVICES,MORRISON PUBLIC AFFAIRS GROUP,NY,10000,1,1
AMERICAN HOSPITAL ASSOCIATION,MORRISON PUBLIC AFFAIRS GROUP,DC,20000,1,2
LAW OFFICE OF CURTIS MORRISON,MORRISON PUBLIC AFFAIRS GROUP,CA,0,1,2
AMERICAN PROFICIENCY INSTITUTE,"AUBURN HEALTH STRATEGIES, LLC",MI,0,1,1
NATIONAL REVERSE MORTGAGE LENDERS ASSOCIATION,OLSON ADVOCACY GROUP LLC,DC,10000,1,1
"MURRAY, MONTGOMERY, & O'DONNELL ON BEHALF OF THE CITY OF PHOENIX",OLSON ADVOCACY GROUP LLC,DC,10000,1,1
COMMUNITY HOME LENDERS ASSOCIATION,OLSON ADVOCACY GROUP LLC,VA,35000,1,1
MANUFACTURED HOUSING INSTITUTE,OLSON ADVOCACY GROUP LLC,VA,15000,1,1
NATIONAL COMMUNITY RENAISSANCE,OLSON ADVOCACY GROUP LLC,CA,20000,1,1
"UMH PROPERTIES, INC.",OLSON ADVOCACY GROUP LLC,NJ,20000,1,1
SAMERA S.A.,OCAL LOBBYING GROUP,,0,1,1
OMC THERMOCHEMISTRY FKA OMC HYDROGEN,STROGEN LLC,CA,0,4,1
OCEAN THERMAL ENERGY CORPORATION,STROGEN LLC,PA,10000,2,1
CALIFORNIA FORESTRY ASSOCIATION,CALIFORNIA FORESTRY ASSOCIATION,CA,0,1,1
INTERDIGITAL COMMUNICATIONS,"STUART CHEMTOB, ESQ",PA,15000,3,1
CITY OF THOMASVILLE,"LAW OFFICES OF GEORGE HARRIS, LLC",AL,0,7,1
THE HEALTH CARE AUTHORITY CORPORATION OF THE CITY OF THOMASVILLE,"LAW OFFICES OF GEORGE HARRIS, LLC",AL,20000,3,1
TOWN OF GROVE HILL,"LAW OFFICES OF GEORGE HARRIS, LLC",AL,0,3,1
BLACK BELT ENERGY GAS DISTRICT,"LAW OFFICES OF GEORGE HARRIS, LLC",AL,20000,3,1
IRWIN COUNTY COMMISSION,"LAW OFFICES OF GEORGE HARRIS, LLC",GA,5000,3,1
FEDERAL EXPRESS CORPORATION,PENN AVENUE PARTNERS,DC,50000,2,4
"FERRERO USA, INC.",PENN AVENUE PARTNERS,NJ,50000,1,4
"FLEET PORTFOLIO, LLC",PENN AVENUE PARTNERS,IL,20000,1,1
FRESENIUS MEDICAL CARE NORTH AMERICA,PENN AVENUE PARTNERS,DC,50000,1,3
"FUELCELL ENERGY, INC.",PENN AVENUE PARTNERS,CT,50000,1,4
"HAAS, INCORPORATED",PENN AVENUE PARTNERS,NY,40000,1,1
"LIFEWAY FOODS, INC.",PENN AVENUE PARTNERS,IL,10000,2,2
NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION,PENN AVENUE PARTNERS,DC,60000,2,4
"NEXTERA ENERGY, INC.",PENN AVENUE PARTNERS,FL,30000,2,1
"PALANTIR TECHNOLOGIES, INC.",PENN AVENUE PARTNERS,CA,30000,2,4
"SIDEPRIZE LLC, D/B/A PRIZEPICKS",PENN AVENUE PARTNERS,GA,50000,1,2
TSMC ARIZONA,PENN AVENUE PARTNERS,AZ,50000,2,4
UNITED STATES TELECOMMUNICATIONS TRAINING INSTITUTE,PENN AVENUE PARTNERS,DC,10000,1,2
"UNITEDHEALTH GROUP, INC.",PENN AVENUE PARTNERS,DC,90000,3,3
"USA EB5 IMMIGRATION, LLC",PENN AVENUE PARTNERS,MD,60000,1,2
USA MANAGED CARE ORGANIZATION,PENN AVENUE PARTNERS,AZ,50000,1,3
WESTERN UNION,PENN AVENUE PARTNERS,CO,20000,1,2
"ACTION NOW INITIATIVE, LLC",PENN AVENUE PARTNERS,TX,50000,3,3
"ALKERMES, INC.",PENN AVENUE PARTNERS,MA,50000,1,4
"AMERICAN AIRLINES, INC.",PENN AVENUE PARTNERS,DC,200000,2,5
A. O. SMITH CORPORATION,PENN AVENUE PARTNERS,WI,20000,1,1
"ATI, INC.",PENN AVENUE PARTNERS,VA,50000,1,3
BLACKROCK FUNDS SERVICES GROUP LLC,PENN AVENUE PARTNERS,NY,60000,1,3
"BRIGHTHOUSE FINANCIAL, INC.",PENN AVENUE PARTNERS,NC,30000,5,4
CARNIVAL CORPORATION,PENN AVENUE PARTNERS,FL,110000,3,4
"CITY OF MCALLEN, TEXAS",PENN AVENUE PARTNERS,TX,30000,1,2
CITY OF WESTON FLORIDA,PENN AVENUE PARTNERS,FL,20000,2,4
"COSTAR GROUP, INC.",PENN AVENUE PARTNERS,DC,60000,1,2
"ENBRIDGE ENERGY COMPANY, INC.",PENN AVENUE PARTNERS,TX,50000,1,5
"ENERGYRE, LLC",PENN AVENUE PARTNERS,NY,10000,1,2
RAI SERVICES COMPANY,HR STRATEGIES LLC,DC,50000,3,2
ASTROPHYSICS INC.,"AEROSPACE INTELLIGENCE, LLC",CA,0,1,1
NOVO DR INC,"AEROSPACE INTELLIGENCE, LLC",MI,0,1,1
GENASYS (FORMERLY LRAD CORPORATION),"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,30000,1,1
SAN ANTONIO WATER SYSTEM,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",TX,20000,1,1
THOR SOLUTIONS,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",VA,0,1,1
MANN CENTER FOR THE PERFORMING ARTS ON BEHALF OF CAVAROCCHI RUSCIO DENNIS ASSOC,"MISSION GOVERNMENT RELATIONS (FORMERLY KNOWN AS MUROFF LAW FIRM, LLC)",PA,0,1,1
SALVATION ARMY OF EASTERN PENNSYLVANIA AND DELAWARE,"MISSION GOVERNMENT RELATIONS (FORMERLY KNOWN AS MUROFF LAW FIRM, LLC)",PA,10000,1,1
PANTHEON DATA (FKA THE KENIFIC GROUP),"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",VA,70000,1,1
"SELF-HELP MOVEMENT, INC","MISSION GOVERNMENT RELATIONS (FORMERLY KNOWN AS MUROFF LAW FIRM, LLC)",PA,10000,1,1
PARKER MEGGITT (FORMERLY MEGGITT USA),"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",DC,30000,2,1
TRELLISWARE TECHNOLOGIES,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,20000,1,1
INGLIS,"MISSION GOVERNMENT RELATIONS (FORMERLY KNOWN AS MUROFF LAW FIRM, LLC)",PA,10000,1,1
"PACIFIC DEFENSE, LLC","ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,15000,1,1
CAMBIUM BIOMATERIALS,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,30000,1,1
"KARMAN-SD (FKA SYSTIMA TECHNOLOGIES, INC.)","ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",WA,25000,1,1
ALAKAI DEFENSE SYSTEMS,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",FL,20000,1,1
ASTRANIS SPACE TECHNOLOGIES CORP,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,30000,1,1
AIM INTELLIGENT MACHINES,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",WA,30000,1,1
AUTONOMOUS DEFENSE TECHNOLOGIES CORP,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",VA,30000,1,1
FORTERRA (FKA RR.AI),"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",MD,30000,1,1
CASTELION,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",CA,30000,1,1
PANTHEON DATA (FKA THE KENIFIC GROUP),"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",VA,70000,1,1
"STAPLETON ASSOCIATES (ON BEHALF OF INQUISIT, LLC)","ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",VA,0,1,1
CLOROX CORPORATION,MR. PHILIP KLEIN,CA,12500,1,1
YMCA OF THE USA,YMCA OF THE USA,DC,110000,3,3
LOCKHEED MARTIN CORPORATION,PENN AVENUE PARTNERS,MD,50000,3,4
TUBA CITY REGIONAL HEALTH CARE CORPORATION,"THE TOMHAVE GROUP, INC.",AZ,22000,1,1
POWER SOLUTIONS INTERNATIONAL (PSI),THE LANDE GROUP,IL,30000,3,1
BATTLE CREEK UNLIMITED,"BLACKWELL STRATEGIC GROUP, LLC",MI,10000,3,1
RESEARCH!AMERICA,KEEFE STRATEGIES LLC FKA KEEFE SINGISER PARTNERS,VA,20000,1,1
THE CITY OF CRYSTAL CITY,LONE STAR CONSULTING,TX,10000,1,1
WOOLPERT CORPORATION,"WAYPOINT CONSULTING, LLC",OH,60000,1,1
"LA SALLE COUNTY, TEXAS",LONE STAR CONSULTING,TX,10000,1,1
"CITY OF PALACIOS, TEXAS",LONE STAR CONSULTING,TX,12000,1,1
TRIMBLE INC.,"WAYPOINT CONSULTING, LLC",CA,30000,1,1
UPPER JASPER COUNTY WATER AUTHORITY,LONE STAR CONSULTING,TX,0,1,1
CTS CEMENT MANUFACTURING CORPORATION,"WAYPOINT CONSULTING, LLC",CA,0,1,1
"CITY OF PHARR, TEXAS",LONE STAR CONSULTING,TX,15000,1,1
DELTA CAPITAL RESEARCH LLC,"WAYPOINT CONSULTING, LLC",MS,20000,1,1
CITY OF GRAND PRAIRIE,LONE STAR CONSULTING,TX,20000,1,1
RELIANCE AEROSPACE PRODUCTS & HOLDINGS,"WAYPOINT CONSULTING, LLC",TX,0,1,1
MEXIA ECONOMIC DEVELOPMENT CORPORATION,LONE STAR CONSULTING,TX,12000,1,1
TEXAS RESEARCH INTERNATIONAL - ENVIRONMENTAL GROUP,"WAYPOINT CONSULTING, LLC",TX,0,1,1
"DYNATEST US, INC","WAYPOINT CONSULTING, LLC",FL,20000,1,1
"CITY OF WILMER, TEXAS",LONE STAR CONSULTING,TX,10000,1,1
NASSAU SUFFOLK HOSPITAL COUNCIL,NASSAU SUFFOLK HOSPITAL COUNCIL,NY,10000,1,1
"SCHLEICHER COUNTY, TEXAS",LONE STAR CONSULTING,TX,0,1,1
"SHORELIGHT, LLC (FKA SHORELIGHT EDUCATION, LLC)","SHORELIGHT, LLC (FKA SHORELIGHT EDUCATION, LLC)",MA,48700,2,1
SACRAMENTO AREA FLOOD CONTROL AGENCY (SAFCA),MICHAEL STRACHN,CA,30000,2,1
WEST SACRAMENTO AREA FLOOD CONTROL AGENCY (WSAFCA),MICHAEL STRACHN,CA,20000,1,1
CREA,MG HOUSING STRATEGIES LLC,IN,60000,1,2
INLAND GROUP,MG HOUSING STRATEGIES LLC,WA,30000,1,2
THE PACIFIC COMPANIES,MG HOUSING STRATEGIES LLC,ID,30000,1,2
WENDOVER HOUSING PARTNERS,MG HOUSING STRATEGIES LLC,FL,30000,1,2
THE NRP GROUP,MG HOUSING STRATEGIES LLC,OH,30000,1,2
HNI CORPORATION,HNI CORPORATION,IA,25093,6,1
CHURCHILL STATESIDE,MG HOUSING STRATEGIES LLC,GA,20000,1,2
VITUS,MG HOUSING STRATEGIES LLC,WA,30000,1,2
COHNREZNICK LLP,MG HOUSING STRATEGIES LLC,NY,50000,1,2
LIHC INVESTMENT CORP,MG HOUSING STRATEGIES LLC,ME,10000,1,2
INSTITUTE FOR RESPONSIBLE HOUSING PRESERVATION,MG HOUSING STRATEGIES LLC,DC,30000,1,2
THE WINN COMPANIES,MG HOUSING STRATEGIES LLC,MA,20000,1,2
LINCOLN AVENUE CAPITAL,MG HOUSING STRATEGIES LLC,CA,20000,1,2
THE WISHCAMPER COMPANIES,MG HOUSING STRATEGIES LLC,ME,10000,1,2
HOUSING ADVISORY GROUP,MG HOUSING STRATEGIES LLC,OR,20000,1,2
CALIFORNIA COUNCIL FOR AFFORDABLE HOUSING,MG HOUSING STRATEGIES LLC,CA,30000,1,2
TULSA COMMUNITY COLLEGE,TULSA COMMUNITY COLLEGE,OK,0,1,1
TECHMET USA INC.,TECHMET USA INC.,DE,0,1,1
ROWEN FOUNDATION,"OHIO RIVER SOUTH, INC.",GA,32000,1,1
REINVENTING GEOSPATIAL INC.,"WAYPOINT CONSULTING, LLC",VA,10000,1,1
EARTH SCIENCE SYSTEMS (ESS),"WAYPOINT CONSULTING, LLC",CO,0,1,1
CALIFORNIA CLING PEACH GROWERS,"OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC",CA,0,3,1
NEW DAWN LABS LLC,"WAYPOINT CONSULTING, LLC",OH,0,1,1
"LANTHEUS HOLDINGS, INC.","LANTHEUS HOLDINGS, INC.",MA,155000,1,1
CITY OF LITTLE ROCK,PETER DAMON GROUP LLC,AR,30000,1,1
CITY OF FORT SMITH,PETER DAMON GROUP LLC,AR,18675,1,1
STATE FEDERAL STRATEGIES ON BEHALF OF HEAT AND FROST INSULATORS (LMCT),PETER DAMON GROUP LLC,NJ,30000,2,2
NORFOLK SOUTHERN CORPORATION,"THOMAS ADVISORS, INC",DC,12000,1,2
BESI,PETER DAMON GROUP LLC,IL,60000,1,2
GLOBAL IMPACT SOCIAL WELFARE FUND,PETER DAMON GROUP LLC,VA,30000,1,2
"KASICH COMPANY, LLC ON BEHALF OF SCHOTTENSTEIN STORES CORPORATION",SKLADANY CONSULTING LLC,OH,20000,2,1
TRANSPORTATION INTERMEDIARIES ASSOCIATION,TRANSPORTATION INTERMEDIARIES ASSOCIATION,VA,120000,1,4
BOSSIER PARISH POLICE JURY,GOVERNMENT SOLUTIONS LLC,LA,20000,2,1
FEDERATION OF ELECTRIC POWER COS OF JAPAN,GEORGE H. DENISON,,0,1,1
"OTSUKA AMERICA PHARMACEUTICAL, INC.",GOVERNMENT SOLUTIONS LLC,MD,30000,3,1
PROENGLISH,PROENGLISH,DC,11986,1,1
PROENGLISH,PROENGLISH,DC,11986,1,1
"DRIVERDO LLC, DBA DRAIVER",PETER DAMON GROUP LLC,KS,15000,1,2
NATIONAL COMMODITY SUPPLEMENTAL FOOD PROGRAM ASSOCIATION,"OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC",MO,0,2,1
"AMERICAN MALTING BARLEY ASSOCIATION, INC.","AMERICAN MALTING BARLEY ASSOCIATION, INC.",WI,0,1,2
"RIVIAN AUTOMOTIVE, LLC","RIVIAN AUTOMOTIVE, LLC",CA,40000,6,1
HATEZ CAPITAL,HATEZ CAPITAL,GA,0,1,1
AMERICAN COLLEGE OF CLINICAL PHARMACY,AMERICAN COLLEGE OF CLINICAL PHARMACY,DC,144981,5,2
MID-WEST ELECTRIC CONSUMER ASSOCIATION,MR. BARRY STRUMPF CONSULTING,CO,0,2,1
COALITION OF AIRLINE PILOTS ASSOCIATIONS,COALITION OF AIRLINE PILOTS ASSOCIATIONS,DC,0,1,3
LYNK GLOBAL INC (FKA UBIQUITILINK),CARPENTER STRATEGIC CONSULTING LLC,VA,20000,1,1
NASEO,MR. BARRY STRUMPF CONSULTING,VA,0,1,1
MOSAIK SOLUTIONS LLC (NOW DBA OOKLA),CARPENTER STRATEGIC CONSULTING LLC,WA,10000,1,1
PDV WIRELESS (NOW DBA ANTERIX),CARPENTER STRATEGIC CONSULTING LLC,VA,50000,2,1
"AMAC ACTION, INC.","AMAC ACTION, INC.",FL,130000,4,6
FRESENIUS MEDICAL CARE,"THE ONEILL GROUP, LLC",MA,30000,1,1
TRIWEST HEALTHCARE ALLIANCE CORP,"THE ONEILL GROUP, LLC",AZ,0,1,1
FEDERAL HOME LOAN BANK OF NEW YORK,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS),NY,60000,2,1
RENT-A-CENTER,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS),TX,50000,1,1
TRADE EXCHANGE OF AMERICA,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS),MI,0,1,1
"MONUMENT STRATEGIES, LLC",THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS),DC,20000,2,1
CHURCHILL DOWNS INCORPORATED,CHURCHILL DOWNS INCORPORATED,KY,30000,1,1
"PYXUS INTERNATIONAL, INC.",THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS),NC,15000,1,1
"STAPLETON ASSOCIATES (ON BEHALF OF INQUISIT, LLC)","ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",VA,10000,1,1
