"state","senator_last","senator_first","party","state_name","pres24_margin","ev","pres24_winner","abs_margin","hostile_turf"
"MI","Peters","Gary","Democrat","Michigan",1.42,15,"Trump",1.42,TRUE
"GA","Ossoff","Jon","Democrat","Georgia",2.2,16,"Trump",2.2,TRUE
"NH","Shaheen","Jeanne","Democrat","New Hampshire",-2.78,4,"Harris",2.78,FALSE
"NC","Tillis","Thom","Republican","North Carolina",3.21,16,"Trump",3.21,FALSE
"MN","Smith","Tina","Democrat","Minnesota",-4.24,10,"Harris",4.24,FALSE
"VA","Warner","Mark","Democrat","Virginia",-5.78,13,"Harris",5.78,FALSE
"NJ","Booker","Cory","Democrat","New Jersey",-5.91,14,"Harris",5.91,FALSE
"NM","Luján","Ben","Democrat","New Mexico",-6,5,"Harris",6,FALSE
"ME","Collins","Susan","Republican","Maine",-6.94,4,"Harris",6.94,TRUE
"IL","Durbin","Richard","Democrat","Illinois",-10.9,19,"Harris",10.9,FALSE
"CO","Hickenlooper","John","Democrat","Colorado",-10.99,10,"Harris",10.99,FALSE
"AK","Sullivan","Dan","Republican","Alaska",13.13,3,"Trump",13.13,FALSE
"IA","Ernst","Joni","Republican","Iowa",13.21,6,"Trump",13.21,FALSE
"TX","Cornyn","John","Republican","Texas",13.68,40,"Trump",13.68,FALSE
"RI","Reed","John","Democrat","Rhode Island",-13.78,4,"Harris",13.78,FALSE
"OR","Merkley","Jeff","Democrat","Oregon",-14.3,8,"Harris",14.3,FALSE
"DE","Coons","Christopher","Democrat","Delaware",-14.7,3,"Harris",14.7,FALSE
"KS","Marshall","Roger","Republican","Kansas",16.12,6,"Trump",16.12,FALSE
"SC","Graham Nordone","Darline","Republican","South Carolina",17.87,9,"Trump",17.87,FALSE
"MT","Daines","Steve","Republican","Montana",19.93,4,"Trump",19.93,FALSE
"NE","Ricketts","Pete","Republican","Nebraska",20.46,5,"Trump",20.46,FALSE
"LA","Cassidy","Bill","Republican","Louisiana",22.01,8,"Trump",22.01,FALSE
"MS","Hyde-Smith","Cindy","Republican","Mississippi",22.89,6,"Trump",22.89,FALSE
"MA","Markey","Edward","Democrat","Massachusetts",-25.2,11,"Harris",25.2,FALSE
"SD","Rounds","Mike","Republican","South Dakota",29.19,3,"Trump",29.19,FALSE
"TN","Hagerty","Bill","Republican","Tennessee",29.72,11,"Trump",29.72,FALSE
"AL","Tuberville","Tommy","Republican","Alabama",30.47,9,"Trump",30.47,FALSE
"KY","McConnell","Mitch","Republican","Kentucky",30.53,8,"Trump",30.53,FALSE
"AR","Cotton","Tom","Republican","Arkansas",30.64,6,"Trump",30.64,FALSE
"OK","Armstrong","Alan","Republican","Oklahoma",34.26,7,"Trump",34.26,FALSE
"ID","Risch","James","Republican","Idaho",36.49,4,"Trump",36.49,FALSE
"WV","Capito","Shelley","Republican","West Virginia",41.87,4,"Trump",41.87,FALSE
"WY","Lummis","Cynthia","Republican","Wyoming",45.76,3,"Trump",45.76,FALSE
