"state","winner_party","dem_pct"
"MI",NA,NA
"GA",NA,NA
"NH",NA,NA
"NC",NA,NA
"MN",NA,NA
"VA",NA,NA
"NJ",NA,NA
"NM",NA,NA
"ME",NA,NA
"IL",NA,NA
"CO",NA,NA
"OH",NA,NA
"FL",NA,NA
"AK",NA,NA
"IA",NA,NA
"TX",NA,NA
"RI",NA,NA
"OR",NA,NA
"DE",NA,NA
"KS",NA,NA
"SC",NA,NA
"MT",NA,NA
"NE",NA,NA
"LA",NA,NA
"MS",NA,NA
"MA",NA,NA
"SD",NA,NA
"TN",NA,NA
"AL",NA,NA
"KY",NA,NA
"AR",NA,NA
"OK",NA,NA
"ID",NA,NA
"WV",NA,NA
"WY",NA,NA
