"the_file","supporting","opposing","pct_supporting","pct_opposing","reads_as"
"As it arrives from the FEC",46940819964.1391,2733428534.08,94.5,5.5,"mostly money FOR candidates"
"After sixteen rows are removed",2015130960.14,2733428534.08,42.4,57.6,"mostly money AGAINST candidates"
