"key","value"
"last_congress","119"
"careers","13320"
"ongoing","554"
"pct_ongoing","4.2"
"members","12633"
"gaps","1175"
"median_km","3"
"median_house","2"
"median_senate","3"
"median_modern_km","6"
"median_old_km","3"
"mod_n","1352"
"mod_ongoing","531"
"mod_pct","39.3"
"mod_median_all","4"
"mod_median_ended","3"
"entry_congress","111"
"entry_n","70"
"entry_ongoing","12"
"recent_cohort_lo","105"
"recent_cohort_pct","18.3"
"recent_cohort_mean_ended","4.74"
"max_tenure","30"
"max_name","DINGELL, John David, Jr."
