key,issued,citation,title,categories,question_form,first_census,detail
1977,1977-05-12,Statistical Policy Directive No. 15,Race and Ethnic Standards for Federal Statistics and Administrative Reporting,5,"separate collection preferred, not required",1980,One mark only. A person of mixed origins was to be reported in the category which most closely reflects the individuals recognition in his community.
1997,1997-10-30,62 FR 58782,Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity,6,two separate questions preferred,2000,Respondents shall be offered the option of selecting one or more racial designations. Asian or Pacific Islander split into two categories.
2024,2024-03-29,89 FR 22182,"Revisions to OMBs Statistical Policy Directive No. 15: Standards for Maintaining, Collecting, and Presenting Federal Data on Race and Ethnicity",7,a single combined question required,2030 (planned),"Middle Eastern or North African added as a minimum category, separate from White. Effective 2024-03-28; agency action plans due 2027-03-28 after two extensions; full compliance 2029-09-28."
