year,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,white_alone,black_alone,aian_alone,asian_alone,nhpi_alone,sor_alone,white_any,black_any,aian_any,asian_any,nhpi_any,sor_any,one_race,two_plus
2010,308745538,50477594,196817552,37685848,2247098,14465124,481576,604265,5966481,223553265,38929319,2932248,14674252,540013,19107368,231040398,42020743,5220579,17320856,1225195,21748084,299736465,9009073
2020,331449281,62080044,191697647,39940338,2251699,19618719,622018,1689833,13548983,204277273,41104200,3727135,19886049,689966,27915715,235411507,46936733,9666058,24000998,1586463,49902536,297600338,33848943
