name,value,note
fetched,2026-08-11,""
us_pop,331449281,"2020 Census, 50 states and DC"
us_hispanic,62080044,""
us_hispanic_pct,18.73,""
us_nh_white,191697647,""
us_nh_white_pct,57.84,""
us_nh_black,39940338,""
us_nh_black_pct,12.05,""
us_nh_aian,2251699,""
us_nh_aian_pct,0.68,""
us_nh_asian,19618719,""
us_nh_asian_pct,5.92,""
us_nh_nhpi,622018,""
us_nh_nhpi_pct,0.19,""
us_nh_sor,1689833,""
us_nh_sor_pct,0.51,""
us_nh_two,13548983,""
us_nh_two_pct,4.09,""
us_white_alone,204277273,""
us_white_any,235411507,""
us_white_alone_pct,61.63,""
us_white_any_pct,71.02,""
us_white_gap,31134234,""
us_white_ratio,1.15,""
us_black_alone,41104200,""
us_black_any,46936733,""
us_black_alone_pct,12.40,""
us_black_any_pct,14.16,""
us_black_gap,5832533,""
us_black_ratio,1.14,""
us_aian_alone,3727135,""
us_aian_any,9666058,""
us_aian_alone_pct,1.12,""
us_aian_any_pct,2.92,""
us_aian_gap,5938923,""
us_aian_ratio,2.59,""
us_asian_alone,19886049,""
us_asian_any,24000998,""
us_asian_alone_pct,6.00,""
us_asian_any_pct,7.24,""
us_asian_gap,4114949,""
us_asian_ratio,1.21,""
us_nhpi_alone,689966,""
us_nhpi_any,1586463,""
us_nhpi_alone_pct,0.21,""
us_nhpi_any_pct,0.48,""
us_nhpi_gap,896497,""
us_nhpi_ratio,2.30,""
us_sor_alone,27915715,""
us_sor_any,49902536,""
us_sor_alone_pct,8.42,""
us_sor_any_pct,15.06,""
us_sor_gap,21986821,""
us_sor_ratio,1.79,""
us_two_plus,33848943,""
us_two_plus_pct,10.21,""
E_us,1.2560,""
E_max,2.0794,""
n_categories,8,mutually exclusive categories in Table P2
H_nation,0.0000,""
H0_nation,0.0000,""
div_nation,60.4,""
units_nation,1,""
H_region,0.0348,""
H0_region,0.0000,""
div_region,58.3,""
units_region,4,""
H_division,0.0518,""
H0_division,-0.0000,""
div_division,57.3,""
units_division,9,""
H_state,0.0890,""
H0_state,-0.0001,""
div_state,55.0,""
units_state,51,""
H_county,0.1663,""
H0_county,0.0000,""
div_county,50.4,""
units_county,3143,""
H_censustract,0.2866,""
H0_censustract,0.0007,""
div_censustract,43.1,""
units_censustract,84414,""
H_blockgroup,0.3036,""
H0_blockgroup,0.0019,""
div_blockgroup,42.1,""
units_blockgroup,239780,""
H_censusblock,0.4003,""
H0_censusblock,0.0407,""
div_censusblock,36.2,""
units_censusblock,8132968,""
pop_tract_80plus,33.9,""
pop_tract_70plus,52.4,""
pop_tract_90plus,13.1,""
pop_tract_under50,17.1,""
n_counties,3143,""
n_tracts,84414,""
n_blockgroups,239780,""
n_blocks,8132968,""
wayne_pop,1793561,""
wayne_tracts,627,""
wayne_blocks,32022,""
wayne_hispanic_pct,6.6,""
wayne_nh_white_pct,47.8,""
wayne_nh_black_pct,37.3,""
wayne_nh_aian_pct,0.2,""
wayne_nh_asian_pct,3.6,""
wayne_nh_nhpi_pct,0.0,""
wayne_nh_sor_pct,0.4,""
wayne_nh_two_pct,4.0,""
wayne_largest,White,""
wayne_largest_pct,47.8,""
wayne_entropy,1.1886,""
wayne_div,57.2,""
wayne_tract_ebar,0.7444,""
wayne_H_tract,0.3737,""
wayne_tracts_80_black,201,""
wayne_tracts_80_white,125,""
wayne_pop_80,929783,""
wayne_pop_80_pct,51.8,""
wayne_tracts_black_largest,279,""
wayne_tracts_white_largest,307,""
wayne_tracts_pop,600,""
wayne_tract_median_largest,81.6,""
wayne_tracts_90,156,""
wayne_pop_90_pct,22.9,""
wayne_bg,1507,""
transect_blocks,2234,""
transect_pop,110620,""
transect_counties,3,""
profile_blocks,5445,""
profile_pop,299535,""
prof_south_black,89.9,""
prof_south_white,5.0,""
prof_north_black,45.2,""
prof_north_white,42.8,""
prof_in500_black,90.7,""
prof_out500_black,53.5,""
prof_jump_black,37.2,""
pop_2010,308745538,""
pop_2020,331449281,""
d10_two_plus,9009073,""
d20_two_plus,33848943,""
chg_two_plus,+275.7,""
d10_sor_alone,19107368,""
d20_sor_alone,27915715,""
chg_sor_alone,+46.1,""
d10_sor_any,21748084,""
d20_sor_any,49902536,""
chg_sor_any,+129.5,""
d10_white_alone,223553265,""
d20_white_alone,204277273,""
chg_white_alone,-8.6,""
d10_white_any,231040398,""
d20_white_any,235411507,""
chg_white_any,+1.9,""
d10_black_alone,38929319,""
d20_black_alone,41104200,""
chg_black_alone,+5.6,""
d10_black_any,42020743,""
d20_black_any,46936733,""
chg_black_any,+11.7,""
d10_aian_alone,2932248,""
d20_aian_alone,3727135,""
chg_aian_alone,+27.1,""
d10_aian_any,5220579,""
d20_aian_any,9666058,""
chg_aian_any,+85.2,""
d10_asian_alone,14674252,""
d20_asian_alone,19886049,""
chg_asian_alone,+35.5,""
d10_asian_any,17320856,""
d20_asian_any,24000998,""
chg_asian_any,+38.6,""
chg_pop,+7.4,""
d10_hispanic_pct,16.3,""
d20_hispanic_pct,18.7,""
d10_nh_white_pct,63.7,""
d20_nh_white_pct,57.8,""
std1977_issued,1977-05-12,""
std1977_cite,Statistical Policy Directive No. 15,""
std1977_n,5,""
std1977_census,1980,""
std1997_issued,1997-10-30,""
std1997_cite,62 FR 58782,""
std1997_n,6,""
std1997_census,2000,""
std2024_issued,2024-03-29,""
std2024_cite,89 FR 22182,""
std2024_n,7,""
std2024_census,2030 (planned),""
