level,units,units_with_people,median_pop,ebar,ebar0,pct_single_group,note,H,H0,H_net,diversity
Nation,1,1,331449281,1.25605,1.25599,0,"1 unit, by construction H = 0",0,0.0000417214,-0.0000417214,60.403
Region,4,4,73787013,1.21228,1.25601,0,"Northeast, Midwest, South, West",0.0348444,0.0000291384,0.0348153,58.2983
Division,9,9,40774139,1.19093,1.25609,0,the Bureau's nine divisions,0.0518393,-0.0000322624,0.0518715,57.2718
State,51,51,4505836,1.14431,1.25612,0,50 states and DC,0.088958,-0.0000577755,0.0890158,55.0297
County,3143,3143,25698,1.04711,1.25602,0,counties and county equivalents,0.166345,0.0000170619,0.166328,50.3553
Census tract,84414,83848,3761,0.896076,1.2552,0.048898,"roughly 4,000 people",0.28659,0.000676879,0.285913,43.0921
Block group,239780,238437,,0.874685,1.25368,0.03481,"roughly 1,200 people",0.30362,0.00188103,0.301739,42.0635
Census block,8132968,5769942,,0.75323,1.20495,18.1152,the finest unit published; DP noise is worst here,0.400316,0.0406767,0.35964,36.2227
