band,blocks,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,mid
-10,308,15279,215,1057,13405,44,52,0,68,438,-2.375
-9,309,15184,217,741,13654,28,31,1,65,447,-2.125
-8,306,14811,219,743,13281,30,44,1,75,418,-1.875
-7,385,16142,272,846,14343,42,51,2,86,500,-1.625
-6,357,19100,216,922,17268,30,57,3,94,510,-1.375
-5,366,17617,274,976,15669,32,81,2,68,515,-1.125
-4,335,15944,238,634,14492,28,39,1,67,445,-0.875
-3,297,17642,195,807,16020,40,29,1,67,483,-0.625
-2,312,18714,212,739,17128,48,50,6,69,462,-0.375
-1,326,14391,214,694,12890,25,49,5,78,436,-0.125
0,243,11041,355,3662,6131,32,283,4,67,507,0.125
1,185,12823,362,4618,6643,23,448,3,82,644,0.375
2,200,13736,456,5701,6301,21,392,5,84,776,0.625
3,210,12966,428,5425,6003,40,316,1,77,676,0.875
4,194,12946,379,5816,5388,31,623,9,80,620,1.125
5,234,16164,477,6788,7377,44,599,2,87,790,1.375
6,209,9632,363,4396,4005,30,207,3,50,578,1.625
7,221,15954,396,6912,7270,48,464,3,60,801,1.875
8,236,17208,381,8462,6794,60,568,3,87,853,2.125
9,212,12241,347,5830,5006,32,376,3,70,577,2.375
