kind,geoid,name,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,white_alone,black_alone,aian_alone,asian_alone,nhpi_alone,sor_alone,white_any,black_any,aian_any,asian_any,nhpi_any,sor_any,one_race,two_plus,entropy
region,1,Northeast,57609148,8794868,35752998,6207939,112024,4143379,15069,465485,2117386,37111396,6628896,292587,4177286,24136,4706363,41039192,7923610,991021,4749320,94605,7817288,52940664,4668484,1.18703
region,2,Midwest,68985454,5978786,50082552,7111553,382776,2385691,38022,242361,2763713,51353019,7228615,559397,2405457,42741,2686844,55787036,8317698,1764075,2945979,115780,5048247,64276073,4709381,0.976725
region,3,South,126266107,23696746,68393435,23153574,722756,4757911,100255,565727,4875703,73886732,23582989,1145140,4818076,115582,8852093,86844292,25881612,3488583,5914322,277968,18421518,112400612,13865495,1.26578
region,4,West,78588572,23609644,37468662,3467272,1034143,8331738,468672,416260,3792181,41926126,3663700,1730011,8485230,507507,11670415,51740987,4813813,3422379,10391377,1098110,18615483,67982989,10605583,1.3516
division,1,New England,15116205,1794646,10784293,925797,30882,777455,3866,143483,655783,11105080,999785,60659,783568,5512,938558,12156447,1320931,254177,925143,22874,1743980,13893162,1223043,1.01267
division,2,Middle Atlantic,42492943,7000222,24968705,5282142,81142,3365924,11203,322002,1461603,26006316,5629111,231928,3393718,18624,3767805,28882745,6602679,736844,3824177,71731,6073308,39047502,3445441,1.23659
division,3,East North Central,47368533,4424621,33477559,5595258,144238,1717090,14708,170232,1824827,34373229,5688400,274993,1731348,17922,2024710,37430335,6453587,1045847,2093713,62763,3736469,44110602,3257931,1.00515
division,4,West North Central,21616921,1554165,16604993,1516295,238538,668601,23314,72129,938886,16979790,1540215,284404,674109,24819,662134,18356701,1864111,718228,852266,53017,1311778,20165471,1451450,0.898141
division,5,South Atlantic,66089734,10147394,36365960,13714620,218141,2653826,37539,353228,2599026,38408781,13986217,383647,2683960,44985,3870920,44564215,15374605,1404547,3335934,131601,8374927,59378510,6711224,1.25016
division,6,East South Central,19402234,1056308,13375438,3808696,60757,316368,10705,60312,713650,13581537,3836008,90920,319410,11934,537002,14539530,4120522,437401,425154,30171,935070,18376811,1025423,0.96323
division,7,West South Central,40774139,12493044,18652037,5630258,443858,1787717,52011,152187,1563027,21896414,5760764,670573,1814706,58663,4444171,27740547,6386485,1646635,2153234,116196,9111521,34645291,6128848,1.33429
division,8,Mountain,24919150,6193275,15062974,930550,633666,863077,88309,116290,1031009,16561335,991121,798589,888215,95964,2476229,19511731,1325351,1311596,1245469,193825,4628380,21811453,3107697,1.15973
division,9,Pacific,53669422,17416369,22405688,2536722,400477,7468661,380363,299970,2761172,25364791,2672579,931422,7597015,411543,9194186,32229256,3488462,2110783,9145908,904285,13987103,46171536,7497886,1.40186
