GEOID,cx,cy,dist,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,county,side
260992632001002,18.733,21.207,2.403,62,1,34,16,0,0,0,0,11,26099,north
260992632001003,18.608,21.198,2.401,0,0,0,0,0,0,0,0,0,26099,north
260992632001004,18.616,21.113,2.315,0,0,0,0,0,0,0,0,0,26099,north
260992632001005,18.741,21.117,2.313,18,2,6,10,0,0,0,0,0,26099,north
260992632001009,18.747,21.029,2.224,83,1,34,40,0,0,0,2,6,26099,north
260992632001010,18.623,21.025,2.227,0,0,0,0,0,0,0,0,0,26099,north
260992632001011,18.624,20.931,2.133,0,0,0,0,0,0,0,0,0,26099,north
260992632001012,18.749,20.939,2.134,56,6,23,19,0,0,0,1,7,26099,north
260992632001019,18.63,20.843,2.045,0,0,0,0,0,0,0,0,0,26099,north
260992632002003,18.635,20.757,1.958,0,0,0,0,0,0,0,0,0,26099,north
260992632002004,18.665,20.664,1.864,0,0,0,0,0,0,0,0,0,26099,north
260992632002011,18.645,20.587,1.788,7,0,4,0,0,0,0,0,3,26099,north
260992632002012,18.683,20.503,1.702,0,0,0,0,0,0,0,0,0,26099,north
260992632003000,18.507,20.74,1.95,37,3,20,7,0,7,0,0,0,26099,north
260992632003001,18.331,20.727,1.948,54,0,25,17,4,7,0,0,1,26099,north
260992632003002,18.21,20.718,1.948,24,4,11,9,0,0,0,0,0,26099,north
260992632003003,18.035,20.704,1.949,28,0,20,3,0,0,0,0,5,26099,north
260992632003004,18.044,20.625,1.869,44,1,13,14,0,4,0,0,12,26099,north
260992632003005,18.217,20.639,1.869,48,4,16,23,0,4,0,0,1,26099,north
260992632003006,18.336,20.647,1.868,44,2,28,9,0,3,0,0,2,26099,north
260992632003007,18.512,20.66,1.87,36,4,11,12,0,7,0,0,2,26099,north
260992632003008,18.602,20.581,1.785,0,0,0,0,0,0,0,0,0,26099,north
260992632003009,18.496,20.573,1.783,56,2,29,6,0,13,0,0,6,26099,north
260992632003010,18.34,20.561,1.782,75,1,29,22,0,13,0,0,10,26099,north
260992632003011,18.222,20.553,1.782,37,0,26,7,0,2,0,0,2,26099,north
260992632003012,18.053,20.54,1.783,48,0,22,16,0,5,0,0,5,26099,north
260992632003013,18.062,20.453,1.696,31,2,23,0,0,0,0,0,6,26099,north
260992632003014,18.229,20.466,1.695,20,0,9,3,0,6,0,0,2,26099,north
260992632003015,18.346,20.475,1.696,16,0,10,1,0,0,0,0,5,26099,north
260992632003016,18.489,20.486,1.697,0,0,0,0,0,0,0,0,0,26099,north
260992632003017,18.595,20.496,1.7,0,0,0,0,0,0,0,0,0,26099,north
260992632004000,18.568,21.067,2.273,0,0,0,0,0,0,0,0,0,26099,north
260992632004001,18.463,21.061,2.274,62,0,27,9,3,17,0,0,6,26099,north
260992632004002,18.305,21.053,2.276,35,0,26,5,0,0,0,0,4,26099,north
260992632004003,18.058,20.892,2.135,209,3,181,18,0,0,0,3,4,26099,north
260992632004004,18.119,21.05,2.288,43,7,27,9,0,0,0,0,0,26099,north
260992632004005,18.126,21.076,2.314,41,0,28,3,0,6,0,0,4,26099,north
260992632004006,18.128,20.97,2.208,46,3,34,6,0,2,0,0,1,26099,north
260992632004007,17.954,21.061,2.311,26,1,23,0,0,0,0,0,2,26099,north
260992632004008,17.803,20.717,1.971,0,0,0,0,0,0,0,0,0,26099,north
260992632004009,18.319,20.89,2.113,68,0,26,25,0,4,0,0,13,26099,north
260992632004010,18.312,20.971,2.194,58,0,23,23,0,0,0,1,11,26099,north
260992632004011,18.466,20.98,2.192,63,0,25,26,0,7,0,2,3,26099,north
260992632004012,18.572,20.986,2.191,0,0,0,0,0,0,0,0,0,26099,north
260992632004013,18.569,20.903,2.109,0,0,0,0,0,0,0,0,0,26099,north
260992632004014,18.466,20.9,2.112,34,0,19,6,0,8,0,0,1,26099,north
260992632004015,18.478,20.817,2.029,54,0,29,22,0,1,0,0,2,26099,north
260992632004016,18.585,20.824,2.029,0,0,0,0,0,0,0,0,0,26099,north
260992632004017,18.325,20.807,2.029,38,4,1,17,1,15,0,0,0,26099,north
260992634001006,16.837,20.723,2.043,105,0,61,18,0,25,0,0,1,26099,north
260992634001007,17.006,20.735,2.042,0,0,0,0,0,0,0,0,0,26099,north
260992634002003,16.605,20.797,2.132,252,3,142,25,0,73,0,0,9,26099,north
260992634002004,16.449,20.706,2.052,156,9,94,28,0,5,0,0,20,26099,north
260992634002005,16.335,20.691,2.047,145,5,96,25,1,10,0,0,8,26099,north
260992634002006,16.697,20.515,1.845,136,6,55,30,0,42,0,1,2,26099,north
260992634003004,16.057,20.67,2.043,182,4,108,19,1,41,0,1,8,26099,north
260992634003005,16.206,20.689,2.055,175,1,108,24,0,40,0,0,2,26099,north
260992634004009,15.931,20.704,2.085,91,0,67,12,0,7,0,0,5,26099,north
260992634004010,15.847,20.679,2.065,78,2,36,7,0,27,0,0,6,26099,north
260992634004011,15.634,20.957,2.36,50,2,31,0,0,12,0,0,5,26099,north
260992634004013,15.896,20.306,1.689,0,0,0,0,0,0,0,0,0,26099,north
260992634004014,15.67,20.459,1.858,0,0,0,0,0,0,0,0,0,26099,north
260992634004015,15.647,20.761,2.162,20,2,13,2,0,2,0,0,1,26099,north
260992635001004,14.227,21.024,2.498,37,1,11,25,0,0,0,0,0,26099,north
260992635002000,15.427,20.963,2.378,31,4,15,7,0,4,0,0,1,26099,north
260992635002001,15.324,20.958,2.377,28,0,19,3,0,4,0,0,2,26099,north
260992635002002,15.227,20.953,2.376,79,8,54,13,0,0,0,1,3,26099,north
260992635002003,15.128,20.948,2.376,39,1,28,0,0,4,0,0,6,26099,north
260992635002004,15.026,20.942,2.376,38,1,23,4,0,8,0,0,2,26099,north
260992635002005,14.924,20.936,2.376,43,4,13,4,0,13,0,0,9,26099,north
260992635002006,14.824,20.931,2.376,50,0,19,5,5,17,0,0,4,26099,north
260992635002007,14.726,20.926,2.376,41,2,17,6,0,12,0,0,4,26099,north
260992635002008,15.088,20.812,2.242,177,3,91,31,0,45,0,0,7,26099,north
260992635002009,15.095,20.694,2.125,145,0,108,5,0,23,0,0,9,26099,north
260992635002010,15.109,20.576,2.005,147,8,102,11,0,23,0,0,3,26099,north
260992635002011,14.916,20.423,1.863,109,3,68,27,1,9,0,0,1,26099,north
260992635002012,15.317,20.447,1.867,137,2,54,19,1,51,0,0,10,26099,north
260992635002013,15.327,20.303,1.722,55,0,34,3,2,3,0,0,13,26099,north
260992635002014,14.924,20.278,1.717,45,2,37,1,2,3,0,0,0,26099,north
260992635003000,14.454,20.534,1.998,269,6,227,20,0,3,0,0,13,26099,north
260992635003001,14.054,20.511,1.986,76,0,55,8,0,8,0,0,5,26099,north
260992635003002,14.061,20.411,1.886,67,1,49,7,0,10,0,0,0,26099,north
260992635003003,14.362,20.429,1.897,111,2,90,11,0,3,0,0,5,26099,north
260992635003004,14.613,20.47,1.926,24,3,17,3,0,1,0,0,0,26099,north
260992635003005,14.616,20.42,1.876,53,2,46,0,0,3,0,0,2,26099,north
260992635003006,14.624,20.295,1.75,18,1,11,0,2,4,0,0,0,26099,north
260992635003007,14.369,20.331,1.799,80,1,36,25,0,10,0,1,7,26099,north
260992635003008,14.069,20.313,1.788,77,3,59,4,0,11,0,0,0,26099,north
260992635003009,14.077,20.213,1.688,56,2,36,17,0,0,0,0,1,26099,north
260992635003010,14.377,20.231,1.699,0,0,0,0,0,0,0,0,0,26099,north
260992635004000,14.632,20.896,2.351,65,0,41,3,0,9,0,0,12,26099,north
260992635004001,14.543,20.891,2.351,98,0,51,22,1,23,0,0,1,26099,north
260992635004002,14.456,20.887,2.351,57,1,25,21,0,7,0,0,3,26099,north
260992635004003,14.368,20.881,2.35,48,2,34,0,0,3,0,2,7,26099,north
260992635004004,14.281,20.876,2.349,75,2,50,12,0,10,0,0,1,26099,north
260992635004005,14.194,20.87,2.344,35,0,20,12,0,3,0,0,0,26099,north
260992635004006,14.106,20.865,2.341,49,3,31,10,0,3,0,0,2,26099,north
260992635004007,14.007,20.916,2.392,25,3,13,1,0,5,0,0,3,26099,north
260992635004008,13.923,20.892,2.371,18,5,12,0,0,0,0,0,1,26099,north
260992635004009,13.932,20.792,2.271,7,0,3,3,0,0,0,0,1,26099,north
260992635004010,14.025,20.821,2.297,30,0,20,6,0,2,0,1,1,26099,north
260992635004011,13.949,20.656,2.134,0,0,0,0,0,0,0,0,0,26099,north
260992635004012,14.171,20.717,2.192,0,0,0,0,0,0,0,0,0,26099,north
260992635004013,14.386,20.743,2.21,27,0,20,0,0,5,0,0,2,26099,north
260992635004014,14.563,20.767,2.226,117,1,104,8,0,2,0,0,2,26099,north
260992635004015,14.407,20.682,2.148,31,3,22,5,0,0,0,0,1,26099,north
260992635004016,14.553,20.681,2.14,37,1,33,2,0,0,0,1,0,26099,north
260992635004017,14.477,20.696,2.159,57,0,38,5,0,0,0,0,14,26099,north
260992635004018,14.62,20.694,2.149,32,3,21,2,0,6,0,0,0,26099,north
260992635004019,14.175,20.617,2.092,0,0,0,0,0,0,0,0,0,26099,north
260992636001000,15.494,19.479,0.891,44,4,21,16,0,3,0,0,0,26099,north
260992636001001,15.298,19.428,0.848,58,3,32,18,0,4,0,0,1,26099,north
260992636001002,14.989,19.409,0.844,105,1,52,33,0,10,0,1,8,26099,north
260992636001003,15.089,19.316,0.747,170,11,86,47,0,24,0,0,2,26099,north
260992636001004,15.484,19.336,0.749,76,0,24,24,0,15,0,5,8,26099,north
260992636001005,15.437,19.207,0.622,72,3,26,7,0,30,0,0,6,26099,north
260992636001006,15.045,19.195,0.627,93,2,46,17,0,25,0,0,3,26099,north
260992636001007,14.95,19.05,0.488,44,3,24,9,0,3,0,0,5,26099,north
260992636001008,15.336,19.053,0.471,92,5,48,7,0,30,0,0,2,26099,north
260992636001009,15.213,18.917,0.341,145,2,80,50,0,12,0,0,1,26099,north
260992636001010,15.427,18.807,0.223,199,12,76,72,0,36,0,1,2,26099,north
260992636001011,15.233,18.669,0.092,35,1,19,3,0,8,0,2,2,26099,north
260992636001012,14.948,18.748,0.186,11,1,9,0,0,0,0,1,0,26099,north
260992636001013,14.89,18.717,0.158,2,0,0,1,0,0,0,0,1,26099,north
260992636001014,15.258,18.759,0.181,20,3,13,4,0,0,0,0,0,26099,north
260992636001015,14.972,18.617,0.054,12,2,4,0,0,0,0,0,6,26099,north
260992636001016,15.059,18.75,0.183,14,2,4,4,0,0,0,1,3,26099,north
260992636001017,15.023,18.669,0.103,11,5,1,1,0,1,0,0,3,26099,north
260992636001018,14.689,18.732,0.184,74,4,41,21,2,4,0,0,2,26099,north
260992636001019,14.425,18.717,0.183,72,2,22,30,0,11,0,0,7,26099,north
260992636001020,14.158,18.703,0.178,46,3,16,20,0,1,0,2,4,26099,north
260992636001021,14.162,18.601,0.076,26,0,18,6,0,0,0,0,2,26099,north
260992636001022,14.431,18.616,0.081,15,0,13,0,0,2,0,0,0,26099,north
260992636001023,14.7,18.631,0.082,19,2,16,0,0,0,0,0,1,26099,north
260992636001024,14.87,18.57,0.013,0,0,0,0,0,0,0,0,0,26099,north
260992636002000,15.51,20.192,1.604,0,0,0,0,0,0,0,0,0,26099,north
260992636002001,15.105,20.149,1.579,134,4,113,6,1,5,0,0,5,26099,north
260992636002002,15.101,20,1.43,196,5,104,10,0,76,0,0,1,26099,north
260992636002003,15.501,20.082,1.495,0,0,0,0,0,0,0,0,0,26099,north
260992636002004,15.505,19.994,1.407,0,0,0,0,0,0,0,0,0,26099,north
260992636002005,15.507,19.823,1.235,14,1,1,1,0,9,0,0,2,26099,north
260992636002006,15.43,19.817,1.232,48,3,20,7,0,16,0,0,2,26099,north
260992636002007,15.225,19.88,1.303,124,10,30,31,0,52,0,0,1,26099,north
260992636002008,14.909,19.864,1.304,84,5,35,16,1,26,0,0,1,26099,north
260992636002009,14.927,19.771,1.211,99,2,38,28,1,27,0,0,3,26099,north
260992636002010,14.941,19.691,1.129,105,3,42,40,0,18,0,0,2,26099,north
260992636002011,15.188,19.8,1.225,21,2,17,0,0,2,0,0,0,26099,north
260992636002012,15.272,19.784,1.205,29,1,3,11,0,13,0,0,1,26099,north
260992636002013,15.365,19.8,1.217,35,2,9,5,0,19,0,0,0,26099,north
260992636002014,15.376,19.709,1.126,11,1,0,0,0,7,0,3,0,26099,north
260992636002015,15.258,19.7,1.122,46,4,28,0,0,14,0,0,0,26099,north
260992636002016,15.106,19.675,1.105,32,3,9,1,0,14,0,2,3,26099,north
260992636002017,15.01,19.588,1.022,84,2,45,24,0,5,0,0,8,26099,north
260992636002018,14.83,19.602,1.047,29,1,18,4,0,4,1,0,1,26099,north
260992636002019,15.473,19.634,1.048,33,2,7,0,0,22,0,0,2,26099,north
260992636002020,14.981,19.5,0.936,116,0,81,25,0,7,0,0,3,26099,north
260992636002021,15.303,19.52,0.94,60,3,21,15,0,21,0,0,0,26099,north
260992636002022,15.274,19.607,1.028,52,2,22,12,0,15,0,1,0,26099,north
260992636003000,14.442,19.765,1.23,486,3,345,71,0,48,5,1,13,26099,north
260992636003001,14.477,20.039,1.502,0,0,0,0,0,0,0,0,0,26099,north
260992636003002,14.036,20.112,1.588,9,2,2,3,0,2,0,0,0,26099,north
260992636003003,14.042,20.022,1.498,54,1,28,4,0,12,0,0,9,26099,north
260992636003004,14.048,19.934,1.41,44,2,17,11,0,11,0,0,3,26099,north
260992636003005,14.053,19.847,1.322,33,0,21,8,1,2,0,0,1,26099,north
260992636003006,14.059,19.753,1.228,57,5,41,5,0,0,0,0,6,26099,north
260992636003007,14.065,19.654,1.129,51,5,29,11,0,0,0,2,4,26099,north
260992636003008,14.07,19.587,1.062,28,3,19,2,0,2,0,0,2,26099,north
260992636003009,14.072,19.536,1.012,45,2,26,11,0,3,0,0,3,26099,north
260992636003010,14.078,19.452,0.928,64,2,22,19,0,16,0,0,5,26099,north
260992636004000,14.455,19.051,0.515,315,1,121,171,0,2,0,0,20,26099,north
260992636004001,14.273,19.159,0.632,164,3,6,149,0,3,0,0,3,26099,north
260992636004002,14.499,19.168,0.63,150,0,11,129,0,0,0,3,7,26099,north
260992636004003,14.424,19.165,0.631,139,12,6,117,0,1,0,1,2,26099,north
260992636004004,14.524,18.976,0.436,354,3,100,231,0,4,0,0,16,26099,north
260992636004005,14.192,19.314,0.788,42,5,11,17,0,1,0,1,7,26099,north
260992636004006,14.412,19.308,0.775,134,0,9,116,2,2,0,1,4,26099,north
260992636004007,14.12,19.217,0.692,40,0,3,32,0,1,0,3,1,26099,north
260992636004008,14.289,19.329,0.801,92,6,10,68,1,3,0,0,4,26099,north
260992636004009,14.083,19.354,0.829,20,0,9,6,0,0,0,0,5,26099,north
260992637001000,17.107,19.386,0.685,82,13,11,43,0,3,0,1,11,26099,north
260992637001001,16.973,19.381,0.69,96,3,54,29,0,5,0,0,5,26099,north
260992637001002,16.885,19.377,0.693,101,3,43,36,0,15,0,0,4,26099,north
260992637001003,16.793,19.372,0.695,106,11,57,32,0,4,0,0,2,26099,north
260992637001004,16.695,19.366,0.696,36,1,20,8,1,5,0,0,1,26099,north
260992637001005,16.594,19.36,0.696,82,11,45,13,0,6,0,1,6,26099,north
260992637001006,16.494,19.354,0.696,85,4,44,19,1,13,0,0,4,26099,north
260992637001007,16.418,19.079,0.428,146,1,66,39,0,33,0,1,6,26099,north
260992637001008,16.304,19.087,0.445,163,2,86,48,0,18,0,0,9,26099,north
260992637001009,16.168,19.335,0.703,47,4,16,16,0,8,0,0,3,26099,north
260992637001010,16.067,19.329,0.702,91,0,33,7,0,41,0,1,9,26099,north
260992637001011,15.968,19.322,0.701,85,6,43,12,0,18,0,0,6,26099,north
260992637001012,15.987,19.047,0.424,82,7,37,10,0,22,0,0,6,26099,north
260992637001013,16.087,19.054,0.425,90,1,19,11,1,38,0,2,18,26099,north
260992637001014,16.187,19.06,0.426,62,1,20,18,0,18,0,1,4,26099,north
260992637001015,16.206,18.799,0.164,31,4,10,14,0,0,0,0,3,26099,north
260992637001016,16.106,18.793,0.163,45,0,14,6,0,24,0,0,1,26099,north
260992637001017,16.006,18.785,0.161,32,2,19,3,0,6,0,0,2,26099,north
260992637001018,16.599,18.675,0.011,0,0,0,0,0,0,0,0,0,26099,north
260992637001019,17.187,18.857,0.149,0,0,0,0,0,0,0,0,0,26099,north
260992637001020,17.169,19.116,0.41,0,0,0,0,0,0,0,0,0,26099,north
260992637001021,17.079,19.11,0.411,125,4,37,57,0,17,0,2,8,26099,north
260992637001022,16.99,19.104,0.412,114,1,40,65,0,5,0,0,3,26099,north
260992637001023,16.903,19.1,0.415,101,1,34,55,0,4,0,0,7,26099,north
260992637001024,16.812,19.095,0.417,92,0,31,35,0,19,0,0,7,26099,north
260992637001025,16.713,19.089,0.419,84,4,17,15,0,41,0,0,7,26099,north
260992637001026,16.613,19.083,0.418,95,0,21,59,2,10,0,0,3,26099,north
260992637001027,16.513,19.077,0.419,90,4,40,22,2,17,0,1,4,26099,north
260992637001028,16.531,18.817,0.158,100,5,41,52,0,0,0,0,2,26099,north
260992637001029,16.631,18.825,0.159,73,1,17,50,0,0,0,0,5,26099,north
260992637001030,16.731,18.83,0.158,46,3,19,20,0,2,0,1,1,26099,north
260992637001031,16.83,18.837,0.158,72,7,6,32,0,19,0,0,8,26099,north
260992637001032,16.922,18.841,0.155,110,4,15,69,3,10,0,0,9,26099,north
260992637001033,17.009,18.848,0.155,70,1,30,33,0,2,0,2,2,26099,north
260992637001034,17.096,18.853,0.153,69,5,8,45,0,4,0,0,7,26099,north
260992637002000,16.094,20.212,1.583,20,3,4,10,0,0,0,0,3,26099,north
260992637002001,16.037,20.1,1.474,19,5,10,1,1,0,0,0,2,26099,north
260992637002002,15.955,19.884,1.263,131,0,74,25,0,28,0,0,4,26099,north
260992637002003,15.856,19.882,1.268,178,2,111,21,0,39,0,1,4,26099,north
260992637002004,15.685,19.894,1.292,90,5,48,31,0,0,0,0,6,26099,north
260992637002005,15.619,20.203,1.606,6,1,1,0,1,0,0,0,3,26099,north
260992637002006,15.98,19.487,0.865,32,1,8,6,3,0,0,3,11,26099,north
260992637002007,16.075,19.492,0.864,19,2,0,5,0,4,0,0,8,26099,north
260992637002008,16.07,19.624,0.996,70,1,37,21,0,7,0,0,4,26099,north
260992637002009,16.055,19.868,1.242,82,7,37,24,2,9,0,1,2,26099,north
260992637002010,16.121,19.925,1.295,20,0,14,0,0,0,1,2,3,26099,north
260992637002011,16.156,20.025,1.393,63,6,42,2,0,11,0,0,2,26099,north
260992637002012,15.701,19.559,0.956,55,1,20,21,1,12,0,0,0,26099,north
260992637002013,15.701,19.487,0.883,16,3,6,0,1,5,0,0,1,26099,north
260992637002014,15.862,19.055,0.44,157,6,86,27,0,26,0,4,8,26099,north
260992637002015,15.881,19.482,0.866,20,1,9,5,1,1,0,0,3,26099,north
260992637002016,15.764,18.762,0.154,42,1,22,11,0,6,0,0,2,26099,north
260992637002017,15.688,19.17,0.568,65,3,37,17,0,5,0,1,2,26099,north
260992637002018,15.674,18.757,0.156,25,5,10,3,0,4,0,0,3,26099,north
260992637002019,15.802,18.62,0.01,0,0,0,0,0,0,0,0,0,26099,north
260992637003000,16.994,19.9,1.207,83,0,51,9,0,20,0,0,3,26099,north
260992637003001,16.861,20.257,1.575,25,0,7,3,0,8,0,0,7,26099,north
260992637003002,16.74,20.205,1.532,49,3,27,10,0,0,0,0,9,26099,north
260992637003003,16.639,20.176,1.51,46,0,31,10,0,5,0,0,0,26099,north
260992637003004,16.538,20.148,1.488,44,2,22,14,0,6,0,0,0,26099,north
260992637003005,16.439,20.125,1.472,59,0,24,16,1,10,0,5,3,26099,north
260992637003006,16.354,20.232,1.586,6,0,4,2,0,0,0,0,0,26099,north
260992637003007,16.248,20.093,1.456,101,4,43,24,0,19,0,4,7,26099,north
260992637003008,16.374,20.008,1.36,50,0,16,3,0,26,1,0,4,26099,north
260992637003009,16.325,20.022,1.378,46,3,18,10,0,12,0,0,3,26099,north
260992637003010,16.346,19.745,1.1,23,1,6,5,0,9,0,0,2,26099,north
260992637003011,16.392,19.764,1.115,40,1,18,5,0,10,0,4,2,26099,north
260992637003012,16.47,19.69,1.035,91,7,35,19,0,20,0,1,9,26099,north
260992637003013,16.457,19.919,1.265,29,0,15,0,0,9,0,2,3,26099,north
260992637003014,16.567,19.754,1.092,126,1,56,30,0,36,0,0,3,26099,north
260992637003015,16.668,19.781,1.113,136,2,84,30,0,17,0,1,2,26099,north
260992637003016,16.767,19.811,1.137,139,2,71,35,0,28,0,1,2,26099,north
260992637003017,16.285,19.534,0.894,27,0,9,11,0,0,0,0,7,26099,north
260992637003018,16.265,19.692,1.053,113,7,55,25,0,21,0,0,5,26099,north
260992637003019,16.162,19.733,1.1,75,4,44,13,0,4,0,2,8,26099,north
260992638001000,18.671,19.595,0.794,0,0,0,0,0,0,0,0,0,26099,north
260992638001001,18.563,19.585,0.791,50,1,23,22,0,2,0,0,2,26099,north
260992638001002,18.412,19.576,0.792,50,3,26,16,0,0,0,0,5,26099,north
260992638001003,18.312,19.571,0.794,24,1,9,13,0,1,0,0,0,26099,north
260992638001004,18.251,19.568,0.795,31,5,7,16,0,2,0,0,1,26099,north
260992638001005,18.155,19.564,0.799,26,7,9,4,0,4,0,0,2,26099,north
260992638001006,18.034,19.595,0.84,39,4,13,14,0,8,0,0,0,26099,north
260992638001007,18.071,19.465,0.707,33,0,20,5,0,0,0,0,8,26099,north
260992638001008,18.179,19.48,0.714,40,4,7,21,0,0,0,3,5,26099,north
260992638001009,18.292,19.485,0.709,66,0,24,29,0,0,0,0,13,26099,north
260992638001010,18.421,19.492,0.707,47,4,8,22,0,5,0,0,8,26099,north
260992638001011,18.577,19.501,0.706,70,5,32,33,0,0,0,0,0,26099,north
260992638001012,18.692,19.508,0.706,0,0,0,0,0,0,0,0,0,26099,north
260992638001013,18.71,19.416,0.614,6,2,0,0,0,3,0,0,1,26099,north
260992638001014,18.59,19.408,0.612,78,7,33,24,0,2,2,0,10,26099,north
260992638001015,18.432,19.401,0.615,36,0,25,3,0,0,0,0,8,26099,north
260992638001016,18.329,19.4,0.621,35,2,6,22,0,0,1,2,2,26099,north
260992638001017,18.259,19.4,0.626,24,2,0,13,2,1,0,0,6,26099,north
