mid,tracts,tracts_null,people,people_null
0.0173287,41,47,87,96
0.051986,3,0,13472,0
0.0866434,45,0,182527,0
0.121301,125,0,426024,0
0.155958,267,0,868243,0
0.190615,501,0,1576537,0
0.225273,848,0,2706986,0
0.25993,1220,0,3984265,0
0.294588,1546,1,5018655,12
0.329245,1862,0,6369988,0
0.363902,1947,2,6897651,27
0.39856,2041,2,7363544,22
0.433217,1939,0,7081809,0
0.467874,1983,5,7448875,30
0.502532,1947,6,7267882,30
0.537189,2032,0,7657162,0
0.571846,2037,9,7830428,44
0.606504,2070,1,7919880,7
0.641161,2179,15,8308763,45
0.675819,2292,25,8899875,134
0.710476,2269,2,8963375,32
0.745133,2324,7,9160530,126
0.779791,2524,6,10038892,87
0.814448,2652,7,10329154,112
0.849105,2769,5,10936681,47
0.883763,2929,10,11462065,162
0.91842,2918,6,11629355,89
0.953077,2954,14,11610903,214
0.987735,3018,9,12068559,163
1.02239,3023,18,12288356,357
1.05705,2892,17,11727404,381
1.09171,2926,24,11926937,875
1.12636,2845,23,11817271,3590
1.16102,2762,48,11489549,18528
1.19568,2668,875,11125066,1850917
1.23034,2545,25663,10918065,97482182
1.26499,2368,52831,10065836,219837189
1.29965,2153,4064,9170889,12153783
1.33431,1945,85,8485190,98907
1.36897,1653,6,7333130,402
1.40362,1355,6,5916142,220
1.43828,1057,4,4885360,272
1.47294,861,4,3748007,176
1.5076,568,1,2482655,23
1.54225,411,0,1756949,0
1.57691,233,0,1011446,0
1.61157,138,0,634254,0
1.64622,65,0,272619,0
1.68088,43,0,152750,0
1.71554,21,0,88477,0
1.7502,8,0,23666,0
1.78485,18,0,69156,0
1.81951,4,0,18992,0
1.85417,1,0,6814,0
1.88883,0,0,0,0
1.92348,2,0,9418,0
1.95814,1,0,2716,0
1.9928,0,0,0,0
2.02746,0,0,0,0
2.06211,0,0,0,0
