division,part,x,y
East North Central,1,410.8,2056.1
East North Central,1,458.5,2071
East North Central,1,479.7,2104.3
East North Central,1,479.1,2138.7
East North Central,1,437.3,2180.1
East North Central,1,394.1,2222.3
East North Central,1,399.1,2261.6
East North Central,1,370.5,2336.4
East North Central,1,252.2,2422.2
East North Central,1,262.3,2499.5
East North Central,1,242.7,2521.3
East North Central,1,255.4,2549.3
East North Central,1,287.1,2570.7
East North Central,1,284.7,2636.5
East North Central,1,406.3,2713.4
East North Central,1,459.4,2714.5
East North Central,1,429.1,2632.2
East North Central,1,431.4,2629.9
East North Central,1,489.9,2796.5
East North Central,1,570.8,2834.8
East North Central,1,850.7,2705.3
East North Central,1,879.4,2661
East North Central,1,911.2,2672.6
East North Central,1,931,2622.3
East North Central,1,953.2,2632.4
East North Central,1,972,2621.1
East North Central,1,959.6,2594.3
East North Central,1,1052.6,2557.9
East North Central,1,1111.7,2370
East North Central,1,1095.5,2256.9
East North Central,1,1055,2217.1
East North Central,1,1057.6,2178.2
East North Central,1,1097.2,2151.7
East North Central,1,1120.3,2155
East North Central,1,1204.8,2228.8
East North Central,1,1261.9,2250.5
East North Central,1,1292.7,2064.1
East North Central,1,1281.3,2055.9
East North Central,1,1291.8,2027.5
East North Central,1,1283.4,1956.9
East North Central,1,1256.5,1916.3
East North Central,1,1218.8,1896.7
East North Central,1,1218.3,1857.8
East North Central,1,1207.2,1850.7
East North Central,1,1193.3,1865.4
East North Central,1,1177.2,1797.1
East North Central,1,1156.7,1790.6
East North Central,1,1125,1825.3
East North Central,1,1104.6,1807
East North Central,1,1060.5,1802
East North Central,1,1011.4,1816
East North Central,1,986.7,1848.3
East North Central,1,956.4,1843.1
East North Central,1,960.5,1807.7
East North Central,1,907.9,1795
East North Central,1,911.7,1773.6
East North Central,1,865.2,1703.5
East North Central,1,834.8,1727.5
East North Central,1,814.7,1685.4
East North Central,1,797.3,1701.3
East North Central,1,774.6,1674.7
East North Central,1,731,1692.4
East North Central,1,729.9,1676.1
East North Central,1,704.9,1684.8
East North Central,1,701.8,1667.2
East North Central,1,688.9,1671.1
East North Central,1,693.6,1720.9
East North Central,1,684.3,1652.6
East North Central,1,694.1,1634.5
East North Central,1,659.7,1621.4
East North Central,1,663.2,1585.3
East North Central,1,617.3,1599.4
East North Central,1,604.8,1570.4
East North Central,1,583.1,1575.4
East North Central,1,566.1,1647.4
East North Central,1,489.5,1701.1
East North Central,1,506.2,1773.1
East North Central,1,477,1785.2
East North Central,1,461.7,1775.4
East North Central,1,450.4,1816.1
East North Central,1,385.9,1881.8
East North Central,1,385.6,1958.1
East North Central,1,421.3,2005
East North Central,1,410.8,2056.1
East North Central,2,724.8,2117.9
East North Central,2,724.8,2117.9
East North Central,2,732.5,2200.8
East North Central,2,713.8,2325.1
East North Central,2,712.9,2298.4
East North Central,2,732.5,2200.7
East North Central,2,724.8,2117.9
East North Central,3,923,2129.6
East North Central,3,922.8,2131.3
East North Central,3,1036.2,2149.8
East North Central,3,922,2138.1
East North Central,3,923,2129.6
East North Central,4,453.1,2608.7
East North Central,4,453.4,2608.3
