geoid,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,entropy,largest,largest_pct
26163500100,3996,48,198,3648,3,11,0,7,81,0.396954,Black,91.2913
26163500200,3037,57,86,2790,6,10,1,6,81,0.396203,Black,91.867
26163500300,2149,52,99,1903,0,30,0,4,61,0.511923,Black,88.5528
26163500400,751,7,25,700,0,0,0,4,15,0.328442,Black,93.2091
26163500500,1507,18,28,1416,6,1,0,9,29,0.318923,Black,93.9615
26163500600,2692,44,64,2486,3,18,2,10,65,0.386762,Black,92.3477
26163500700,4109,65,130,3782,7,2,0,8,115,0.377987,Black,92.0419
26163500800,2569,21,110,2329,0,8,0,9,92,0.420134,Black,90.6578
26163500900,3706,47,74,3485,4,6,0,14,76,0.309917,Black,94.0367
26163501000,2945,17,70,2748,2,10,0,7,91,0.3293,Black,93.3107
26163501100,3328,28,70,3131,7,2,1,16,73,0.308136,Black,94.0805
26163501200,1609,13,47,1496,7,0,0,5,41,0.344953,Black,92.977
26163501300,3078,51,88,2848,4,1,0,14,72,0.365046,Black,92.5276
26163501400,3624,59,284,3152,7,8,0,13,101,0.533504,Black,86.9757
26163501500,4056,37,307,3569,11,18,0,15,99,0.50217,Black,87.9931
26163501600,1955,42,263,1582,0,10,1,5,52,0.666272,Black,80.9207
26163501700,2218,52,431,1636,6,7,0,7,79,0.801948,Black,73.7601
26163501800,4117,98,655,3155,7,20,2,23,157,0.779363,Black,76.6335
26163501900,2490,46,101,2246,2,5,0,15,75,0.45125,Black,90.2008
26163502000,1858,25,68,1719,0,3,0,5,38,0.356827,Black,92.5188
26163502600,3321,64,47,3078,11,10,0,21,90,0.372986,Black,92.6829
26163502700,2359,44,124,2119,13,4,0,5,50,0.459702,Black,89.8262
26163503100,2996,25,188,2688,5,3,0,6,81,0.438645,Black,89.7196
26163503200,3002,57,129,2700,6,11,0,15,84,0.465387,Black,89.94
26163503300,3407,41,90,3136,1,10,0,21,108,0.385752,Black,92.0458
26163503400,886,17,35,755,2,51,0,5,21,0.635853,Black,85.2144
26163503500,2709,31,78,2486,11,54,0,0,49,0.405119,Black,91.7682
26163503600,1476,28,32,1307,1,56,2,3,47,0.52634,Black,88.5501
26163503900,1730,30,40,1570,2,4,0,17,67,0.438671,Black,90.7514
26163504000,1093,20,32,999,0,2,0,4,36,0.403265,Black,91.3998
26163504100,1173,14,15,1109,5,0,0,6,24,0.291467,Black,94.5439
26163504200,1644,14,39,1538,6,1,0,5,41,0.326366,Black,93.5523
26163504300,1834,15,34,1734,3,3,0,2,43,0.282673,Black,94.5474
26163504400,1416,16,24,1321,11,0,0,6,38,0.342535,Black,93.291
26163505100,2888,37,170,2603,3,3,0,2,70,0.425678,Black,90.1316
26163505200,2943,32,50,2780,5,4,0,18,54,0.296562,Black,94.4614
26163505400,1927,35,46,1765,3,24,0,11,43,0.421423,Black,91.5931
26163505600,4078,28,93,3771,20,6,4,18,138,0.373789,Black,92.4718
26163505700,2936,41,109,2704,1,4,0,8,69,0.373675,Black,92.0981
26163505800,3337,24,1634,1436,2,53,0,15,173,0.995953,White,48.9661
26163506100,1875,22,58,1737,8,8,0,6,36,0.371346,Black,92.64
26163506200,1814,43,52,1662,5,2,0,9,41,0.406441,Black,91.6207
26163506300,1860,24,80,1695,0,1,0,23,37,0.412405,Black,91.129
26163506400,842,17,118,665,1,5,0,2,34,0.722961,Black,78.9786
26163506500,1963,65,55,1792,0,1,0,6,44,0.4029,Black,91.2888
26163506600,2713,53,83,2461,1,1,0,13,101,0.425919,Black,90.7114
26163506700,1023,10,27,960,0,3,0,1,22,0.307261,Black,93.8416
26163506800,3904,52,116,3588,13,6,3,16,110,0.397133,Black,91.9057
26163506900,3579,35,76,3374,8,0,0,9,77,0.293948,Black,94.2721
26163507000,2720,31,23,2580,2,4,0,15,65,0.274283,Black,94.8529
26163507100,2266,32,30,2105,4,2,0,1,92,0.336767,Black,92.895
26163507200,1003,22,18,924,1,5,0,0,33,0.37716,Black,92.1236
26163507300,2285,38,40,2117,8,0,0,8,74,0.360369,Black,92.6477
26163507400,2488,25,54,2322,5,2,0,11,69,0.335405,Black,93.328
26163507500,2221,27,64,2041,5,3,0,15,66,0.394368,Black,91.8955
26163508000,1098,14,100,902,10,5,0,13,54,0.703387,Black,82.1494
26163508100,1271,40,150,1019,5,7,0,8,42,0.733225,Black,80.1731
26163509000,1975,56,223,1567,3,7,0,15,104,0.752848,Black,79.3418
26163509100,4563,36,575,993,2,2750,0,14,193,1.09121,Asian,60.2674
26163510600,5499,41,1447,1146,10,2639,0,14,202,1.21505,Asian,47.9905
26163511200,1188,31,134,969,2,3,1,0,48,0.668945,Black,81.5657
26163511300,2231,34,881,1016,6,139,0,12,143,1.18194,Black,45.5401
26163511400,2005,53,227,1629,6,14,1,5,70,0.69933,Black,81.2469
26163511900,1559,45,314,1097,1,34,0,12,56,0.917476,Black,70.3656
26163512800,2415,64,149,2126,0,1,0,10,65,0.503523,Black,88.0331
26163513200,1504,38,290,1080,4,13,0,5,74,0.872117,Black,71.8085
26163513300,1971,51,295,1527,5,17,0,20,56,0.780484,Black,77.4734
26163513700,2982,33,72,2792,7,11,0,10,57,0.331019,Black,93.6284
26163513800,2367,39,170,2047,6,5,0,12,88,0.559754,Black,86.4808
26163513900,1556,12,36,1452,1,5,0,3,47,0.330145,Black,93.3162
26163514100,1732,19,32,1627,2,5,0,8,39,0.316942,Black,93.9376
26163514200,1828,25,31,1701,10,2,1,7,51,0.356069,Black,93.0525
26163514300,2163,18,70,2001,16,8,0,2,48,0.37087,Black,92.5104
26163514500,861,3,14,817,2,0,0,0,25,0.253323,Black,94.8897
26163515200,1315,53,184,1013,0,11,3,7,44,0.80105,Black,77.0342
26163515300,2708,64,596,1871,6,30,0,11,130,0.908679,Black,69.0916
26163515400,1358,56,741,465,4,14,1,16,61,1.09034,White,54.5655
26163515700,4618,85,714,3582,7,67,1,28,134,0.765973,Black,77.566
26163516000,2235,44,177,1916,7,13,0,6,72,0.584731,Black,85.7271
26163516400,1097,45,308,666,3,26,0,12,37,1.05917,Black,60.711
26163516500,2560,91,1026,1224,2,101,0,8,108,1.12257,Black,47.8125
26163516600,2377,25,83,2190,7,6,0,6,60,0.380769,Black,92.1329
26163516700,3218,38,68,3027,4,12,0,10,59,0.311905,Black,94.0646
26163516800,569,20,50,468,3,0,2,1,25,0.688076,Black,82.2496
26163516900,2111,23,191,1828,0,7,0,1,61,0.516237,Black,86.594
26163517000,2978,120,1225,1230,9,246,0,17,131,1.25046,Black,41.3029
26163517100,1552,55,487,885,4,82,1,4,34,1.07689,Black,57.0232
26163517200,1758,151,1020,432,4,88,0,11,52,1.17121,White,58.0205
