geoid,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,largest,largest_pct
261635001001,1331,12,69,1212,2,4,0,2,30,Black,91.0594
261635001002,2665,36,129,2436,1,7,0,5,51,Black,91.4071
261635002001,857,24,27,777,6,5,1,5,12,Black,90.6651
261635002002,2180,33,59,2013,0,5,0,1,69,Black,92.3394
261635003001,1005,27,49,885,0,28,0,2,14,Black,88.0597
261635003002,1144,25,50,1018,0,2,0,2,47,Black,88.986
261635004001,338,1,10,319,0,0,0,0,8,Black,94.3787
261635004002,198,4,8,183,0,0,0,3,0,Black,92.4242
261635004003,215,2,7,198,0,0,0,1,7,Black,92.093
261635005001,718,5,11,677,2,0,0,2,21,Black,94.2897
261635005002,789,13,17,739,4,1,0,7,8,Black,93.6629
261635006001,1195,21,28,1103,0,7,2,7,27,Black,92.3013
261635006002,465,6,5,443,0,2,0,1,8,Black,95.2688
261635006003,620,15,19,552,3,9,0,1,21,Black,89.0323
261635006004,412,2,12,388,0,0,0,1,9,Black,94.1748
261635007001,898,18,37,813,3,1,0,1,25,Black,90.5345
261635007002,808,16,38,714,2,0,0,3,35,Black,88.3663
261635007003,1203,21,26,1124,0,0,0,4,28,Black,93.4331
261635007004,1200,10,29,1131,2,1,0,0,27,Black,94.25
261635008001,1380,11,56,1265,0,0,0,5,43,Black,91.6667
261635008002,1189,10,54,1064,0,8,0,4,49,Black,89.487
261635009001,1657,14,25,1590,0,0,0,10,18,Black,95.9565
261635009002,2049,33,49,1895,4,6,0,4,58,Black,92.4841
261635010001,1233,9,36,1142,1,3,0,1,41,Black,92.6196
261635010002,1712,8,34,1606,1,7,0,6,50,Black,93.8084
261635011001,1084,10,18,1019,1,2,0,8,26,Black,94.0037
261635011002,554,9,12,518,0,0,0,0,15,Black,93.5018
261635011003,665,4,25,623,1,0,0,2,10,Black,93.6842
261635011004,1025,5,15,971,5,0,1,6,22,Black,94.7317
261635012001,1609,13,47,1496,7,0,0,5,41,Black,92.977
261635013001,1161,4,17,1118,1,0,0,4,17,Black,96.2963
261635013002,876,13,36,793,2,0,0,5,27,Black,90.5251
261635013003,1041,34,35,937,1,1,0,5,28,Black,90.0096
261635014001,1691,29,103,1517,1,3,0,6,32,Black,89.7102
261635014002,990,15,49,881,4,3,0,2,36,Black,88.9899
261635014003,943,15,132,754,2,2,0,5,33,Black,79.9576
261635015001,1529,18,89,1373,3,4,0,4,38,Black,89.7973
261635015002,893,1,66,798,1,5,0,5,17,Black,89.3617
261635015003,1634,18,152,1398,7,9,0,6,44,Black,85.5569
261635016001,862,18,177,636,0,9,0,4,18,Black,73.7819
261635016002,1093,24,86,946,0,1,1,1,34,Black,86.5508
261635017001,1243,36,255,896,4,3,0,1,48,Black,72.0837
261635017002,975,16,176,740,2,4,0,6,31,Black,75.8974
