"county","region","share","votes","county_total"
"Lafayette","Big Bend / north central",28.5112,473,1659
"Liberty","Panhandle",24.1905,381,1575
"Dixie","Big Bend / north central",23.9296,816,3410
"Union","Big Bend / north central",21.5439,427,1982
"Glades","rest of Florida",20.2925,333,1641
"Hardee","rest of Florida",19.1983,455,2370
"Madison","Big Bend / north central",19.0821,474,2484
"Gilchrist","Big Bend / north central",17.8472,708,3967
"Suwannee","Big Bend / north central",17.4352,1123,6441
"Okeechobee","rest of Florida",17.3821,656,3774
"Levy","Big Bend / north central",15.9175,1119,7030
"Desoto","rest of Florida",15.8704,392,2470
"Bradford","Big Bend / north central",14.9649,554,3702
"Taylor","Big Bend / north central",14.7339,418,2837
"Calhoun","Panhandle",13.51,316,2339
"Baker","Big Bend / north central",12.5414,644,5135
"Columbia","Big Bend / north central",11.426,1024,8962
"Hamilton","Big Bend / north central",11.4251,186,1628
"Holmes","Panhandle",11.1809,374,3345
"Washington","Panhandle",10.8238,473,4370
"Hendry","rest of Florida",10.0094,318,3177
"Polk","rest of Florida",9.97758,5295,53069
"Putnam","rest of Florida",9.26561,810,8742
"Gulf","Panhandle",9.09977,280,3077
"Highlands","rest of Florida",8.73249,1041,11921
"Franklin","Panhandle",8.60479,140,1627
"Wakulla","Panhandle",8.34612,435,5212
"Jackson","Panhandle",7.94037,490,6171
"Citrus","rest of Florida",7.77406,2114,27193
"Hernando","rest of Florida",7.66323,1784,23280
"Gadsden","Panhandle",6.95306,157,2258
"Jefferson","Panhandle",6.30271,142,2253
"Marion","rest of Florida",6.24174,2880,46141
"Alachua","Big Bend / north central",5.12351,728,14209
"Lake","rest of Florida",5.01593,2173,43322
"Pasco","rest of Florida",4.92568,2406,48846
"Indian River","rest of Florida",4.91923,1078,21914
"Charlotte","rest of Florida",4.64429,1288,27733
"Santa Rosa","Panhandle",4.46637,1109,24830
"Manatee","rest of Florida",4.25658,1941,45600
"Brevard","rest of Florida",4.16685,2798,67149
"Clay","rest of Florida",4.05832,1119,27573
"Walton","Panhandle",4.05255,546,13473
"Osceola","rest of Florida",4.03885,682,16886
"St. Lucie","rest of Florida",3.81921,1063,27833
"Volusia","rest of Florida",3.81433,2199,57651
"Sarasota","rest of Florida",3.47752,1964,56477
"Martin","rest of Florida",3.47077,713,20543
"Nassau","rest of Florida",3.38628,565,16685
"St. Johns","rest of Florida",3.08419,1313,42572
"Hillsborough","rest of Florida",3.01873,2775,91926
"Monroe","rest of Florida",2.92204,229,7837
"Bay","Panhandle",2.85844,691,24174
"Flagler","rest of Florida",2.67116,460,17221
"Lee","rest of Florida",2.50384,2088,83392
"Sumter","rest of Florida",2.47574,796,32152
"Okaloosa","Panhandle",2.41558,578,23928
"Seminole","rest of Florida",2.3858,867,36340
"Orange","rest of Florida",2.27123,1382,60848
"Leon","Panhandle",2.23934,500,22328
"Palm Beach","rest of Florida",1.95848,1603,81849
"Duval","rest of Florida",1.93557,1317,68042
"Pinellas","rest of Florida",1.88697,1563,82831
"Escambia","Panhandle",1.77418,566,31902
"Collier","rest of Florida",1.63277,766,46914
"Broward","rest of Florida",1.44854,827,57092
"Miami-Dade","rest of Florida",1.30742,1176,89948
