"region","counties","gop_votes","Donalds","Moody","Ingoglia","Simpson","desantis_2018","new_since_2018"
"Panhandle",16,172862,-7.45893,0.606934,-5.06579,1.11826,-5.23763,-2.2213
"Big Bend / north central",13,63446,-18.6963,1.36247,-6.51068,-1.68936,-10.5024,-8.19398
"rest of Florida",38,1460954,1.69449,-0.131119,0.882962,-0.0581443,1.20045,0.494045
