"county","candidate","votes","county_total","share"
"Volusia","Shaw",310,57651,0.537718
"Volusia","McCaffrey",216,57651,0.374668
"Volusia","Succe",176,57651,0.305285
"Volusia","Nokovich",161,57651,0.279267
"Wakulla","Donalds",1734,5212,33.2694
"Wakulla","Collins",1690,5212,32.4252
"Wakulla","Fishback",633,5212,12.145
"Wakulla","Renner",562,5212,10.7828
"Wakulla","Williams",435,5212,8.34612
"Wakulla","Rodriguez",53,5212,1.01688
"Wakulla","Holcomb",35,5212,0.671527
"Wakulla","Shaw",29,5212,0.556408
"Wakulla","McCaffrey",18,5212,0.345357
"Wakulla","Succe",17,5212,0.32617
"Wakulla","Nokovich",6,5212,0.115119
"Walton","Donalds",5451,13473,40.4587
"Walton","Collins",3825,13473,28.3901
"Walton","Fishback",1568,13473,11.6381
"Walton","Renner",1568,13473,11.6381
"Walton","Williams",546,13473,4.05255
"Walton","Rodriguez",153,13473,1.1356
"Walton","Holcomb",138,13473,1.02427
"Walton","Shaw",72,13473,0.534402
"Walton","McCaffrey",68,13473,0.504713
"Walton","Succe",48,13473,0.356268
"Walton","Nokovich",36,13473,0.267201
"Washington","Collins",1693,4370,38.7414
"Washington","Donalds",1198,4370,27.4142
"Washington","Williams",473,4370,10.8238
"Washington","Fishback",454,4370,10.389
"Washington","Renner",416,4370,9.51945
"Washington","Holcomb",37,4370,0.846682
"Washington","Shaw",37,4370,0.846682
"Washington","Rodriguez",30,4370,0.686499
"Washington","McCaffrey",15,4370,0.343249
"Washington","Nokovich",13,4370,0.297483
"Washington","Succe",4,4370,0.0915332
