"fips","county","region","donalds_2026","donalds_dev","desantis_dev","residual","county_votes","cx","cy"
"12057","Hillsborough","rest of Florida",44.3346,-3.45422,-14.2646,10.403,91926,1764,1093
"12086","Miami-Dade","rest of Florida",57.7689,9.98014,11.1977,5.48608,89948,1852,1189
"12071","Lee","rest of Florida",64.9055,17.1167,11.4497,12.441,83392,1792,1153
"12103","Pinellas","rest of Florida",49.7012,1.91241,-4.19007,8.50863,82831,1746,1097
"12099","Palm Beach","rest of Florida",58.746,10.9572,9.13401,7.95046,81849,1849,1137
"12031","Duval","rest of Florida",43.166,-4.62281,4.0242,-3.94679,68042,1773,978
"12009","Brevard","rest of Florida",46.1109,-1.6779,1.89543,0.532369,67149,1826,1066
"12095","Orange","rest of Florida",48.1906,0.401782,-4.27115,7.05644,60848,1802,1058
"12127","Volusia","rest of Florida",48.5733,0.78452,4.94144,0.799465,57651,1803,1035
"12011","Broward","rest of Florida",56.0394,8.25058,13.1279,2.36539,57092,1852,1162
"12115","Sarasota","rest of Florida",48.4445,0.655708,2.89283,2.14713,56477,1770,1128
"12105","Polk","rest of Florida",39.296,-8.49278,-26.2774,14.0223,53069,1788,1086
"12101","Pasco","rest of Florida",44.3598,-3.42897,-6.58942,4.89652,48846,1758,1076
"12021","Collier","rest of Florida",65.8439,18.0551,14.0965,11.4718,46914,1816,1171
"12083","Marion","rest of Florida",42.7256,-5.06323,-3.32653,0.910623,46141,1766,1030
"12081","Manatee","rest of Florida",48.0132,0.224366,-2.59559,5.67142,45600,1764,1115
"12069","Lake","rest of Florida",45.141,-2.64775,-3.35286,3.34508,43322,1780,1049
"12109","St. Johns","rest of Florida",43.3266,-4.46219,11.4654,-9.14922,42572,1785,995
"12117","Seminole","rest of Florida",47.5234,-0.265401,-0.501637,3.67249,36340,1803,1050
"12119","Sumter","rest of Florida",53.6203,5.83151,1.24767,8.50864,32152,1767,1057
"12033","Escambia","Panhandle",45.8843,-1.90452,-0.491886,2.02634,31902,1543,991
"12111","St. Lucie","rest of Florida",53.415,5.62622,7.6734,3.67218,27833,1844,1108
"12015","Charlotte","rest of Florida",53.1569,5.3681,5.6798,4.85089,27733,1791,1138
"12019","Clay","rest of Florida",39.6475,-8.14131,2.21977,-6.1648,27573,1769,996
"12017","Citrus","rest of Florida",41.7424,-6.04643,-1.82578,-1.1542,27193,1752,1052
