"county","reg_republican","black","white","hispanic","black_pct","white_pct","hispanic_pct","region"
"Sumter",77315,317,71673,1679,0.410011,92.7026,2.17164,"rest of Florida"
"Holmes",8371,36,8135,61,0.430056,97.1807,0.728706,"Panhandle"
"Gilchrist",9121,45,8754,190,0.493367,95.9763,2.0831,"Big Bend / north central"
"Monroe",25114,124,20375,3845,0.493749,81.13,15.3102,"rest of Florida"
"Sarasota",162747,847,149122,6092,0.52044,91.6281,3.74323,"rest of Florida"
"Calhoun",4832,26,4576,64,0.538079,94.702,1.3245,"Panhandle"
"Citrus",71080,386,66325,2228,0.54305,93.3104,3.1345,"rest of Florida"
"Dixie",6783,38,6484,113,0.560224,95.5919,1.66593,"Big Bend / north central"
"Glades",4058,23,3536,390,0.566782,87.1365,9.61065,"rest of Florida"
"Martin",63137,372,58589,2584,0.589195,92.7966,4.09269,"rest of Florida"
"Hardee",6633,42,5552,885,0.633198,83.7027,13.3424,"rest of Florida"
"Charlotte",83878,538,77477,3347,0.641408,92.3687,3.99032,"rest of Florida"
"Franklin",4092,27,3973,31,0.659824,97.0919,0.757576,"Panhandle"
"Okeechobee",12365,85,10987,966,0.687424,88.8556,7.81237,"rest of Florida"
"Nassau",49331,351,46690,1043,0.71152,94.6464,2.11429,"rest of Florida"
"Walton",42970,325,40466,951,0.756342,94.1727,2.21317,"Panhandle"
"Suwannee",17149,130,15909,722,0.758062,92.7693,4.21016,"Big Bend / north central"
"Union",4957,38,4731,92,0.766593,95.4408,1.85596,"Big Bend / north central"
"St. Johns",134409,1046,122195,5359,0.778222,90.9128,3.98708,"rest of Florida"
"Collier",145382,1133,123803,15485,0.779326,85.157,10.6512,"rest of Florida"
"Santa Rosa",90674,718,83621,2261,0.791848,92.2216,2.49355,"Panhandle"
"Baker",12604,100,12006,167,0.793399,95.2555,1.32498,"Big Bend / north central"
"Levy",18683,152,17445,680,0.813574,93.3737,3.63967,"Big Bend / north central"
"Manatee",140797,1165,125562,7686,0.827432,89.1795,5.45892,"rest of Florida"
"Hernando",70377,589,61227,6122,0.836921,86.9986,8.69886,"rest of Florida"
"Taylor",7534,64,7225,73,0.849482,95.8986,0.968941,"Big Bend / north central"
"Desoto",8225,72,7456,541,0.87538,90.6505,6.57751,"rest of Florida"
"Lafayette",3305,29,3154,82,0.877458,95.4312,2.48109,"Big Bend / north central"
"Highlands",34593,322,29818,3396,0.930824,86.1966,9.81702,"rest of Florida"
"Gulf",7133,67,6896,60,0.939296,96.6774,0.841161,"Panhandle"
"Washington",10110,95,9646,121,0.939664,95.4105,1.19683,"Panhandle"
"Lee",245039,2340,206368,27939,0.95495,84.2184,11.4019,"rest of Florida"
"Liberty",2917,28,2797,38,0.95989,95.8862,1.30271,"Panhandle"
"Pinellas",240589,2418,215707,10214,1.00503,89.6579,4.24541,"rest of Florida"
"Indian River",62760,658,57448,2817,1.04844,91.536,4.48853,"rest of Florida"
"Wakulla",14244,154,13544,246,1.08116,95.0857,1.72704,"Panhandle"
"Bay",74053,803,68191,1912,1.08436,92.084,2.58193,"Panhandle"
"Bradford",10710,117,10222,140,1.09244,95.4435,1.30719,"Big Bend / north central"
"Volusia",171884,1880,152068,11622,1.09376,88.4713,6.76154,"rest of Florida"
"Flagler",50640,580,45068,2847,1.14534,88.9968,5.62204,"rest of Florida"
"Pasco",182031,2152,152719,17473,1.18222,83.8972,9.59891,"rest of Florida"
"Putnam",25853,306,24206,737,1.18362,93.6294,2.85073,"rest of Florida"
"Jefferson",4729,58,4514,79,1.22647,95.4536,1.67054,"Panhandle"
"Brevard",204909,2638,181098,12035,1.2874,88.3797,5.87334,"rest of Florida"
"Columbia",24371,315,22651,783,1.29252,92.9424,3.21283,"Big Bend / north central"
"Marion",138034,1851,119411,12190,1.34097,86.5084,8.83116,"rest of Florida"
"Lake",133724,1847,115150,11173,1.3812,86.1102,8.35527,"rest of Florida"
"Okaloosa",85709,1234,76109,3149,1.43976,88.7993,3.67406,"Panhandle"
"Miami-Dade",455329,7042,79759,345136,1.54657,17.5168,75.7993,"rest of Florida"
"Madison",5240,85,4852,130,1.62214,92.5954,2.48092,"Big Bend / north central"
"Jackson",16033,264,15119,222,1.6466,94.2993,1.38464,"Panhandle"
"Hendry",9414,160,5933,3020,1.6996,63.0232,32.0799,"rest of Florida"
"Escambia",99188,1820,88903,2671,1.8349,89.6308,2.69287,"Panhandle"
"Seminole",121048,2235,96320,14223,1.84637,79.5717,11.7499,"rest of Florida"
"Clay",87741,1681,77278,4314,1.91587,88.0751,4.91674,"rest of Florida"
"Polk",192175,3913,154188,26053,2.03616,80.2331,13.5569,"rest of Florida"
"Palm Beach",300140,6520,237236,39012,2.17232,79.0418,12.9979,"rest of Florida"
"Hillsborough",293412,6653,222935,45121,2.26746,75.9802,15.378,"rest of Florida"
"Hamilton",3734,86,3472,114,2.30316,92.9834,3.05303,"Big Bend / north central"
"Alachua",48570,1143,41182,3371,2.3533,84.789,6.9405,"Big Bend / north central"
"Osceola",69896,1667,36898,26681,2.38497,52.7899,38.1724,"rest of Florida"
"Leon",54508,1609,48016,2487,2.95186,88.0898,4.56263,"Panhandle"
"St. Lucie",94600,2836,76141,11721,2.99789,80.4873,12.3901,"rest of Florida"
"Orange",225055,6993,152337,44475,3.10724,67.6888,19.7618,"rest of Florida"
"Duval",237063,8770,196147,13733,3.69944,82.7405,5.79297,"rest of Florida"
"Broward",271258,10946,153773,76567,4.03527,56.6888,28.2266,"rest of Florida"
"Gadsden",5979,280,5312,211,4.68306,88.8443,3.52902,"Panhandle"
