"r","cx","cy","n"
6,0,0,1743
6,10.3923,0,3666
6,10.3923,36,591
6,10.3923,54,574
6,103.923,90,1
6,15.5885,27,664
6,15.5885,45,449
6,15.5885,63,769
6,15.5885,81,260
6,15.5885,99,1097
6,20.7846,0,9464
6,20.7846,18,2028
6,20.7846,36,1302
6,20.7846,54,613
6,20.7846,72,717
6,20.7846,90,133
6,25.9808,27,2392
6,25.9808,45,1076
6,25.9808,63,1010
6,25.9808,81,953
6,25.9808,9,2851
6,25.9808,99,1418
6,31.1769,0,11740
6,31.1769,18,3243
6,31.1769,36,2689
6,31.1769,54,1681
6,31.1769,72,1115
6,31.1769,90,1315
6,36.3731,27,3148
6,36.3731,45,1911
6,36.3731,63,1445
6,36.3731,81,1361
6,36.3731,9,7408
6,36.3731,99,2032
6,41.5692,0,12835
6,41.5692,18,5180
6,41.5692,36,2407
6,41.5692,54,1674
6,41.5692,72,1552
6,41.5692,90,1891
6,46.7654,27,3098
6,46.7654,45,1768
6,46.7654,63,1493
6,46.7654,81,1739
6,46.7654,9,7511
6,46.7654,99,1964
6,5.1962,99,1223
6,51.9615,0,8233
6,51.9615,18,3600
6,51.9615,36,1841
6,51.9615,54,1311
6,51.9615,72,1263
6,51.9615,90,1990
6,57.1577,27,1741
6,57.1577,45,961
6,57.1577,63,898
6,57.1577,81,1128
6,57.1577,9,4445
6,57.1577,99,1146
6,62.3538,0,3341
6,62.3538,18,1628
6,62.3538,36,762
6,62.3538,54,581
6,62.3538,72,573
6,62.3538,90,956
6,67.55,27,736
6,67.55,45,507
6,67.55,63,349
6,67.55,81,419
6,67.55,9,1949
6,67.55,99,518
6,72.7461,0,1043
6,72.7461,18,887
6,72.7461,36,427
6,72.7461,54,284
6,72.7461,72,241
6,72.7461,90,401
6,77.9423,27,359
6,77.9423,45,223
6,77.9423,63,194
6,77.9423,81,168
6,77.9423,9,832
6,77.9423,99,271
6,83.1384,0,273
6,83.1384,18,365
6,83.1384,36,180
6,83.1384,54,147
6,83.1384,72,96
6,83.1384,90,165
6,88.3346,27,125
6,88.3346,45,79
6,88.3346,63,45
6,88.3346,81,40
6,88.3346,9,172
6,88.3346,99,77
6,93.5307,0,30
6,93.5307,18,48
6,93.5307,36,22
6,93.5307,54,18
6,93.5307,72,15
6,93.5307,90,15
6,98.7269,27,5
6,98.7269,45,4
6,98.7269,63,4
6,98.7269,81,1
6,98.7269,9,3
6,98.7269,99,4
3.2,0,0,1743
3.2,11.0851,0,3666
3.2,11.0851,67.2,396
3.2,13.8564,100.8,439
3.2,13.8564,33.6,591
3.2,16.6277,0,2066
3.2,16.6277,48,449
3.2,16.6277,76.8,326
3.2,19.399,100.8,658
3.2,19.399,24,664
3.2,19.399,62.4,373
3.2,19.399,81.6,260
3.2,2.7713,100.8,714
3.2,22.1702,0,5723
3.2,22.1702,19.2,1351
3.2,22.1702,28.8,464
3.2,22.1702,38.4,495
3.2,22.1702,48,339
3.2,22.1702,57.6,274
3.2,22.1702,67.2,268
3.2,22.1702,86.4,424
3.2,24.9415,100.8,919
3.2,24.9415,14.4,1322
3.2,24.9415,24,915
3.2,24.9415,33.6,790
3.2,24.9415,43.2,595
3.2,24.9415,62.4,244
3.2,24.9415,72,196
3.2,27.7128,0,6308
3.2,27.7128,19.2,831
3.2,27.7128,28.8,709
3.2,27.7128,38.4,604
3.2,27.7128,48,501
3.2,27.7128,57.6,373
3.2,27.7128,67.2,185
3.2,27.7128,76.8,368
3.2,27.7128,86.4,283
3.2,27.7128,9.6,1691
3.2,30.4841,100.8,751
3.2,30.4841,14.4,1010
3.2,30.4841,24,573
3.2,30.4841,33.6,503
3.2,30.4841,43.2,555
3.2,30.4841,52.8,452
3.2,30.4841,62.4,322
3.2,30.4841,72,353
3.2,30.4841,81.6,356
3.2,30.4841,91.2,526
3.2,33.2554,0,7107
3.2,33.2554,19.2,932
3.2,33.2554,28.8,1078
3.2,33.2554,38.4,737
3.2,33.2554,48,585
3.2,33.2554,57.6,485
3.2,33.2554,67.2,447
3.2,33.2554,76.8,442
3.2,33.2554,86.4,411
3.2,33.2554,9.6,2116
3.2,33.2554,96,304
3.2,36.0267,100.8,774
3.2,36.0267,14.4,1796
3.2,36.0267,24,998
3.2,36.0267,33.6,810
3.2,36.0267,4.8,2178
3.2,36.0267,43.2,470
3.2,36.0267,52.8,541
3.2,36.0267,62.4,378
3.2,36.0267,72,389
3.2,36.0267,81.6,536
3.2,36.0267,91.2,278
3.2,38.7979,0,5483
3.2,38.7979,19.2,1431
3.2,38.7979,28.8,852
3.2,38.7979,38.4,681
3.2,38.7979,48,591
3.2,38.7979,57.6,395
3.2,38.7979,67.2,459
3.2,38.7979,76.8,409
3.2,38.7979,86.4,441
3.2,38.7979,9.6,2005
3.2,38.7979,96,477
3.2,41.5692,100.8,704
3.2,41.5692,14.4,1587
3.2,41.5692,24,1140
3.2,41.5692,33.6,769
3.2,41.5692,4.8,3291
3.2,41.5692,43.2,533
3.2,41.5692,52.8,526
3.2,41.5692,62.4,403
3.2,41.5692,72,409
3.2,41.5692,81.6,530
3.2,41.5692,91.2,601
3.2,44.3405,0,4813
3.2,44.3405,19.2,1252
3.2,44.3405,28.8,822
3.2,44.3405,38.4,685
3.2,44.3405,48,490
3.2,44.3405,57.6,440
3.2,44.3405,67.2,437
3.2,44.3405,76.8,478
3.2,44.3405,86.4,581
3.2,44.3405,9.6,1841
3.2,44.3405,96,659
3.2,47.1118,100.8,486
3.2,47.1118,14.4,1647
3.2,47.1118,24,931
3.2,47.1118,33.6,699
3.2,47.1118,4.8,3010
3.2,47.1118,43.2,557
3.2,47.1118,52.8,480
3.2,47.1118,62.4,435
3.2,47.1118,72,433
3.2,47.1118,81.6,493
3.2,47.1118,91.2,638
3.2,49.8831,0,3792
3.2,49.8831,19.2,1110
3.2,49.8831,28.8,763
3.2,49.8831,38.4,536
3.2,49.8831,48,438
3.2,49.8831,57.6,418
3.2,49.8831,67.2,359
3.2,49.8831,76.8,433
3.2,49.8831,86.4,537
3.2,49.8831,9.6,1906
3.2,49.8831,96,693
3.2,52.6543,100.8,333
3.2,52.6543,14.4,1158
3.2,52.6543,24,769
3.2,52.6543,33.6,534
3.2,52.6543,4.8,2248
3.2,52.6543,43.2,418
3.2,52.6543,52.8,324
3.2,52.6543,62.4,359
3.2,52.6543,72,414
3.2,52.6543,81.6,468
3.2,52.6543,91.2,583
3.2,55.4256,0,2451
3.2,55.4256,19.2,714
3.2,55.4256,28.8,536
3.2,55.4256,38.4,363
3.2,55.4256,48,302
3.2,55.4256,57.6,285
3.2,55.4256,67.2,254
3.2,55.4256,76.8,316
3.2,55.4256,86.4,428
3.2,55.4256,9.6,1361
3.2,55.4256,96,565
3.2,58.1969,100.8,176
3.2,58.1969,14.4,756
3.2,58.1969,24,484
3.2,58.1969,33.6,318
3.2,58.1969,4.8,1492
3.2,58.1969,43.2,274
3.2,58.1969,52.8,246
3.2,58.1969,62.4,233
3.2,58.1969,72,212
3.2,58.1969,81.6,263
3.2,58.1969,91.2,396
3.2,60.9682,0,1451
3.2,60.9682,19.2,487
3.2,60.9682,28.8,319
3.2,60.9682,38.4,232
3.2,60.9682,48,188
3.2,60.9682,57.6,160
3.2,60.9682,67.2,186
3.2,60.9682,76.8,198
3.2,60.9682,86.4,254
3.2,60.9682,9.6,887
3.2,60.9682,96,369
3.2,63.7395,100.8,86
3.2,63.7395,14.4,486
3.2,63.7395,24,282
3.2,63.7395,33.6,196
3.2,63.7395,4.8,960
3.2,63.7395,43.2,184
3.2,63.7395,52.8,149
3.2,63.7395,62.4,119
3.2,63.7395,72,140
3.2,63.7395,81.6,158
3.2,63.7395,91.2,235
3.2,66.5108,0,763
3.2,66.5108,19.2,313
3.2,66.5108,28.8,207
