"lo","hi","n"
0,2,44767
2,4,6445
4,6,6311
6,8,5934
8,10,5994
10,12,4513
12,14,4431
14,16,4415
16,18,3887
18,20,4658
20,22,2311
22,24,3089
24,26,3401
26,28,2467
28,30,2846
30,32,1932
32,34,3191
34,36,1653
36,38,1984
38,40,2457
40,42,1271
42,44,1654
44,46,1579
46,48,1348
48,50,3486
50,52,672
52,54,1181
54,56,1355
56,58,1336
58,60,1759
60,62,892
62,64,1303
64,66,956
66,68,1915
68,70,1142
70,72,1116
72,74,1137
74,76,1574
76,78,1251
78,80,1612
80,82,1066
82,84,1444
84,86,1412
86,88,1428
88,90,1622
90,92,1489
92,94,1575
94,96,1653
96,98,1502
98,100,6917
