"name","region","division","reps_1960","pop_1960","south_census","south_confed","sunbelt","reps_2020","pop_2020","change","rank_1960","rank_2020","pop_growth"
"Florida","South","South Atlantic",12,4951560,TRUE,TRUE,TRUE,28,21538187,16,9,3,334.978
"Texas","South","West South Central",23,9579677,TRUE,TRUE,TRUE,38,29145505,15,6,2,204.243
"California","West","Pacific",38,15717204,FALSE,FALSE,TRUE,52,39538223,14,2,1,151.56
"Arizona","West","Mountain",3,1302161,FALSE,FALSE,TRUE,9,7151502,6,34,14,449.203
"Georgia","South","South Atlantic",10,3943116,TRUE,TRUE,TRUE,14,10711908,4,13,8,171.661
"Colorado","West","Mountain",4,1753947,FALSE,FALSE,TRUE,8,5773714,4,31,18,229.184
"North Carolina","South","South Atlantic",11,4556155,TRUE,TRUE,TRUE,14,10439388,3,11,8,129.127
"Washington","West","Pacific",7,2853214,FALSE,FALSE,TRUE,10,7705281,3,22,13,170.056
"Nevada","West","Mountain",1,285278,FALSE,FALSE,TRUE,4,3104614,3,46,30,988.277
"Oregon","West","Pacific",4,1768687,FALSE,FALSE,TRUE,6,4237256,2,31,25,139.571
"Utah","West","Mountain",2,890627,FALSE,FALSE,TRUE,4,3271616,2,36,30,267.339
"Virginia","South","South Atlantic",10,3966949,TRUE,TRUE,TRUE,11,8631393,1,13,12,117.583
"South Carolina","South","South Atlantic",6,2382594,TRUE,TRUE,TRUE,7,5118425,1,25,23,114.826
"New Mexico","West","Mountain",2,951023,FALSE,FALSE,TRUE,3,2117522,1,36,36,122.657
"Tennessee","South","East South Central",9,3567089,TRUE,TRUE,TRUE,9,6910840,0,17,14,93.7389
"Maryland","South","South Atlantic",8,3100689,TRUE,FALSE,TRUE,8,6177224,0,18,18,99.221
"Minnesota","Midwest","West North Central",8,3413864,FALSE,FALSE,FALSE,8,5706494,0,18,18,67.1565
"Arkansas","South","West South Central",4,1786272,TRUE,TRUE,TRUE,4,3011524,0,31,30,68.5927
"Nebraska","Midwest","West North Central",3,1411330,FALSE,FALSE,FALSE,3,1961504,0,34,36,38.9827
"Hawaii","West","Pacific",2,632772,FALSE,FALSE,TRUE,2,1455271,0,36,38,129.983
"Idaho","West","Mountain",2,667191,FALSE,FALSE,TRUE,2,1839106,0,36,38,175.649
"Maine","Northeast","New England",2,969265,FALSE,FALSE,FALSE,2,1362359,0,36,38,40.5559
"Montana","West","Mountain",2,674767,FALSE,FALSE,TRUE,2,1084225,0,36,38,60.6814
"New Hampshire","Northeast","New England",2,606921,FALSE,FALSE,FALSE,2,1377529,0,36,38,126.97
"Rhode Island","Northeast","New England",2,859488,FALSE,FALSE,FALSE,2,1097379,0,36,38,27.6782
"Alaska","West","Pacific",1,226167,FALSE,FALSE,TRUE,1,733391,0,46,45,224.27
"Delaware","South","South Atlantic",1,446292,TRUE,FALSE,TRUE,1,989948,0,46,45,121.816
"Vermont","Northeast","New England",1,389881,FALSE,FALSE,FALSE,1,643077,0,46,45,64.9419
"Wyoming","West","Mountain",1,330066,FALSE,FALSE,TRUE,1,576851,0,46,45,74.7684
"Alabama","South","East South Central",8,3266740,TRUE,TRUE,TRUE,7,5024279,-1,18,23,53.801
"Kentucky","South","East South Central",7,3038156,TRUE,FALSE,TRUE,6,4505836,-1,22,25,48.3083
"Connecticut","Northeast","New England",6,2535234,FALSE,FALSE,FALSE,5,3605944,-1,25,28,42.2332
"Oklahoma","South","West South Central",6,2328284,TRUE,FALSE,TRUE,5,3959353,-1,25,28,70.0546
"Kansas","Midwest","West North Central",5,2178611,FALSE,FALSE,FALSE,4,2937880,-1,28,30,34.8511
"Mississippi","South","East South Central",5,2178141,TRUE,TRUE,TRUE,4,2961279,-1,28,30,35.9544
"North Dakota","Midwest","West North Central",2,632446,FALSE,FALSE,FALSE,1,779094,-1,36,45,23.1874
"South Dakota","Midwest","West North Central",2,680514,FALSE,FALSE,FALSE,1,886667,-1,36,45,30.2937
"Indiana","Midwest","East North Central",11,4662498,FALSE,FALSE,FALSE,9,6785528,-2,11,14,45.5342
"Missouri","Midwest","West North Central",10,4319813,FALSE,FALSE,FALSE,8,6154913,-2,13,18,42.481
"Wisconsin","Midwest","East North Central",10,3951777,FALSE,FALSE,FALSE,8,5893718,-2,13,18,49.141
"Louisiana","South","West South Central",8,3257022,TRUE,TRUE,TRUE,6,4657757,-2,18,25,43.0066
"New Jersey","Northeast","Middle Atlantic",15,6066782,FALSE,FALSE,FALSE,12,9288994,-3,8,11,53.1124
"Massachusetts","Northeast","New England",12,5148578,FALSE,FALSE,FALSE,9,7029917,-3,9,14,36.5409
"Iowa","Midwest","West North Central",7,2757537,FALSE,FALSE,FALSE,4,3190369,-3,22,30,15.6963
"West Virginia","South","South Atlantic",5,1860421,TRUE,FALSE,TRUE,2,1793716,-3,28,38,-3.58548
"Michigan","Midwest","East North Central",19,7823194,FALSE,FALSE,FALSE,13,10077331,-6,7,10,28.8135
"Illinois","Midwest","East North Central",24,10081158,FALSE,FALSE,FALSE,17,12812508,-7,4,5,27.0936
"Ohio","Midwest","East North Central",24,9706397,FALSE,FALSE,FALSE,15,11799448,-9,4,7,21.5636
"Pennsylvania","Northeast","Middle Atlantic",27,11319366,FALSE,FALSE,FALSE,17,13002700,-10,3,5,14.8713
"New York","Northeast","Middle Atlantic",41,16782304,FALSE,FALSE,FALSE,26,20201249,-15,1,4,20.3723
