"region","year","pop","reps","share","seat_share"
"Midwest",1910,29888542,143,32.407,33.0254
"Midwest",1920,34019792,143,32.0876,32.8736
"Midwest",1930,38594100,137,31.3257,31.4943
"Midwest",1940,40143332,131,30.3736,30.1149
"Midwest",1950,44460762,129,29.3808,29.6552
"Midwest",1960,51619139,125,28.7855,28.7356
"Midwest",1970,56571663,121,27.8388,27.8161
"Midwest",1980,58865670,113,25.984,25.977
"Midwest",1990,59668632,105,23.9913,24.1379
"Midwest",2000,64392776,100,22.8812,22.9885
"Midwest",2010,66927001,94,21.6771,21.6092
"Midwest",2020,68985454,91,20.8133,20.9195
"Northeast",1910,25868573,123,28.0483,28.4065
"Northeast",1920,29662053,123,27.9774,28.2759
"Northeast",1930,34427091,122,27.9435,28.046
"Northeast",1940,35976777,120,27.2211,27.5862
"Northeast",1950,39477986,115,26.0881,26.4368
"Northeast",1960,44677819,108,24.9147,24.8276
"Northeast",1970,49040703,104,24.1328,23.908
"Northeast",1980,49135283,95,21.6889,21.8391
"Northeast",1990,50809229,88,20.4291,20.2299
"Northeast",2000,53594378,83,19.0441,19.0805
"Northeast",2010,55317240,78,17.9168,17.931
"Northeast",2020,57609148,76,17.381,17.4713
"South",1910,29389330,136,31.8658,31.4088
"South",1920,33125803,136,31.2444,31.2644
"South",1930,37857633,133,30.7279,30.5747
"South",1940,41665901,135,31.5256,31.0345
"South",1950,47197088,134,31.1891,30.8046
"South",1960,54973113,133,30.6559,30.5747
"South",1970,62795367,134,30.9014,30.8046
"South",1980,75372362,142,33.2703,32.6437
"South",1990,85445930,149,34.3557,34.2529
"South",2000,100236820,154,35.618,35.4023
"South",2010,114555744,161,37.1036,37.0115
"South",2020,126266107,164,38.0952,37.7011
"West",1910,7082086,31,7.67885,7.15935
"West",1920,9213920,33,8.69061,7.58621
"West",1930,12323836,43,10.0029,9.88506
"West",1940,14379119,49,10.8797,11.2644
"West",1950,20189962,57,13.342,13.1034
"West",1960,28053104,69,15.6439,15.8621
"West",1970,34804193,76,17.127,17.4713
"West",1980,43172490,85,19.0568,19.5402
"West",1990,52786082,93,21.224,21.3793
"West",2000,63197932,98,22.4566,22.5287
"West",2010,71945553,102,23.3025,23.4483
"West",2020,78588572,104,23.7106,23.908
