"definition","year","pop","share","n_states"
"Border South only (DC, DE, KY, MD, OK, WV)",1910,6996916,7.5865,6
"Border South only (DC, DE, KY, MD, OK, WV)",1920,8018849,7.56341,6
"Border South only (DC, DE, KY, MD, OK, WV)",1930,9096609,7.38345,6
"Border South only (DC, DE, KY, MD, OK, WV)",1940,9834875,7.44135,6
"Border South only (DC, DE, KY, MD, OK, WV)",1950,10646973,7.0358,6
"Border South only (DC, DE, KY, MD, OK, WV)",1960,11537798,6.43408,6
"Border South only (DC, DE, KY, MD, OK, WV)",1970,12749185,6.27384,6
"Border South only (DC, DE, KY, MD, OK, WV)",1980,14085357,6.21744,6
"Border South only (DC, DE, KY, MD, OK, WV)",1990,14678894,5.90201,6
"Border South only (DC, DE, KY, MD, OK, WV)",2000,15952912,5.66868,6
"Border South only (DC, DE, KY, MD, OK, WV)",2010,17216921,5.57641,6
"Border South only (DC, DE, KY, MD, OK, WV)",2020,18115622,5.46558,6
"Census South (16 states + DC)",1910,29389330,31.8658,17
"Census South (16 states + DC)",1920,33125803,31.2444,17
"Census South (16 states + DC)",1930,37857633,30.7279,17
"Census South (16 states + DC)",1940,41665901,31.5256,17
"Census South (16 states + DC)",1950,47197088,31.1891,17
"Census South (16 states + DC)",1960,54973113,30.6559,17
"Census South (16 states + DC)",1970,62795367,30.9014,17
"Census South (16 states + DC)",1980,75372362,33.2703,17
"Census South (16 states + DC)",1990,85445930,34.3557,17
"Census South (16 states + DC)",2000,100236820,35.618,17
"Census South (16 states + DC)",2010,114555744,37.1036,17
"Census South (16 states + DC)",2020,126266107,38.0952,17
"Confederate South (11 states)",1910,22392414,24.2793,11
"Confederate South (11 states)",1920,25106954,23.681,11
"Confederate South (11 states)",1930,28761024,23.3445,11
"Confederate South (11 states)",1940,31831026,24.0843,11
"Confederate South (11 states)",1950,36550115,24.1533,11
"Confederate South (11 states)",1960,43435315,24.2218,11
"Confederate South (11 states)",1970,50046182,24.6276,11
"Confederate South (11 states)",1980,61287005,27.0528,11
"Confederate South (11 states)",1990,70767036,28.4536,11
"Confederate South (11 states)",2000,84283908,29.9493,11
"Confederate South (11 states)",2010,97338823,31.5272,11
"Confederate South (11 states)",2020,108150485,32.6296,11
"Northeast",1910,25868573,28.0483,9
"Northeast",1920,29662053,27.9774,9
"Northeast",1930,34427091,27.9435,9
"Northeast",1940,35976777,27.2211,9
"Northeast",1950,39477986,26.0881,9
"Northeast",1960,44677819,24.9147,9
"Northeast",1970,49040703,24.1328,9
"Northeast",1980,49135283,21.6889,9
"Northeast",1990,50809229,20.4291,9
"Northeast",2000,53594378,19.0441,9
"Northeast",2010,55317240,17.9168,9
"Northeast",2020,57609148,17.381,9
"Sun Belt (South + West)",1910,36471416,39.5446,30
"Sun Belt (South + West)",1920,42339723,39.935,30
"Sun Belt (South + West)",1930,50181469,40.7308,30
"Sun Belt (South + West)",1940,56045020,42.4053,30
"Sun Belt (South + West)",1950,67387050,44.5311,30
"Sun Belt (South + West)",1960,83026217,46.2998,30
"Sun Belt (South + West)",1970,97599560,48.0285,30
"Sun Belt (South + West)",1980,118544852,52.3271,30
"Sun Belt (South + West)",1990,138232012,55.5796,30
"Sun Belt (South + West)",2000,163434752,58.0746,30
"Sun Belt (South + West)",2010,186501297,60.4062,30
"Sun Belt (South + West)",2020,204854679,61.8057,30
