"division","piece","x","y"
"New England",1,721.674,140.676
"New England",1,720.166,140.76
"New England",1,720.334,139.42
"New England",1,720.92,139.168
"New England",1,721.674,140.676
"New England",2,716.163,138.696
"New England",2,713.17,140.145
"New England",2,712.243,140.084
"New England",2,711.232,140.994
"New England",2,709.8,141.388
"New England",2,708.118,142.323
"New England",2,707.391,142.174
"New England",2,705.438,143.164
"New England",2,703.125,143.424
"New England",2,701.561,144.987
"New England",2,701.111,145.959
"New England",2,700.136,145.992
"New England",2,699.543,146.877
"New England",2,697.787,148.579
"New England",2,697.18,148.657
"New England",2,695.027,150.381
"New England",2,693.647,148.606
"New England",2,696.323,145.922
"New England",2,695.107,144.708
"New England",2,692.786,131.528
"New England",2,692.371,130.961
"New England",2,692.678,118.876
"New England",2,692.14,117.415
"New England",2,689.657,105.258
"New England",2,688.217,103.955
"New England",2,687.01,103.661
"New England",2,687.33,101.543
"New England",2,686.647,100.857
"New England",2,686.605,99.8099
"New England",2,685.964,98.9785
"New England",2,685.647,97.5736
"New England",2,685.138,97.1322
"New England",2,685.13,94.8768
"New England",2,685.717,93.0846
"New England",2,685.084,91.4397
"New England",2,685.236,89.8838
"New England",2,684.723,88.7986
"New England",2,683.315,87.1019
"New England",2,683.232,83.8113
"New England",2,682.452,83.0061
"New England",2,682.696,81.8477
"New England",2,682.258,80.2655
"New England",2,685.809,79.3252
"New England",2,694.307,77.3651
"New England",2,699.531,75.9854
"New England",2,704.496,74.5862
"New England",2,704.275,73.6198
"New England",2,704.697,72.7916
"New England",2,704.813,71.1377
"New England",2,704.234,70.5468
"New England",2,705.808,68.9828
"New England",2,707.296,69.6952
"New England",2,708.186,68.2839
"New England",2,708.859,67.3868
"New England",2,709.678,67.4069
"New England",2,710.78,68.7932
"New England",2,711.381,68.7152
"New England",2,711.228,65.1712
"New England",2,711.991,65.5436
"New England",2,712.988,64.7525
"New England",2,711.556,63.6376
"New England",2,711.727,62.6139
"New England",2,712.858,60.4117
"New England",2,714.558,58.7209
"New England",2,713.936,57.9572
"New England",2,715.303,55.6716
"New England",2,714.331,54.6448
"New England",2,713.938,52.9402
"New England",2,714.349,51.3423
"New England",2,713.541,50.7817
"New England",2,713.842,48.048
"New England",2,715.186,45.8887
"New England",2,714.591,41.2109
"New England",2,718.431,30.0201
"New England",2,719.96,25.8084
"New England",2,722.215,25.7904
"New England",2,722.264,26.5832
"New England",2,723.072,28.7673
"New England",2,725.01,29.4149
"New England",2,725.952,28.4538
"New England",2,728.083,27.2152
"New England",2,728.972,26.0892
"New England",2,730.514,25.7087
"New England",2,730.358,24.5987
"New England",2,732.25,24.3206
"New England",2,735.883,25.8466
"New England",2,737.006,26.9205
"New England",2,738.425,27.458
"New England",2,740.818,35.2272
"New England",2,744.325,46.3358
"New England",2,744.4,47.5768
"New England",2,745.07,48.0958
"New England",2,744.851,49.0515
"New England",2,745.388,50.7943
"New England",2,746.476,50.4339
"New England",2,747.139,51.1207
"New England",2,748.981,51.2071
"New England",2,749.871,50.7617
"New England",2,750.854,52.3476
"New England",2,750.324,53.4333
"New England",2,751.406,54.5394
"New England",2,751.328,56.5074
"New England",2,752.986,58.0955
"New England",2,753.738,58.3878
"New England",2,754.211,57.0328
"New England",2,755.662,57.0995
"New England",2,756.508,57.7672
"New England",2,758.356,60.3689
"New England",2,759.144,60.7975
"New England",2,760,62.1136
"New England",2,758.926,63.8457
"New England",2,758.195,65.5497
"New England",2,757.048,67.0684
"New England",2,756.019,66.9196
"New England",2,755.185,67.6276
"New England",2,754.786,69.4197
"New England",2,755.173,69.9088
"New England",2,754.503,70.9975
"New England",2,753.12,69.6394
"New England",2,751.595,70.6796
"New England",2,751.244,72.176
"New England",2,749.483,73.2496
"New England",2,749.362,74.3833
"New England",2,748.155,73.7091
"New England",2,747.515,76.1164
"New England",2,746.749,76.9378
"New England",2,747.097,79.1771
"New England",2,745.753,79.4205
"New England",2,744.215,80.6992
"New England",2,743.158,80.9245
"New England",2,740.93,82.5192
"New England",2,739.667,80.9582
"New England",2,740.089,80.2984
"New England",2,739.029,79.521
"New England",2,737.887,79.5799
"New England",2,737.969,81.4613
"New England",2,738.751,82.1698
"New England",2,738.723,84.115
"New England",2,737.517,84.405
"New England",2,736.33,86.9577
"New England",2,734.964,85.5195
"New England",2,734.202,87.9186
"New England",2,731.814,89.4305
"New England",2,731.596,90.3832
"New England",2,730.55,91.3969
"New England",2,729.473,90.4095
"New England",2,728.735,91.8041
"New England",2,727.758,92.7769
"New England",2,726.86,92.9749
"New England",2,726.555,95.544
"New England",2,725.184,96.1154
"New England",2,725.934,97.2033
"New England",2,725.298,99.1656
"New England",2,723.788,100.299
"New England",2,723.644,101.287
"New England",2,724.006,103.142
"New England",2,723.159,105.273
