trial,black_eligible,black_struck,white_eligible,white_struck,unknown_eligible,batson_claim,verdict
Flowers I,5,5,6,6,26,TRUE,Guilty on at least one offense
Flowers II,5,4,3,2,22,TRUE,Guilty on at least one offense
Flowers III,15,15,21,0,0,TRUE,Guilty on at least one offense
Flowers IV,16,11,20,0,0,FALSE,Mistrial
Flowers V,8,4,22,1,0,FALSE,Mistrial
Flowers VI,7,5,25,1,0,TRUE,Guilty on at least one offense
