"state","n_districts","threshold","enacted","neutral_mean"
"AL",7,0.025,0,0.5744
"AL",7,0.05,0,1.6378
"AL",7,0.075,0,1.9224
"AL",7,0.1,0,2.042
"AR",4,0.025,0,0.1768
"AR",4,0.05,0,0.4654
"AR",4,0.075,0,0.9106
"AR",4,0.1,1,0.97
"AZ",9,0.025,2,2.0296
"AZ",9,0.05,4,3.5428
"AZ",9,0.075,4,4.8248
"AZ",9,0.1,5,6.5534
"CA",52,0.025,2,3.2748
"CA",52,0.05,6,8.8968
"CA",52,0.075,12,16.2058
"CA",52,0.1,16,20.2266
"CO",8,0.025,1,1.0992
"CO",8,0.05,3,2.3582
"CO",8,0.075,3,3.8476
"CO",8,0.1,5,5.8696
"CT",5,0.025,0,0.6402
"CT",5,0.05,2,1.2128
"CT",5,0.075,2,2.1254
"CT",5,0.1,3,3.1716
"FL",28,0.025,2,3.691
"FL",28,0.05,6,7.0068
"FL",28,0.075,12,12.0412
"FL",28,0.1,17,15.6094
"GA",14,0.025,0,1.1412
"GA",14,0.05,1,2.6102
"GA",14,0.075,2,4.6328
"GA",14,0.1,4,6.2516
"HI",2,0.025,0,0
"HI",2,0.05,0,0
"HI",2,0.075,0,0
"HI",2,0.1,0,0
"IA",4,0.025,3,1.141
"IA",4,0.05,3,2.6232
"IA",4,0.075,3,2.921
"IA",4,0.1,3,3.0096
"ID",2,0.025,0,0
"ID",2,0.05,0,0
"ID",2,0.075,0,0
"ID",2,0.1,0,0.0178
"IL",17,0.025,0,2.0108
"IL",17,0.05,0,3.8762
"IL",17,0.075,4,6.6166
"IL",17,0.1,6,9.5912
"IN",9,0.025,0,0.4456
"IN",9,0.05,0,1.4168
"IN",9,0.075,1,2.1992
"IN",9,0.1,1,3.484
"KS",4,0.025,1,1.8946
"KS",4,0.05,1,1.9208
"KS",4,0.075,2,1.9976
"KS",4,0.1,2,2.5468
"KY",6,0.025,0,0.0394
"KY",6,0.05,1,0.5222
"KY",6,0.075,1,1.1544
"KY",6,0.1,1,1.856
"LA",6,0.025,0,0.1158
"LA",6,0.05,0,0.5774
"LA",6,0.075,0,0.8914
"LA",6,0.1,1,1.4936
"MA",9,0.025,0,0.2008
"MA",9,0.05,1,2.577
"MA",9,0.075,3,3.1852
"MA",9,0.1,6,4.6392
"MD",8,0.025,1,0.551
"MD",8,0.05,2,1.159
"MD",8,0.075,3,1.9918
"MD",8,0.1,3,3.2844
"ME",2,0.025,0,0.0078
"ME",2,0.05,0,0.9742
"ME",2,0.075,1,1.9306
"ME",2,0.1,2,2
"MI",13,0.025,3,3.4668
"MI",13,0.05,5,5.7722
"MI",13,0.075,5,7.7082
"MI",13,0.1,7,10.047
"MN",8,0.025,1,1.8754
"MN",8,0.05,3,3.3518
"MN",8,0.075,3,4.1406
"MN",8,0.1,5,4.8276
"MO",8,0.025,0,0.2296
"MO",8,0.05,0,0.6602
"MO",8,0.075,1,1.7406
"MO",8,0.1,1,2.461
"MS",4,0.025,0,0.003
"MS",4,0.05,0,0.0054
"MS",4,0.075,0,0.019
"MS",4,0.1,0,0.647
"MT",2,0.025,0,0.129
"MT",2,0.05,1,0.4894
"MT",2,0.075,1,1.0614
"MT",2,0.1,1,1.7082
"NC",14,0.025,1,2.4332
"NC",14,0.05,4,5.7114
"NC",14,0.075,7,7.4486
"NC",14,0.1,8,8.8822
"NE",3,0.025,0,0.549
"NE",3,0.05,1,1
"NE",3,0.075,1,1.0464
"NE",3,0.1,2,1.952
"NH",2,0.025,2,1.4622
"NH",2,0.05,2,2
"NH",2,0.075,2,2
"NH",2,0.1,2,2
"NJ",12,0.025,1,0.934
"NJ",12,0.05,2,2.468
"NJ",12,0.075,5,3.9704
"NJ",12,0.1,6,5.758
"NM",3,0.025,0,0.107
"NM",3,0.05,0,0.8864
"NM",3,0.075,1,1.0556
"NM",3,0.1,3,1.1292
"NV",4,0.025,0,1.0116
"NV",4,0.05,1,1.7182
"NV",4,0.075,4,3.1392
"NV",4,0.1,4,3.4478
"NY",26,0.025,1,3.6812
"NY",26,0.05,5,7.124
"NY",26,0.075,10,10.4122
"NY",26,0.1,13,12.897
"OH",15,0.025,3,3.3912
"OH",15,0.05,6,4.0102
"OH",15,0.075,7,7.3532
"OH",15,0.1,8,8.1072
"OK",5,0.025,0,0.0656
"OK",5,0.05,0,0.7768
"OK",5,0.075,0,0.8848
"OK",5,0.1,0,0.9648
"OR",6,0.025,1,1.8196
"OR",6,0.05,2,2.6286
"OR",6,0.075,3,3.186
"OR",6,0.1,3,4.1388
"PA",17,0.025,2,2.5516
"PA",17,0.05,5,5.4496
"PA",17,0.075,6,6.9124
"PA",17,0.1,8,8.8396
"RI",2,0.025,0,0
"RI",2,0.05,0,8e-04
"RI",2,0.075,0,0.0612
"RI",2,0.1,1,0.7088
"SC",7,0.025,0,1.3332
"SC",7,0.05,0,2.0282
"SC",7,0.075,2,2.834
"SC",7,0.1,4,4.1368
"TN",9,0.025,0,0.2182
"TN",9,0.05,0,0.4392
"TN",9,0.075,0,0.5884
"TN",9,0.1,2,0.7744
"TX",38,0.025,1,4.5578
"TX",38,0.05,2,8.7138
"TX",38,0.075,3,12.793
"TX",38,0.1,4,16.6496
"UT",4,0.025,0,0.1582
"UT",4,0.05,0,0.4052
"UT",4,0.075,0,0.8576
"UT",4,0.1,0,1.2736
"VA",11,0.025,1,1.6382
"VA",11,0.05,4,3.0514
"VA",11,0.075,4,3.9474
"VA",11,0.1,5,4.8806
"WA",10,0.025,1,1.3658
"WA",10,0.05,4,3.9764
"WA",10,0.075,6,5.4616
"WA",10,0.1,7,6.7872
"WI",8,0.025,2,1.294
"WI",8,0.05,2,2.7056
"WI",8,0.075,3,4.5532
"WI",8,0.1,5,5.3404
"WV",2,0.025,0,0
"WV",2,0.05,0,0
"WV",2,0.075,0,0
"WV",2,0.1,0,0
