"key","value"
"n_years","9"
"n_state_years","450"
"n_issue_areas_1996","6"
"n_issue_areas_2024","10"
"easiest_2024_published","Oregon"
"easiest_2024_current","Washington"
"hardest_2024","Mississippi"
"repro_max_difference","0.000265"
"cor_init_final_1996","0.597"
"mean_rank_move_1996","13.6"
"max_rank_move_1996","40"
"max_move_state_1996","Tennessee"
"mean_rank_move_2024","1.36"
"turnout_correlation","-0.266"
"turnout_r_squared","0.0708"
"turnout_p_value","0.0617"
"equal_weight_max_move","16"
"unstd_max_move","28"
"pc1_share_2024","0.471"
"gap_1996","-11"
"gap_2024","23.3"
"r_rank_1996","18.5"
"d_rank_1996","29.5"
"r_rank_2024","35.7"
"d_rank_2024","12.4"
"control_states_differing","3"
