"year","control","n","mean_rank","mean_covi"
1996,"Republican trifecta",15,18.5333,-0.418272
1996,"Democratic trifecta",6,29.5,0.318055
1996,"Divided",28,28.8929,0.159993
2000,"Republican trifecta",15,21.7333,-0.109697
2000,"Democratic trifecta",9,31.2222,0.291558
2000,"Divided",25,26.04,-0.0298836
2004,"Republican trifecta",12,27.9167,0.000175592
2004,"Democratic trifecta",8,25.125,-0.0571203
2004,"Divided",29,24.6552,0.0138393
2008,"Republican trifecta",10,25.2,-0.129593
2008,"Democratic trifecta",14,20.7143,-0.205539
2008,"Divided",25,28.72,0.167798
2012,"Republican trifecta",23,31.6522,0.252395
2012,"Democratic trifecta",11,19.6364,-0.223927
2012,"Divided",15,20.9333,-0.20824
2016,"Republican trifecta",22,33.4091,0.348757
2016,"Democratic trifecta",7,13.5714,-0.637525
2016,"Divided",20,21.55,-0.145813
2020,"Republican trifecta",20,34.1,0.4878
2020,"Democratic trifecta",15,13.0667,-0.784635
2020,"Divided",14,26.4286,0.132255
2022,"Republican trifecta",22,34.8182,0.747041
2022,"Democratic trifecta",14,11.7857,-1.20255
2022,"Divided",13,24.4615,0.0138059
2024,"Republican trifecta",22,35.6818,0.847184
2024,"Democratic trifecta",17,12.4118,-1.12724
2024,"Divided",10,25.1,0.00289191
