"abbr","state","published","rebuilt","difference","published_rank","rebuilt_rank"
"AL","Alabama",1.42632,1.42639,0.0000726841,44,44
"AK","Alaska",-0.164555,-0.164532,0.000022296,21,21
"AZ","Arizona",0.561168,0.561137,-0.0000312438,29,29
"AR","Arkansas",1.5679,1.56794,0.0000418161,49,49
"CA","California",-2.08445,-2.08464,-0.000188774,7,7
"CO","Colorado",-2.05294,-2.05305,-0.000112807,8,8
"CT","Connecticut",-0.0462743,-0.0463323,-0.0000580379,22,22
"DE","Delaware",0.382832,0.383011,0.000179079,25,25
"FL","Florida",0.802503,0.802604,0.000100762,32,32
"GA","Georgia",0.875783,0.875843,0.0000594876,35,35
"HI","Hawaii",-2.22486,-2.22509,-0.000231529,3,3
"ID","Idaho",0.428473,0.428452,-0.0000204855,27,27
"IL","Illinois",-1.68346,-1.68361,-0.000148956,9,9
"IN","Indiana",0.862012,0.861991,-0.0000210264,34,34
"IA","Iowa",0.160612,0.160626,0.0000133262,24,24
"KS","Kansas",1.10969,1.10975,0.0000581722,38,38
"KY","Kentucky",1.08475,1.08484,0.0000902103,37,37
"LA","Louisiana",0.809784,0.809879,0.0000949277,33,33
"ME","Maine",-0.797199,-0.797215,-0.0000164357,14,14
"MD","Maryland",-0.697404,-0.697338,0.0000656318,17,17
"MA","Massachusetts",-1.01575,-1.01578,-0.0000332885,11,11
"MI","Michigan",-0.889477,-0.889496,-0.0000187307,13,13
"MN","Minnesota",-1.14786,-1.14788,-0.0000185528,10,10
"MS","Mississippi",2.01049,2.0106,0.000111221,50,50
"MO","Missouri",1.30899,1.3091,0.000113215,41,41
"MT","Montana",0.717965,0.717981,0.0000156993,31,31
"NE","Nebraska",0.496135,0.496134,-0.000000703777,28,28
"NV","Nevada",-2.18687,-2.18706,-0.00018536,4,4
"NH","New Hampshire",1.48327,1.48347,0.000201993,47,47
"NJ","New Jersey",-0.607256,-0.607281,-0.000024776,18,18
"NM","New Mexico",-0.338559,-0.338532,0.0000262147,19,19
"NY","New York",-0.96585,-0.965901,-0.0000502834,12,12
"NC","North Carolina",0.622359,0.622394,0.0000353319,30,30
"ND","North Dakota",-0.700922,-0.700964,-0.0000418774,16,16
"OH","Ohio",1.43571,1.43579,0.0000818644,45,45
"OK","Oklahoma",0.919162,0.919228,0.0000666992,36,36
"OR","Oregon",-2.31425,-2.31446,-0.00021084,2,2
"PA","Pennsylvania",0.399019,0.399064,0.0000450559,26,26
"RI","Rhode Island",-0.204266,-0.204251,0.0000151434,20,20
"SC","South Carolina",1.41008,1.41014,0.0000679133,43,43
"SD","South Dakota",1.12374,1.12381,0.0000718457,39,39
"TN","Tennessee",1.33541,1.33547,0.000056485,42,42
"TX","Texas",1.52445,1.52459,0.00014375,48,48
"UT","Utah",-2.12666,-2.12693,-0.000265098,6,6
"VT","Vermont",-2.15193,-2.15219,-0.000264245,5,5
"VA","Virginia",-0.714896,-0.714918,-0.0000219615,15,15
"WA","Washington",-2.47609,-2.4763,-0.000218107,1,1
"WV","West Virginia",0.0823577,0.0823799,0.0000222283,23,23
"WI","Wisconsin",1.47018,1.47034,0.000153674,46,46
"WY","Wyoming",1.18064,1.18079,0.000154393,40,40
