"abbr","state","published_rank","equal_rank","pc1_rank","unstandardized_rank","equal_move","pc1_move","unstandardized_move"
"AL","Alabama",44,34,47,35,-10,3,-9
"AK","Alaska",21,19,20,37,-2,-1,16
"AZ","Arizona",29,24,32,29,-5,3,0
"AR","Arkansas",49,38,49,40,-11,0,-9
"CA","California",7,11,5,5,4,-2,-2
"CO","Colorado",8,17,1,2,9,-7,-6
"CT","Connecticut",22,18,21,14,-4,-1,-8
"DE","Delaware",25,41,25,43,16,0,18
"FL","Florida",32,36,33,39,4,1,7
"GA","Georgia",35,30,40,36,-5,5,1
"HI","Hawaii",3,6,4,1,3,1,-2
"ID","Idaho",27,21,28,22,-6,1,-5
"IL","Illinois",9,5,9,9,-4,0,0
"IN","Indiana",34,28,39,28,-6,5,-6
"IA","Iowa",24,25,22,20,1,-2,-4
"KS","Kansas",38,46,37,34,8,-1,-4
"KY","Kentucky",37,44,38,46,7,1,9
"LA","Louisiana",33,35,35,44,2,2,11
"ME","Maine",14,10,17,19,-4,3,5
"MD","Maryland",17,33,10,17,16,-7,0
"MA","Massachusetts",11,7,14,27,-4,3,16
"MI","Michigan",13,15,13,16,2,0,3
"MN","Minnesota",10,13,11,18,3,1,8
"MS","Mississippi",50,40,50,50,-10,0,0
"MO","Missouri",41,45,43,47,4,2,6
"MT","Montana",31,26,34,25,-5,3,-6
"NE","Nebraska",28,37,26,13,9,-2,-15
"NV","Nevada",4,9,3,6,5,-1,2
"NH","New Hampshire",47,48,36,24,1,-11,-23
"NJ","New Jersey",18,12,19,31,-6,1,13
"NM","New Mexico",19,32,15,10,13,-4,-9
"NY","New York",12,8,16,26,-4,4,14
"NC","North Carolina",30,29,30,15,-1,0,-15
"ND","North Dakota",16,14,18,11,-2,2,-5
"OH","Ohio",45,42,46,49,-3,1,4
"OK","Oklahoma",36,27,42,45,-9,6,9
"OR","Oregon",2,1,8,12,-1,6,10
"PA","Pennsylvania",26,20,29,32,-6,3,6
"RI","Rhode Island",20,16,23,48,-4,3,28
"SC","South Carolina",43,31,48,42,-12,5,-1
"SD","South Dakota",39,39,41,33,0,2,-6
"TN","Tennessee",42,43,44,38,1,2,-4
"TX","Texas",48,47,45,41,-1,-3,-7
"UT","Utah",6,4,7,4,-2,1,-2
"VT","Vermont",5,2,6,7,-3,1,2
"VA","Virginia",15,23,12,8,8,-3,-7
"WA","Washington",1,3,2,3,2,1,2
"WV","West Virginia",23,22,24,30,-1,1,7
"WI","Wisconsin",46,50,31,23,4,-15,-23
"WY","Wyoming",40,49,27,21,9,-13,-19
