"year","n_issue_areas","n_components","var_explained","pc1_share","repro_r","cor_init_final","cor_rank","mean_rank_move","max_rank_move","max_move_state"
1996,6,3,0.738965,0.345448,1,0.597034,0.330186,13.62,40,"Tennessee"
2000,6,3,0.725402,0.325095,1,0.429035,0.463719,10.58,41,"Hawaii"
2004,6,3,0.749073,0.299333,1,0.825236,0.69982,8.22,28,"Hawaii"
2008,6,3,0.737805,0.308993,1,0.918883,0.894497,5.12,19,"Missouri"
2012,7,4,0.770925,0.283841,1,0.88705,0.890324,5.24,20,"Colorado"
2016,7,4,0.797849,0.305288,0.999215,0.94693,0.95186,3.44,11,"Wyoming"
2020,9,4,0.767599,0.348236,0.967586,0.824959,0.778247,7.28,27,"Alaska"
2022,10,4,0.797319,0.458314,1,0.988531,0.987995,1.72,6,"Alaska"
2024,10,4,0.80718,0.470924,1,0.992537,0.991933,1.36,5,"Arkansas"
