"year","abbr","state","control","source","rank"
1996,"AL","Alabama","Divided","Klarner",11
1996,"AK","Alaska","Divided","Klarner",42
1996,"AZ","Arizona","Republican trifecta","Klarner",48
1996,"AR","Arkansas","Divided","Klarner",27
1996,"CA","California","Divided","Klarner",38
1996,"CO","Colorado","Divided","Klarner",46
1996,"CT","Connecticut","Divided","Klarner",21
1996,"DE","Delaware","Divided","Klarner",29
1996,"FL","Florida","Divided","Klarner",15
1996,"GA","Georgia","Democratic trifecta","Klarner",20
1996,"HI","Hawaii","Democratic trifecta","Klarner",24
1996,"ID","Idaho","Republican trifecta","Klarner",8
1996,"IL","Illinois","Republican trifecta","Klarner",23
1996,"IN","Indiana","Divided","Klarner",36
1996,"IA","Iowa","Divided","Klarner",16
1996,"KS","Kansas","Republican trifecta","Klarner",25
1996,"KY","Kentucky","Democratic trifecta","Klarner",37
1996,"LA","Louisiana","Divided","Klarner",34
1996,"ME","Maine","Divided","Klarner",2
1996,"MD","Maryland","Democratic trifecta","Klarner",44
1996,"MA","Massachusetts","Divided","Klarner",10
1996,"MI","Michigan","Republican trifecta","Klarner",19
1996,"MN","Minnesota","Divided","Klarner",3
1996,"MS","Mississippi","Divided","Klarner",27
1996,"MO","Missouri","Democratic trifecta","Klarner",13
1996,"MT","Montana","Republican trifecta","Klarner",30
1996,"NE","Nebraska","Nonpartisan legislature","Klarner",14
1996,"NV","Nevada","Divided","Klarner",47
1996,"NH","New Hampshire","Republican trifecta","Klarner",6
1996,"NJ","New Jersey","Republican trifecta","Klarner",44
1996,"NM","New Mexico","Divided","Klarner",45
1996,"NY","New York","Divided","Klarner",33
1996,"NC","North Carolina","Divided","Klarner",31
1996,"ND","North Dakota","Republican trifecta","Klarner",1
1996,"OH","Ohio","Republican trifecta","Klarner",22
1996,"OK","Oklahoma","Divided","Klarner",35
1996,"OR","Oregon","Divided","Klarner",12
1996,"PA","Pennsylvania","Republican trifecta","Klarner",19
1996,"RI","Rhode Island","Divided","Klarner",40
1996,"SC","South Carolina","Divided","Klarner",41
1996,"SD","South Dakota","Republican trifecta","Klarner",17
1996,"TN","Tennessee","Divided","Klarner",50
1996,"TX","Texas","Divided","Klarner",49
1996,"UT","Utah","Republican trifecta","Klarner",5
1996,"VT","Vermont","Divided","Klarner",9
1996,"VA","Virginia","Divided","Klarner",28
1996,"WA","Washington","Divided","Klarner",32
1996,"WV","West Virginia","Democratic trifecta","Klarner",39
1996,"WI","Wisconsin","Republican trifecta","Klarner",4
1996,"WY","Wyoming","Republican trifecta","Klarner",7
2000,"AL","Alabama","Democratic trifecta","Klarner",29
2000,"AK","Alaska","Divided","Klarner",40
2000,"AZ","Arizona","Republican trifecta","Klarner",15
2000,"AR","Arkansas","Divided","Klarner",48
2000,"CA","California","Democratic trifecta","Klarner",30
2000,"CO","Colorado","Republican trifecta","Klarner",22
2000,"CT","Connecticut","Divided","Klarner",35
2000,"DE","Delaware","Divided","Klarner",37
2000,"FL","Florida","Republican trifecta","Klarner",50
2000,"GA","Georgia","Democratic trifecta","Klarner",46
2000,"HI","Hawaii","Democratic trifecta","Klarner",49
2000,"ID","Idaho","Republican trifecta","Klarner",3
2000,"IL","Illinois","Divided","Klarner",13
2000,"IN","Indiana","Divided","Klarner",33
2000,"IA","Iowa","Divided","Klarner",12
2000,"KS","Kansas","Republican trifecta","Klarner",9
2000,"KY","Kentucky","Divided","Klarner",43
2000,"LA","Louisiana","Divided","Klarner",44
2000,"ME","Maine","Divided","Klarner",2
2000,"MD","Maryland","Democratic trifecta","Klarner",19
2000,"MA","Massachusetts","Divided","Klarner",11
2000,"MI","Michigan","Republican trifecta","Klarner",45
2000,"MN","Minnesota","Divided","Klarner",6
2000,"MS","Mississippi","Democratic trifecta","Klarner",36
2000,"MO","Missouri","Democratic trifecta","Klarner",38
2000,"MT","Montana","Republican trifecta","Klarner",32
2000,"NE","Nebraska","Nonpartisan legislature","Klarner",17
2000,"NV","Nevada","Divided","Klarner",24
2000,"NH","New Hampshire","Divided","Klarner",14
2000,"NJ","New Jersey","Republican trifecta","Klarner",23
2000,"NM","New Mexico","Divided","Klarner",21
2000,"NY","New York","Divided","Klarner",16
2000,"NC","North Carolina","Democratic trifecta","Klarner",27
2000,"ND","North Dakota","Republican trifecta","Klarner",8
2000,"OH","Ohio","Republican trifecta","Klarner",18
2000,"OK","Oklahoma","Divided","Klarner",25
2000,"OR","Oregon","Divided","Klarner",1
2000,"PA","Pennsylvania","Republican trifecta","Klarner",26
2000,"RI","Rhode Island","Divided","Klarner",28
2000,"SC","South Carolina","Divided","Klarner",42
2000,"SD","South Dakota","Republican trifecta","Klarner",20
2000,"TN","Tennessee","Divided","Klarner",47
2000,"TX","Texas","Divided","Klarner",39
2000,"UT","Utah","Republican trifecta","Klarner",10
2000,"VT","Vermont","Democratic trifecta","Klarner",7
2000,"VA","Virginia","Republican trifecta","Klarner",41
2000,"WA","Washington","Divided","Klarner",34
2000,"WV","West Virginia","Divided","Klarner",31
2000,"WI","Wisconsin","Divided","Klarner",5
2000,"WY","Wyoming","Republican trifecta","Klarner",4
2004,"AL","Alabama","Divided","Klarner",38
2004,"AK","Alaska","Republican trifecta","Klarner",33
2004,"AZ","Arizona","Divided","Klarner",12
2004,"AR","Arkansas","Divided","Klarner",40
2004,"CA","California","Divided","Klarner",21
2004,"CO","Colorado","Republican trifecta","Klarner",24
2004,"CT","Connecticut","Divided","Klarner",20
2004,"DE","Delaware","Divided","Klarner",34
2004,"FL","Florida","Republican trifecta","Klarner",45
2004,"GA","Georgia","Divided","Klarner",35
2004,"HI","Hawaii","Divided","Klarner",43
2004,"ID","Idaho","Republican trifecta","Klarner",4
2004,"IL","Illinois","Democratic trifecta","Klarner",10
2004,"IN","Indiana","Divided","Klarner",29
2004,"IA","Iowa","Divided","Klarner",13
2004,"KS","Kansas","Divided","Klarner",22
2004,"KY","Kentucky","Divided","Klarner",37
2004,"LA","Louisiana","Democratic trifecta","Klarner",48
2004,"ME","Maine","Democratic trifecta","Klarner",3
2004,"MD","Maryland","Divided","Klarner",23
2004,"MA","Massachusetts","Divided","Klarner",19
2004,"MI","Michigan","Divided","Klarner",36
2004,"MN","Minnesota","Divided","Klarner",8
2004,"MS","Mississippi","Divided","Klarner",41
2004,"MO","Missouri","Divided","Klarner",46
2004,"MT","Montana","Republican trifecta","Klarner",44
2004,"NE","Nebraska","Nonpartisan legislature","Klarner",25
2004,"NV","Nevada","Divided","Klarner",17
2004,"NH","New Hampshire","Republican trifecta","Klarner",9
2004,"NJ","New Jersey","Democratic trifecta","Klarner",14
2004,"NM","New Mexico","Democratic trifecta","Klarner",30
2004,"NY","New York","Divided","Klarner",27
2004,"NC","North Carolina","Divided","Klarner",11
2004,"ND","North Dakota","Republican trifecta","Klarner",1
2004,"OH","Ohio","Republican trifecta","Klarner",26
2004,"OK","Oklahoma","Democratic trifecta","Klarner",31
2004,"OR","Oregon","Divided","Klarner",2
2004,"PA","Pennsylvania","Divided","Klarner",16
2004,"RI","Rhode Island","Divided","Klarner",32
2004,"SC","South Carolina","Republican trifecta","Klarner",49
2004,"SD","South Dakota","Republican trifecta","Klarner",39
2004,"TN","Tennessee","Democratic trifecta","Klarner",50
2004,"TX","Texas","Republican trifecta","Klarner",42
2004,"UT","Utah","Republican trifecta","Klarner",19
2004,"VT","Vermont","Divided","Klarner",6
2004,"VA","Virginia","Divided","Klarner",47
2004,"WA","Washington","Divided","Klarner",28
2004,"WV","West Virginia","Democratic trifecta","Klarner",15
2004,"WI","Wisconsin","Divided","Klarner",5
2004,"WY","Wyoming","Divided","Klarner",7
2008,"AL","Alabama","Divided","Klarner",28
2008,"AK","Alaska","Republican trifecta","Klarner",30
2008,"AZ","Arizona","Divided","Klarner",38
2008,"AR","Arkansas","Democratic trifecta","Klarner",47
2008,"CA","California","Divided","Klarner",18
2008,"CO","Colorado","Democratic trifecta","Klarner",25
2008,"CT","Connecticut","Divided","Klarner",19
2008,"DE","Delaware","Divided","Klarner",40
2008,"FL","Florida","Republican trifecta","Klarner",17
2008,"GA","Georgia","Republican trifecta","Klarner",37
2008,"HI","Hawaii","Divided","Klarner",13
2008,"ID","Idaho","Republican trifecta","Klarner",3
2008,"IL","Illinois","Democratic trifecta","Klarner",14
2008,"IN","Indiana","Divided","Klarner",45
2008,"IA","Iowa","Democratic trifecta","Klarner",6
2008,"KS","Kansas","Divided","Klarner",22
2008,"KY","Kentucky","Divided","Klarner",44
2008,"LA","Louisiana","Divided","Klarner",48
2008,"ME","Maine","Democratic trifecta","Klarner",2
2008,"MD","Maryland","Democratic trifecta","Klarner",27
2008,"MA","Massachusetts","Democratic trifecta","Klarner",20
2008,"MI","Michigan","Divided","Klarner",29
2008,"MN","Minnesota","Divided","Klarner",7
2008,"MS","Mississippi","Divided","Klarner",46
2008,"MO","Missouri","Republican trifecta","Klarner",26
2008,"MT","Montana","Divided","Klarner",12
2008,"NE","Nebraska","Nonpartisan legislature","Klarner",16
2008,"NV","Nevada","Divided","Klarner",23
2008,"NH","New Hampshire","Democratic trifecta","Klarner",10
2008,"NJ","New Jersey","Democratic trifecta","Klarner",31
2008,"NM","New Mexico","Democratic trifecta","Klarner",36
2008,"NY","New York","Divided","Klarner",39
2008,"NC","North Carolina","Democratic trifecta","Klarner",6
2008,"ND","North Dakota","Republican trifecta","Klarner",1
2008,"OH","Ohio","Divided","Klarner",42
2008,"OK","Oklahoma","Divided","Klarner",35
2008,"OR","Oregon","Democratic trifecta","Klarner",9
2008,"PA","Pennsylvania","Divided","Klarner",21
2008,"RI","Rhode Island","Divided","Klarner",34
2008,"SC","South Carolina","Republican trifecta","Klarner",50
2008,"SD","South Dakota","Republican trifecta","Klarner",32
2008,"TN","Tennessee","Divided","Klarner",43
2008,"TX","Texas","Republican trifecta","Klarner",41
2008,"UT","Utah","Republican trifecta","Klarner",15
2008,"VT","Vermont","Divided","Klarner",4
2008,"VA","Virginia","Divided","Klarner",49
2008,"WA","Washington","Democratic trifecta","Klarner",33
2008,"WV","West Virginia","Democratic trifecta","Klarner",24
2008,"WI","Wisconsin","Divided","Klarner",8
2008,"WY","Wyoming","Divided","Klarner",11
2012,"AL","Alabama","Republican trifecta","coded here",29
2012,"AK","Alaska","Divided","coded here",27
2012,"AZ","Arizona","Republican trifecta","coded here",38
2012,"AR","Arkansas","Democratic trifecta","coded here",47
2012,"CA","California","Democratic trifecta","coded here",9
2012,"CO","Colorado","Divided","coded here",33
2012,"CT","Connecticut","Democratic trifecta","coded here",8
2012,"DE","Delaware","Democratic trifecta","coded here",28
2012,"FL","Florida","Republican trifecta","coded here",40
2012,"GA","Georgia","Republican trifecta","coded here",49
2012,"HI","Hawaii","Democratic trifecta","coded here",30
2012,"ID","Idaho","Republican trifecta","coded here",13
2012,"IL","Illinois","Democratic trifecta","coded here",20
2012,"IN","Indiana","Republican trifecta","coded here",48
2012,"IA","Iowa","Divided","coded here",4
2012,"KS","Kansas","Republican trifecta","coded here",45
2012,"KY","Kentucky","Divided","coded here",42
2012,"LA","Louisiana","Republican trifecta","coded here",31
2012,"ME","Maine","Republican trifecta","coded here",3
2012,"MD","Maryland","Democratic trifecta","coded here",10
2012,"MA","Massachusetts","Democratic trifecta","coded here",18
2012,"MI","Michigan","Republican trifecta","coded here",37
2012,"MN","Minnesota","Divided","coded here",11
2012,"MS","Mississippi","Republican trifecta","coded here",43
2012,"MO","Missouri","Divided","coded here",34
2012,"MT","Montana","Divided","coded here",19
2012,"NE","Nebraska","Nonpartisan legislature","coded here",17
2012,"NV","Nevada","Divided","coded here",24
2012,"NH","New Hampshire","Divided","coded here",25
2012,"NJ","New Jersey","Divided","coded here",15
2012,"NM","New Mexico","Divided","coded here",39
2012,"NY","New York","Divided","coded here",12
2012,"NC","North Carolina","Divided","coded here",6
2012,"ND","North Dakota","Republican trifecta","coded here",5
2012,"OH","Ohio","Republican trifecta","coded here",41
2012,"OK","Oklahoma","Republican trifecta","coded here",32
2012,"OR","Oregon","Divided","coded here",1
2012,"PA","Pennsylvania","Republican trifecta","coded here",26
2012,"RI","Rhode Island","Divided","coded here",22
2012,"SC","South Carolina","Republican trifecta","coded here",44
2012,"SD","South Dakota","Republican trifecta","coded here",35
2012,"TN","Tennessee","Republican trifecta","coded here",50
2012,"TX","Texas","Republican trifecta","coded here",46
2012,"UT","Utah","Republican trifecta","coded here",14
2012,"VT","Vermont","Democratic trifecta","coded here",23
2012,"VA","Virginia","Republican trifecta","coded here",36
2012,"WA","Washington","Democratic trifecta","coded here",2
2012,"WV","West Virginia","Democratic trifecta","coded here",21
2012,"WI","Wisconsin","Republican trifecta","coded here",7
2012,"WY","Wyoming","Republican trifecta","coded here",16
2016,"AL","Alabama","Republican trifecta","coded here",43
2016,"AK","Alaska","Divided","coded here",19
2016,"AZ","Arizona","Republican trifecta","coded here",29
2016,"AR","Arkansas","Republican trifecta","coded here",37
2016,"CA","California","Democratic trifecta","coded here",2
