"year","abbr","state","control","source","rank"
2016,"CO","Colorado","Divided","coded here",10
2016,"CT","Connecticut","Democratic trifecta","coded here",18
2016,"DE","Delaware","Democratic trifecta","coded here",26
2016,"FL","Florida","Republican trifecta","coded here",35
2016,"GA","Georgia","Republican trifecta","coded here",27
2016,"HI","Hawaii","Democratic trifecta","coded here",9
2016,"ID","Idaho","Republican trifecta","coded here",23
2016,"IL","Illinois","Divided","coded here",13
2016,"IN","Indiana","Republican trifecta","coded here",44
2016,"IA","Iowa","Divided","coded here",8
2016,"KS","Kansas","Republican trifecta","coded here",33
2016,"KY","Kentucky","Divided","coded here",45
2016,"LA","Louisiana","Divided","coded here",21
2016,"ME","Maine","Divided","coded here",6
2016,"MD","Maryland","Divided","coded here",7
2016,"MA","Massachusetts","Divided","coded here",11
2016,"MI","Michigan","Republican trifecta","coded here",40
2016,"MN","Minnesota","Divided","coded here",16
2016,"MS","Mississippi","Republican trifecta","coded here",49
2016,"MO","Missouri","Divided","coded here",30
2016,"MT","Montana","Divided","coded here",20
2016,"NE","Nebraska","Nonpartisan legislature","coded here",14
2016,"NV","Nevada","Republican trifecta","coded here",31
2016,"NH","New Hampshire","Divided","coded here",50
2016,"NJ","New Jersey","Divided","coded here",12
2016,"NM","New Mexico","Divided","coded here",38
2016,"NY","New York","Divided","coded here",25
2016,"NC","North Carolina","Republican trifecta","coded here",24
2016,"ND","North Dakota","Republican trifecta","coded here",5
2016,"OH","Ohio","Republican trifecta","coded here",42
2016,"OK","Oklahoma","Republican trifecta","coded here",32
2016,"OR","Oregon","Democratic trifecta","coded here",1
2016,"PA","Pennsylvania","Divided","coded here",34
2016,"RI","Rhode Island","Democratic trifecta","coded here",22
2016,"SC","South Carolina","Republican trifecta","coded here",46
2016,"SD","South Dakota","Republican trifecta","coded here",36
2016,"TN","Tennessee","Republican trifecta","coded here",41
2016,"TX","Texas","Republican trifecta","coded here",48
2016,"UT","Utah","Republican trifecta","coded here",3
2016,"VT","Vermont","Democratic trifecta","coded here",17
2016,"VA","Virginia","Divided","coded here",47
2016,"WA","Washington","Divided","coded here",4
2016,"WV","West Virginia","Divided","coded here",15
2016,"WI","Wisconsin","Republican trifecta","coded here",28
2016,"WY","Wyoming","Republican trifecta","coded here",39
2020,"AL","Alabama","Republican trifecta","coded here",39
2020,"AK","Alaska","Divided","coded here",9
2020,"AZ","Arizona","Republican trifecta","coded here",33
2020,"AR","Arkansas","Republican trifecta","coded here",40
2020,"CA","California","Democratic trifecta","coded here",6
2020,"CO","Colorado","Democratic trifecta","coded here",12
2020,"CT","Connecticut","Democratic trifecta","coded here",22
2020,"DE","Delaware","Democratic trifecta","coded here",24
2020,"FL","Florida","Republican trifecta","coded here",28
2020,"GA","Georgia","Republican trifecta","coded here",25
2020,"HI","Hawaii","Democratic trifecta","coded here",11
2020,"ID","Idaho","Republican trifecta","coded here",35
2020,"IL","Illinois","Democratic trifecta","coded here",3
2020,"IN","Indiana","Republican trifecta","coded here",48
2020,"IA","Iowa","Republican trifecta","coded here",19
2020,"KS","Kansas","Divided","coded here",44
2020,"KY","Kentucky","Divided","coded here",34
2020,"LA","Louisiana","Divided","coded here",26
2020,"ME","Maine","Democratic trifecta","coded here",20
2020,"MD","Maryland","Divided","coded here",7
2020,"MA","Massachusetts","Divided","coded here",5
2020,"MI","Michigan","Divided","coded here",21
2020,"MN","Minnesota","Divided","coded here",29
2020,"MS","Mississippi","Republican trifecta","coded here",49
2020,"MO","Missouri","Republican trifecta","coded here",32
2020,"MT","Montana","Divided","coded here",37
2020,"NE","Nebraska","Nonpartisan legislature","coded here",27
2020,"NV","Nevada","Democratic trifecta","coded here",15
2020,"NH","New Hampshire","Divided","coded here",50
2020,"NJ","New Jersey","Democratic trifecta","coded here",8
2020,"NM","New Mexico","Democratic trifecta","coded here",30
2020,"NY","New York","Democratic trifecta","coded here",10
2020,"NC","North Carolina","Divided","coded here",16
2020,"ND","North Dakota","Republican trifecta","coded here",13
2020,"OH","Ohio","Republican trifecta","coded here",43
2020,"OK","Oklahoma","Republican trifecta","coded here",36
2020,"OR","Oregon","Democratic trifecta","coded here",1
2020,"PA","Pennsylvania","Divided","coded here",31
2020,"RI","Rhode Island","Democratic trifecta","coded here",14
2020,"SC","South Carolina","Republican trifecta","coded here",46
2020,"SD","South Dakota","Republican trifecta","coded here",41
2020,"TN","Tennessee","Republican trifecta","coded here",47
2020,"TX","Texas","Republican trifecta","coded here",45
2020,"UT","Utah","Republican trifecta","coded here",4
2020,"VT","Vermont","Divided","coded here",23
2020,"VA","Virginia","Democratic trifecta","coded here",18
2020,"WA","Washington","Democratic trifecta","coded here",2
2020,"WV","West Virginia","Republican trifecta","coded here",17
2020,"WI","Wisconsin","Divided","coded here",38
2020,"WY","Wyoming","Republican trifecta","coded here",42
2022,"AL","Alabama","Republican trifecta","coded here",44
2022,"AK","Alaska","Divided","coded here",22
2022,"AZ","Arizona","Republican trifecta","coded here",29
2022,"AR","Arkansas","Republican trifecta","coded here",49
2022,"CA","California","Democratic trifecta","coded here",4
2022,"CO","Colorado","Democratic trifecta","coded here",5
2022,"CT","Connecticut","Democratic trifecta","coded here",28
2022,"DE","Delaware","Democratic trifecta","coded here",20
2022,"FL","Florida","Republican trifecta","coded here",34
2022,"GA","Georgia","Republican trifecta","coded here",31
2022,"HI","Hawaii","Democratic trifecta","coded here",6
2022,"ID","Idaho","Republican trifecta","coded here",27
2022,"IL","Illinois","Democratic trifecta","coded here",9
2022,"IN","Indiana","Republican trifecta","coded here",35
2022,"IA","Iowa","Republican trifecta","coded here",17
2022,"KS","Kansas","Divided","coded here",39
2022,"KY","Kentucky","Divided","coded here",40
2022,"LA","Louisiana","Divided","coded here",33
2022,"ME","Maine","Democratic trifecta","coded here",14
2022,"MD","Maryland","Divided","coded here",12
2022,"MA","Massachusetts","Divided","coded here",13
2022,"MI","Michigan","Divided","coded here",25
2022,"MN","Minnesota","Divided","coded here",24
2022,"MS","Mississippi","Republican trifecta","coded here",50
2022,"MO","Missouri","Republican trifecta","coded here",37
2022,"MT","Montana","Republican trifecta","coded here",32
2022,"NE","Nebraska","Nonpartisan legislature","coded here",26
2022,"NV","Nevada","Democratic trifecta","coded here",8
2022,"NH","New Hampshire","Republican trifecta","coded here",47
2022,"NJ","New Jersey","Democratic trifecta","coded here",15
2022,"NM","New Mexico","Democratic trifecta","coded here",18
2022,"NY","New York","Democratic trifecta","coded here",16
2022,"NC","North Carolina","Divided","coded here",21
2022,"ND","North Dakota","Republican trifecta","coded here",10
2022,"OH","Ohio","Republican trifecta","coded here",41
2022,"OK","Oklahoma","Republican trifecta","coded here",36
2022,"OR","Oregon","Democratic trifecta","coded here",2
2022,"PA","Pennsylvania","Divided","coded here",30
2022,"RI","Rhode Island","Democratic trifecta","coded here",19
2022,"SC","South Carolina","Republican trifecta","coded here",46
2022,"SD","South Dakota","Republican trifecta","coded here",38
2022,"TN","Tennessee","Republican trifecta","coded here",43
2022,"TX","Texas","Republican trifecta","coded here",48
2022,"UT","Utah","Republican trifecta","coded here",7
2022,"VT","Vermont","Divided","coded here",3
2022,"VA","Virginia","Divided","coded here",11
2022,"WA","Washington","Democratic trifecta","coded here",1
2022,"WV","West Virginia","Republican trifecta","coded here",23
2022,"WI","Wisconsin","Divided","coded here",45
2022,"WY","Wyoming","Republican trifecta","coded here",42
2024,"AL","Alabama","Republican trifecta","coded here",44
2024,"AK","Alaska","Divided","coded here",21
2024,"AZ","Arizona","Divided","coded here",29
2024,"AR","Arkansas","Republican trifecta","coded here",49
2024,"CA","California","Democratic trifecta","coded here",7
2024,"CO","Colorado","Democratic trifecta","coded here",8
2024,"CT","Connecticut","Democratic trifecta","coded here",22
2024,"DE","Delaware","Democratic trifecta","coded here",25
2024,"FL","Florida","Republican trifecta","coded here",32
2024,"GA","Georgia","Republican trifecta","coded here",35
2024,"HI","Hawaii","Democratic trifecta","coded here",3
2024,"ID","Idaho","Republican trifecta","coded here",27
2024,"IL","Illinois","Democratic trifecta","coded here",9
2024,"IN","Indiana","Republican trifecta","coded here",34
2024,"IA","Iowa","Republican trifecta","coded here",24
2024,"KS","Kansas","Divided","coded here",38
2024,"KY","Kentucky","Divided","coded here",37
2024,"LA","Louisiana","Republican trifecta","coded here",33
2024,"ME","Maine","Democratic trifecta","coded here",14
2024,"MD","Maryland","Democratic trifecta","coded here",17
2024,"MA","Massachusetts","Democratic trifecta","coded here",11
2024,"MI","Michigan","Democratic trifecta","coded here",13
2024,"MN","Minnesota","Democratic trifecta","coded here",10
2024,"MS","Mississippi","Republican trifecta","coded here",50
2024,"MO","Missouri","Republican trifecta","coded here",41
2024,"MT","Montana","Republican trifecta","coded here",31
2024,"NE","Nebraska","Nonpartisan legislature","coded here",28
2024,"NV","Nevada","Divided","coded here",4
2024,"NH","New Hampshire","Republican trifecta","coded here",47
2024,"NJ","New Jersey","Democratic trifecta","coded here",18
2024,"NM","New Mexico","Democratic trifecta","coded here",19
2024,"NY","New York","Democratic trifecta","coded here",12
2024,"NC","North Carolina","Divided","coded here",30
2024,"ND","North Dakota","Republican trifecta","coded here",16
2024,"OH","Ohio","Republican trifecta","coded here",45
2024,"OK","Oklahoma","Republican trifecta","coded here",36
2024,"OR","Oregon","Democratic trifecta","coded here",2
2024,"PA","Pennsylvania","Divided","coded here",26
2024,"RI","Rhode Island","Democratic trifecta","coded here",20
2024,"SC","South Carolina","Republican trifecta","coded here",43
2024,"SD","South Dakota","Republican trifecta","coded here",39
2024,"TN","Tennessee","Republican trifecta","coded here",42
2024,"TX","Texas","Republican trifecta","coded here",48
2024,"UT","Utah","Republican trifecta","coded here",6
2024,"VT","Vermont","Divided","coded here",5
2024,"VA","Virginia","Divided","coded here",15
2024,"WA","Washington","Democratic trifecta","coded here",1
2024,"WV","West Virginia","Republican trifecta","coded here",23
2024,"WI","Wisconsin","Divided","coded here",46
2024,"WY","Wyoming","Republican trifecta","coded here",40
