"year","abbr","state","initial","initial_rank","final","final_rank","rank_move"
1996,"AL","Alabama",-0.17095,22,-0.399114,11,11
1996,"AK","Alaska",-0.221499,20,0.663697,42,22
1996,"AZ","Arizona",0.0613276,24,0.821447,48,24
1996,"AR","Arkansas",0.42359,31,0.346197,27,4.5
1996,"CA","California",0.4729,32,0.530294,38,4.5
1996,"CO","Colorado",-0.256295,18,0.749269,46,28
1996,"CT","Connecticut",0.870376,43,0.0838816,21,22
1996,"DE","Delaware",0.685441,40,0.35922,29,11
1996,"FL","Florida",-0.454605,12,-0.0565306,15,3
1996,"GA","Georgia",-0.46093,11,0.0069116,20,9
1996,"HI","Hawaii",-1.27281,6,0.311891,24,18
1996,"ID","Idaho",-1.60224,3,-1.1802,8,5
1996,"IL","Illinois",0.4729,33,0.2539,23,10.5
1996,"IN","Indiana",0.566851,38,0.458116,36,2
1996,"IA","Iowa",0.370344,29,-0.0370037,16,13
1996,"KS","Kansas",-0.270392,17,0.316597,25,8
1996,"KY","Kentucky",0.133164,25,0.483506,37,12
1996,"LA","Louisiana",1.00883,48,0.434189,34,14
1996,"ME","Maine",-1.19067,7,-2.16972,2,5
1996,"MD","Maryland",0.4729,34,0.67587,44,10
1996,"MA","Massachusetts",0.273869,26,-0.762132,10,16.5
1996,"MI","Michigan",0.906588,44,-0.0035955,19,27
1996,"MN","Minnesota",-1.09672,8,-1.54353,3,5
1996,"MS","Mississippi",0.588966,39,0.346197,27,12.5
1996,"MO","Missouri",0.862359,41,-0.1338,13,28.5
1996,"MT","Montana",-0.730758,9,0.383506,30,21
1996,"NE","Nebraska",-0.220671,21,-0.114046,14,7
1996,"NV","Nevada",-0.23418,19,0.782925,47,28
1996,"NH","New Hampshire",-1.57315,4,-1.22983,6,2
1996,"NJ","New Jersey",0.4729,35,0.67587,44,10
1996,"NM","New Mexico",-0.278409,16,0.715612,45,29
1996,"NY","New York",1.43126,50,0.430842,33,17
1996,"NC","North Carolina",0.384442,30,0.395668,31,1
1996,"ND","North Dakota",-1.90512,1,-2.59194,1,0
1996,"OH","Ohio",0.495015,36,0.141981,22,14
1996,"OK","Oklahoma",-0.366868,13,0.435409,35,22
1996,"OR","Oregon",0.273869,27,-0.194586,12,14.5
1996,"PA","Pennsylvania",0.906588,45,-0.0035955,19,27
1996,"RI","Rhode Island",1.0654,49,0.60004,40,9
1996,"SC","South Carolina",0.506278,37,0.623608,41,4
1996,"SD","South Dakota",-0.154327,23,-0.0130766,17,6
1996,"TN","Tennessee",-0.558367,10,1.01051,50,40
1996,"TX","Texas",-0.316868,14,0.91476,49,35
1996,"UT","Utah",0.353722,28,-1.26698,5,23
1996,"VT","Vermont",-0.289053,15,-1.00746,9,6
1996,"VA","Virginia",0.862359,42,0.351062,28,13.5
1996,"WA","Washington",0.906588,46,0.418375,32,13.5
1996,"WV","West Virginia",0.906588,47,0.563951,39,6.5
1996,"WI","Wisconsin",-1.34948,5,-1.36187,4,1
1996,"WY","Wyoming",-1.76105,2,-1.21629,7,5
2000,"AL","Alabama",0.10183,23,0.0004922,29,6
2000,"AK","Alaska",-0.269185,14,0.571584,40,26
2000,"AZ","Arizona",0.064733,22,-0.256211,15,7
2000,"AR","Arkansas",0.657395,38,1.37669,48,10
2000,"CA","California",0.426662,32,0.0232821,30,3
2000,"CO","Colorado",-0.020449,19,-0.117729,22,3
2000,"CT","Connecticut",0.466091,36,0.203598,35,1
2000,"DE","Delaware",0.543982,37,0.341123,37,0
2000,"FL","Florida",-0.380713,12,1.77109,50,38
2000,"GA","Georgia",-0.479189,11,1.12888,46,35
2000,"HI","Hawaii",-0.962895,8,1.65278,49,41
2000,"ID","Idaho",-1.73295,3,-1.24689,3,0
2000,"IL","Illinois",0.426662,33,-0.380891,13,20
2000,"IN","Indiana",0.703408,40,0.161764,33,7
2000,"IA","Iowa",-0.0045522,20,-0.5547,12,8
2000,"KS","Kansas",-0.342948,13,-0.603185,9,4
2000,"KY","Kentucky",0.314301,28,0.734531,43,15
2000,"LA","Louisiana",0.809998,44,0.913719,44,0
2000,"ME","Maine",-1.41361,4,-1.56676,2,2.5
2000,"MD","Maryland",0.317947,29,-0.208991,19,10.5
2000,"MA","Massachusetts",0.182053,24,-0.574008,11,13
2000,"MI","Michigan",0.815769,45,0.973785,45,1.5
2000,"MN","Minnesota",-1.09428,7,-0.828917,6,1
2000,"MS","Mississippi",0.730587,41,0.324642,36,5
2000,"MO","Missouri",0.761411,42,0.557855,38,4.5
2000,"MT","Montana",-0.604498,10,0.113125,32,22
2000,"NE","Nebraska",-0.120559,16,-0.231473,17,1
2000,"NV","Nevada",0.0067297,21,-0.0945976,24,3
2000,"NH","New Hampshire",-1.22205,6,-0.356768,14,8
2000,"NJ","New Jersey",0.426662,34,-0.116464,23,10
