"abbr","state","initial","initial_rank","final","final_rank","rebuilt","control","vep_turnout","vep","reg_deadline","reg_restrictions","reg_drives","preregistration","automatic_reg","inconveniences","voter_id","poll_hours","early_voting","absentee"
"AL","Alabama",1.45516,47,1.42632,44,1.42639,"Republican trifecta",58.7,3867406,15,5,0,5,3,9,2,8,42,9
"AK","Alaska",-0.168335,19,-0.164555,21,-0.164532,"Divided",63.55,536581,30,6,1,3,0,5,1,7,27,3
"AZ","Arizona",0.308158,25,0.561168,29,0.561137,"Divided",63.88,5366526,29,7.5,0,5,3,5,3,7,18,1
"AR","Arkansas",1.34891,44,1.5679,49,1.56794,"Republican trifecta",54.06,2201764,30,7,0,6,3,5,4,8,28,8
"CA","California",-2.33571,4,-2.08445,7,-2.08464,"Democratic trifecta",62.26,25922868,0,3,2,0,2,1,0,0,0,0
"CO","Colorado",-2.14484,8,-2.05294,8,-2.05305,"Democratic trifecta",73.4,4415631,0,1,4,0,0,2,1,1,0,0
"CT","Connecticut",-0.0462431,20,-0.0462743,22,-0.0463323,"Democratic trifecta",67,2670153,0,3,0,6,2,7,1,6,29,4
"DE","Delaware",0.361521,28,0.382832,25,0.383011,"Democratic trifecta",66.78,776224,24,7,4,0,0,6,1,7,42,4
"FL","Florida",0.728562,33,0.802503,32,0.802604,"Republican trifecta",67.4,16327632,29,6,2,0,3,7,2,8,31,4
"GA","Georgia",0.953935,36,0.875783,35,0.875843,"Republican trifecta",67.97,7793977,29,6,1,2,2,9,4,7.5,23,3.5
"HI","Hawaii",-2.42049,3,-2.22486,3,-2.22509,"Democratic trifecta",50.26,1038968,0,1,1,0,2,0,1,1,0,0
"ID","Idaho",0.322707,27,0.428473,27,0.428452,"Republican trifecta",64.18,1429619,0,3,0,6,3,7,2,7.5,42,2
"IL","Illinois",-1.5582,9,-1.68346,9,-1.68361,"Democratic trifecta",63.51,8982526,0,1,0,0,1,4,0,7,2,2
"IN","Indiana",0.672978,31,0.862012,34,0.861991,"Republican trifecta",59.05,5041013,29,5,0,5,3,6,4,8,14.5,4
"IA","Iowa",0.166135,24,0.160612,24,0.160626,"Republican trifecta",70.95,2359332,0,3,1,2,3,5,1,7,42,5
"KS","Kansas",1.06565,38,1.10969,38,1.10975,"Divided",63.32,2122704,21,5,2,6,3,4,4,8,35,2
"KY","Kentucky",1.05607,37,1.08475,37,1.08484,"Divided",62.9,3327188,29,7,2,6,3,4.5,1,8,39,3
"LA","Louisiana",0.878942,34,0.809784,33,0.809879,"Republican trifecta",61.15,3305398,30,5,2,0,3,7,2,6.5,35,6
"ME","Maine",-0.482182,17,-0.797199,14,-0.797215,"Democratic trifecta",74.55,1130059,0,2,0,0,1,8,0,8,42,1
"MD","Maryland",-0.491494,16,-0.697404,17,-0.697338,"Democratic trifecta",69.43,4411216,0,3,4,0,1,4,0,7,35,0
"MA","Massachusetts",-0.791484,12,-1.01575,11,-1.01578,"Democratic trifecta",68.44,5132767,10,5,0,0,0,5,0,6.375,34,2
"MI","Michigan",-0.806048,11,-0.889477,13,-0.889496,"Democratic trifecta",74.85,7624237,0,2,1,0,0,6,2,7,34,1
"MN","Minnesota",-0.67567,13,-1.14786,10,-1.14788,"Democratic trifecta",76.5,4277436,0,1,1,0,0,5,0,7,42,2
"MS","Mississippi",1.94005,50,2.01049,50,2.0106,"Republican trifecta",57.75,2164463,30,7,0,5,3,10,4,8,42,8
"MO","Missouri",1.28811,42,1.30899,41,1.3091,"Republican trifecta",64.62,4642204,27,6,2,2,3,6,4,7,42,5
"MT","Montana",0.709028,32,0.717965,31,0.717981,"Republican trifecta",68.35,896053,1,6,0,5,3,8,2,7,42,3
"NE","Nebraska",0.313901,26,0.496135,28,0.496134,"Nonpartisan legislature",68.61,1406843,11,5,2,6,3,5,2,8,12,2
"NV","Nevada",-2.32014,6,-2.18687,4,-2.18706,"Divided",66.15,2249102,0,2,2,1,1,1,0,1,0,0
"NH","New Hampshire",1.5746,49,1.48327,47,1.48347,"Republican trifecta",73.74,1127497,0,3,5,5,3,8,1,9.5,42,6
"NJ","New Jersey",-0.455524,18,-0.607256,18,-0.607281,"Democratic trifecta",67.51,6401643,21,5,0,1,1,6,0,6,34,2
"NM","New Mexico",0.0092204,21,-0.338559,19,-0.338532,"Democratic trifecta",59.71,1554606,0,3,3,5,1,4,0,8,28,1
"NY","New York",-0.871176,10,-0.96585,12,-0.965901,"Democratic trifecta",60.5,13853326,10,5,0,0,1,6,0,5,34,1
"NC","North Carolina",0.663595,30,0.622359,30,0.622394,"Divided",70.65,8102246,2,6,1,0,3,8,4,7,26,4
"ND","North Dakota",-0.495759,15,-0.700922,16,-0.700964,"Republican trifecta",63.89,582216,0,1,0,0,0,6,3,8,28,4
"OH","Ohio",1.3512,45,1.43571,45,1.43579,"Republican trifecta",65.4,8947502,30,5,1,5,3,7,4,8,42,4
"OK","Oklahoma",0.928017,35,0.919162,36,0.919228,"Republican trifecta",53.46,2945902,25,7,0,2,3,6,1,8,42,7
"OR","Oregon",-2.45738,1,-2.31425,2,-2.31446,"Democratic trifecta",71.87,3211515,21,5,0,0,0,2,0,0,0,0
"PA","Pennsylvania",0.49235,29,0.399019,26,0.399064,"Divided",71.44,9903829,15,4,1,5,2,9,0,7,42,3
"RI","Rhode Island",0.0126768,22,-0.204266,20,-0.204251,"Democratic trifecta",63.32,826559,30,5,0,0,1,6,2,7,42,1
"SC","South Carolina",1.33103,43,1.41008,43,1.41014,"Republican trifecta",62.26,4121955,30,8,0,5,3,9,2,8,30,6
"SD","South Dakota",1.13662,40,1.12374,39,1.12381,"Republican trifecta",64.51,676581,15,7,1,5,3,5,2,8,42,5
"TN","Tennessee",1.10157,39,1.33541,42,1.33547,"Republican trifecta",57.92,5317723,30,7,1,5,3,4,4,8.5,27,5
"TX","Texas",1.5045,48,1.52445,48,1.52459,"Republican trifecta",56.83,20059077,30,7,3,4,3,6,2,8,29,7
