"item","states_scored","sd"
"PR90",1,0.141421
"PR60",1,0.141421
"restrictdistofabsenteeballotscounty",1,0.141421
"NoDriveAllowed",3,0.239898
"PR17",3,0.239898
"ReducePollingLoc>50%someareas",3,0.239898
"nofoodordrink",3,0.239898
"strictID",3,0.239898
"PR175",4,0.274048
"NoAbsenteeInPerson",4,0.274048
"ReqVolCert",6,0.328261
"AdditionalDocuments4Reg",7,0.332124
"ReqTrain",7,0.35051
"NoPR",7,0.35051
"NOonlineregistration",8,0.370328
"somepollreductionspost2012",9,0.388088
"restrictdistofabsenteeballots3rdparty",9,0.388088
"strictPhoto",10,0.404061
"AddReguirements4mailballotreturn",10,0.404061
"nonstrictPhoto",11,0.418452
"mustincludecopyofIDwithform",11,0.418452
"ExcessiveWaitTime",12,0.431419
"nonstrictID",12,0.431419
"noconvenientabsenteeballotdropoff",12,0.419061
"ReqPermission",13,0.443087
"Pr_16_not_enshrined",14,0.453557
"NoVoterID",14,0.453557
"AbsenteeExcuseReq",14,0.453557
"NoEarlyVote",15,0.46291
"timeandquantityballotreturnrestriction",15,0.46291
"MentalCompReg",17,0.478518
"NoTimeOffVote",17,0.478518
"PR16",20,0.494872
"Noonlineabsenteeapplication",21,0.498569
"NoFelonsRegAfterIncar",24,0.504672
"ReqPunish",24,0.504672
"NoAutomaticregDMV",25,0.505076
"NoTimeOffPay",25,0.505076
"lawrestrictswhocanreturnballot",26,0.504672
"onlineregistration>median",27,0.503457
"NoSameDayRegPresOnly",28,0.501427
"NoSameDayReg",29,0.498569
"NoPollPlaceReg",31,0.490314
"novotingcenters",31,0.490314
"MailVotePostagenotpaid",31,0.490314
"NoPermanentAbsentee",32,0.484873
"NoAutoRegmorethanDMV",33,0.478518
"nostateholiday",37,0.442742
"NoPostcardAutoreg",40,0.404061
"noallmailvoting",42,0.370328
"noallmailornopolllocations",43,0.35051
"NoFelonsReg",48,0.197949
