"year","state_abbrev","democrat","republican","other","winner","party_win"
1864,"CA",41.4,58.6,NA,"Abraham Lincoln","republican"
1864,"CT",48.62,51.38,NA,"Abraham Lincoln","republican"
1864,"DE",51.8,48.2,NA,"George B. McClellan","democrat"
1864,"IA",36.92,63.08,NA,"Abraham Lincoln","republican"
1864,"IL",45.6,54.4,NA,"Abraham Lincoln","republican"
1864,"IN",46.5,53.5,NA,"Abraham Lincoln","republican"
1864,"KS",18.3,81.7,NA,"Abraham Lincoln","republican"
1864,"KY",69.8,30.2,NA,"George B. McClellan","democrat"
1864,"MA",27.8,72.2,NA,"Abraham Lincoln","republican"
1864,"MD",44.9,55.1,NA,"Abraham Lincoln","republican"
1864,"ME",40.9,59.1,NA,"Abraham Lincoln","republican"
1864,"MI",44.9,55.1,NA,"Abraham Lincoln","republican"
1864,"MN",41,59,NA,"Abraham Lincoln","republican"
1864,"MO",30.3,69.7,NA,"Abraham Lincoln","republican"
1864,"NH",47.4,52.6,NA,"Abraham Lincoln","republican"
1864,"NJ",52.8,47.2,NA,"George B. McClellan","democrat"
1864,"NV",40.2,59.8,NA,"Abraham Lincoln","republican"
1864,"NY",49.54,50.46,NA,"Abraham Lincoln","republican"
1864,"OH",43.6,56.4,NA,"Abraham Lincoln","republican"
1864,"OR",46.1,53.9,NA,"Abraham Lincoln","republican"
1864,"PA",48.25,51.75,NA,"Abraham Lincoln","republican"
1864,"RI",37.8,62.2,NA,"Abraham Lincoln","republican"
1864,"VT",23.9,76.1,NA,"Abraham Lincoln","republican"
1864,"WI",44.12,55.88,NA,"Abraham Lincoln","republican"
1864,"WV",31.8,68.2,NA,"Abraham Lincoln","republican"
1868,"AL",48.7,51.3,NA,"Ulysses S. Grant","republican"
1868,"AR",46.32,53.68,NA,"Ulysses S. Grant","republican"
1868,"CA",49.8,50.2,NA,"Ulysses S. Grant","republican"
1868,"CT",48.51,51.49,NA,"Ulysses S. Grant","republican"
1868,"DE",59,41,NA,"Horatio Seymour","democrat"
1868,"GA",64.3,35.7,NA,"Horatio Seymour","democrat"
1868,"IA",38.08,61.92,NA,"Ulysses S. Grant","republican"
1868,"IL",44.3,55.7,NA,"Ulysses S. Grant","republican"
1868,"IN",48.6,51.4,NA,"Ulysses S. Grant","republican"
1868,"KS",31.2,68.8,NA,"Ulysses S. Grant","republican"
1868,"KY",74.5,25.5,NA,"Horatio Seymour","democrat"
1868,"LA",70.7,29.3,NA,"Horatio Seymour","democrat"
1868,"MA",30.2,69.8,NA,"Ulysses S. Grant","republican"
1868,"MD",67.2,32.8,NA,"Horatio Seymour","democrat"
1868,"ME",37.6,62.4,NA,"Ulysses S. Grant","republican"
