lab	file	status	bytes	pdf_bytes	sha256	n_numbers	numbers_sha
abortion-opinion	abortion-opinion-brief.html	ok	255488	93251	efee682149142148	178	d9f1af3ff425ce4f
anes	anes-brief.html	ok	246387	94012	26c337ea1353ab59	233	0676111f8fad8816
apportionment	apportionment-brief.html	ok	454315	142704	89519c7cef2fd717	295	3d1c00e8a3a1b5c4
areal-units	areal-units-brief.html	ok	793405	806631	cf4d3502a623fe2b	556	52c749769fd36a0b
bisg-check	bisg-check-brief.html	ok	431178	133240	71b257d9fca1883a	223	630c1cfbd4b39663
campaign-finance	campaign-finance-brief.html	ok	421664	111679	5cff53fdb8ccf41f	227	11bb3193010aeb55
campaign-visits	campaign-visits-brief.html	ok	492837	145978	dd3cdeab9e9b54e7	378	358e9316d43bd147
cast-vote-records	cast-vote-records-brief.html	ok	517262	196481	8eb54614e655713a	241	05df9f17148feaed
census	census-brief.html	ok	588632	202554	9942a7f54967204b	591	6c2b6eea6c4fff40
census-api	census-api-brief.html	ok	440162	129864	c6cb46385ccd1bff	217	42f2d638b49136af
census-geography	census-geography-brief.html	ok	667020	410827	11fed15a695d2882	224	29ff58f6887fa9cf
census-source	census-source-brief.html	ok	110497	75076	76ca4e12df4e0c8d	93	e9f4826468e7aeea
ces-class	ces-class-brief.html	ok	443930	147731	d7b6d45b75c8aaca	325	12c70204db56ba10
county-returns		NO RENDERED HTML	0			0	
data-sources	data-sources-brief.html	ok	468976	148018	bbc6939559a410ab	325	7065d3e30f75e71e
demographics	demographics-brief.html	ok	688604	337660	fbef859c1d627868	594	339661e583f7e420
disenfranchisement	disenfranchisement-brief.html	ok	420961	108757	0c32e1f960cb7f13	273	ba7ea0a47f3ba552
dw-nominate	dw-nominate-brief.html	ok	476807	274149	8af9676dd54f4031	352	b4e7e44e5f678b90
eavs	eavs-brief.html	ok	510584	182925	5d84f3002356ac50	394	4159ff3b7c6463bb
election-night	election-night-brief.html	ok	440055	129692	295fa5ca3f89e1f6	280	51024d2a6a604455
electoral-map	electoral-map-brief.html	ok	455418	152690	8c199c26397aeb5c	321	7013674557c74b93
false-matches	false-matches-brief.html	ok	471101	149961	b43e8ffa4860f4e6	349	59cc90fa7b9ffd83
finance-source	finance-source-brief.html	ok	129637	71157	ed663534fa31416e	67	512b7328d918762c
ga-precinct-returns	precincts-brief.html	ok	422023	113565	2a78e3bae201cedb	305	18abe54ebe2b3aa3
gotv	gotv-brief.html	ok	428803	123753	35253116e0ef9e11	251	5db1bb8215e37743
gss-confidence	gss-confidence-brief.html	ok	424821	114760	d1e239f172bfa16a	309	13cf0ad79aea63bb
historical-campaigns	historical-campaigns-brief.html	ok	434777	138930	10beabcee5d19cc2	333	730cbb070eb412ae
house-competition	house-competition-brief.html	ok	438919	121014	78255e14acff75ee	290	8123f309cd796766
ideology	ideology-brief.html	ok	190436	85356	b4a626a5e07aa0c8	165	a7e1f7ef6e6b0b9c
independent-expenditures	independent-expenditures-brief.html	ok	424171	124937	828e5c8c2aa5ad04	281	b6f5ef407811aacd
introduction	introduction-brief.html	ok	117903	78422	328c8e30c200bb70	70	d596986b22c581ef
jury-selection	jury-selection-brief.html	ok	438431	130950	677221bf32d30538	229	33e395a88aea10c4
levels-of-aggregation	levels-of-aggregation-brief.html	ok	482123	374371	a5c583a4309320e2	316	e5686e90e6b232dc
lobbying	lobbying-brief.html	ok	643364	290356	98d1de07b726ec3b	192	233a9451b29e5ae8
mapping	mapping-brief.html	ok	939020	581851	fa1262424b7300cc	351	ae6028da4214e904
media-attention	media-attention-brief.html	ok	609990	247552	214def1b21633a1a	319	64ba97cd92944a54
midterm-loss	midterm-loss-brief.html	ok	431443	133650	531044e9f6afb082	315	0a1372629abe1d0b
migration	migration-brief.html	ok	514881	359610	37ad084a4cba8752	347	b350abccaabe44fa
models-markets	models-markets-brief.html	ok	507146	185799	f2d5183930077cff	418	244d52ac87f32f04
officeholder-age	officeholder-age-brief.html	ok	497998	278085	953a7e03cd3afe2a	426	8e5026f3005ae971
party-id	party-id-brief.html	ok	205264	88167	b6a6febdcd28313a	151	d11fba6bb1c6b7ac
policing	policing-brief.html	ok	425068	120278	78f338f95465311c	219	6dedcce4d7f3e023
poll-simulation	surveys-brief.html	ok	439068	135877	64d34aba5f81f162	329	2d4841c8b4cbc58f
precinct-geography	precinct-geography-brief.html	ok	689324	305220	759e400adc9bfe51	463	77add48b422ce61c
primary-defeats	primary-defeats-brief.html	ok	499946	135398	dfd0f76950907c38	250	0ee7a0f9f65d2d57
redistricting	redistricting-brief.html	ok	462786	163053	3f7cba728ec9b54f	430	44942604ebf82200
redlining	redlining-brief.html	ok	587301	178056	8132d4e15832a0cd	352	3f3c6f6fd1fe95e3
regional-shift	regional-shift-brief.html	ok	439612	143356	eb37fc85de617112	495	270c5a75638474a9
residual-votes	residual-votes-brief.html	ok	812197	295968	64432af1fee942d2	223	c9ef85231d09b159
retirements	retirements-brief.html	ok	422363	116847	12bf91890c65d0a8	286	85c843f83ad35810
returns-source	returns-source-brief.html	ok	139115	70634	e23fc639f9818e84	75	d52f6c00e5ef567d
rollcalls-source	rollcalls-source-brief.html	ok	210454	78119	be39a6ee077bd227	109	7a22beda2e1c56d4
rpv	rpv-brief.html	ok	451966	162272	32e33d631a7e46fd	377	29acb899becfd133
scdb	scdb-brief.html	ok	485485	124722	6a7cccae2e93fe26	272	f78ace5d507b68b1
section-203	section-203-brief.html	ok	573971	354272	5c7f68abae0056e5	402	362c1da208648d86
surnames	surnames-brief.html	ok	488429	199491	df2aeb2182b81e84	341	714c03134b48b3ad
surveys	surveys-brief.html	ok	151327	84688	ff7cbc2f116cf94d	114	d9093d6028c5ec2d
surveys-source	surveys-source-brief.html	ok	426847	127426	2727d9d558cc555e	315	f082b03041378611
vote-dilution	vote-dilution-brief.html	ok	733022	338530	eb47aa1dd18342e6	468	92f64ce56fe986f8
vote-targeting	vote-targeting-brief.html	ok	438641	139457	320362a2139a7ee3	301	f6955551d50cb00f
voter-files	voter-files-brief.html	ok	425622	117237	31e60e0fd36d85ac	307	ade4d57d1af4b704
voter-files-source	voter-files-source-brief.html	ok	139546	80608	a5755961d03e0fcc	67	6d93f0f186b8d8f3
wind-map	wind-map-brief.html	ok	1558063	892109	c57571cc642d3c60	593	056be2b442384cb0
