lab	file	path	bytes	rows	cols	sha256	schema
abortion-opinion	by_ideology.csv	labs/abortion-opinion/data/by_ideology.csv	407	8	6	1a84ab4e1b6673e9	group|respondents|pct_1|pct_2|pct_3|pct_4
abortion-opinion	by_party.csv	labs/abortion-opinion/data/by_party.csv	359	7	6	d148b78757215dc8	group|respondents|pct_1|pct_2|pct_3|pct_4
abortion-opinion	gaps.csv	labs/abortion-opinion/data/gaps.csv	856	17	9	c4e842d13a49f6c2	year|dem_always|rep_always|ind_always|lib_always|con_always|notplaced_always|party_gap|ideology_gap
abortion-opinion	now.csv	labs/abortion-opinion/data/now.csv	277	4	5	55c53fadeb32890f	code|view|respondents|pct|year
abortion-opinion	overtime.csv	labs/abortion-opinion/data/overtime.csv	657	17	7	c44d2e8363ae4972	year|respondents|never|rape_incest_life|need_established|always|pct_missing
anes	awareness.csv	labs/anes/data/awareness.csv	209	2	5	7a08db0f04dcd48d	build|respondents|first_year|last_year|levels
anes	codes.csv	labs/anes/data/codes.csv	240	4	4	dae229416bd8af8c	cleaning|mean|n|error
anes	coverage.csv	labs/anes/data/coverage.csv	789	11	6	b0c5eb1a24d1e2b1	variable|first|last|studies|answers|label
anes	resentment.csv	labs/anes/data/resentment.csv	1037	36	4	118624aef08c6a91	year|party|resentment|n
anes	zaller.csv	labs/anes/data/zaller.csv	1594	30	5	eb24ba47c7941149	item|party|awareness|mean|n
apportionment	apportionment_2020.csv	labs/apportionment/data/apportionment_2020.csv	2167	50	6	9c5e1b31481728de	state|app_pop|seats|overseas|resident_pop|people_per_seat
areal-units	county_outline.csv	labs/areal-units/data/county_outline.csv	4725	302	3	93a4e506fa12622f	part|x|y
areal-units	dens_fulton.csv	labs/areal-units/data/dens_fulton.csv	16595	604	3	81a504efa57b9ea5	level|x|y
areal-units	dots_fulton.csv	labs/areal-units/data/dots_fulton.csv	69188	2658	3	5bebb38e23893929	kind|x|y
areal-units	facts.csv	labs/areal-units/data/facts.csv	5168	79	3	670c6e9cd6872483	name|value|note
areal-units	ga_block_race.csv	labs/areal-units/data/ga_block_race.csv	6980791	232717	6	39a41d5d0d3b88f4	GEOID20|pop|black_alone|black_any|vap|black_any_vap
areal-units	ladder_fulton.csv	labs/areal-units/data/ladder_fulton.csv	669	4	11	01acbd9e47210ede	level|units|median_pop|mean_share|sd_share|p10_share|p90_share|max_share|units_majority|pct_black_in_majority|corr_child
areal-units	ladder_state.csv	labs/areal-units/data/ladder_state.csv	721	4	11	43e4544d426c5267	level|units|median_pop|mean_share|sd_share|p10_share|p90_share|max_share|units_majority|pct_black_in_majority|corr_child
areal-units	map_units.csv	labs/areal-units/data/map_units.csv	1379178	57006	5	78885a0ddbe8214b	lev|uid|part|x|y
areal-units	map_vals.csv	labs/areal-units/data/map_vals.csv	473350	9860	7	679d44ffeddf0a1a	lev|uid|unit|pop|black|share|fill
areal-units	zoning_plan_geo.csv	labs/areal-units/data/zoning_plan_geo.csv	235843	8393	5	2915a6555afb8d2d	plan|unit|part|x|y
areal-units	zoning_plan_units.csv	labs/areal-units/data/zoning_plan_units.csv	1710	24	11	4d822db377b22153	plan|family|angle|unit|pop|black|share|bvap|pieces|pct_largest|fill
areal-units	zoning_summary.csv	labs/areal-units/data/zoning_summary.csv	18076	360	10	86d8fd71666c2af6	family|angle|n_majority|n_majority_bvap|min_share|max_share|spread|max_dev_pct|units_contig|largest_piece_pct
areal-units	zoning_sweep.csv	labs/areal-units/data/zoning_sweep.csv	87552	2160	7	55f98b834619cb8a	family|angle|unit|pop|black|share|bvap
bisg-check	houston_blocks.csv	labs/bisg-check/data/houston_blocks.csv	95153	3269	6	ccb83eebdb66cc74	GEOID20|white|black|hispanic|asian|aian
bisg-check	houston_voters.csv	labs/bisg-check/data/houston_voters.csv	1774689	49771	3	f9a8768f901af840	surname|race|GEOID20
campaign-finance	fec_candidates_2024.csv	labs/campaign-finance/data/fec_candidates_2024.csv	428320	3856	18	4517784d128287cb	cand_id|cand_name|office|office_st|office_district|ici|party|ttl_receipts|ttl_disb|indiv_contrib|pac_contrib|party_contrib|self_funding|cand_contrib|cand_loans|cash_on_hand|debts_owed_by|trans_from_auth
campaign-visits	ap_snapshots.csv	labs/campaign-visits/data/ap_snapshots.csv	121	2	5	13c9dbf6d64218c5	version|rows|last_event|states|rows_in_shared_window
campaign-visits	campaign_visits_2024.csv	labs/campaign-visits/data/campaign_visits_2024.csv	48223	377	11	cb8a7f082ac7eefa	date|city|county|state|postal|lat|long|fips|candidate|event_type|notes
campaign-visits	pres2024_states.csv	labs/campaign-visits/data/pres2024_states.csv	2713	51	10	1511f657f52d1c1a	state|abbrev|ev|harris|trump|other|winner|col|row|margin
cast-vote-records	official_rounds.csv	labs/cast-vote-records/data/official_rounds.csv	373	9	4	20d8efcc50eb514f	round|candidate|votes|pct
cast-vote-records	official_transfers.csv	labs/cast-vote-records/data/official_transfers.csv	361	9	3	85007444f2434a7b	eliminated|transferred_to|ballots
cast-vote-records	sequences.csv	labs/cast-vote-records/data/sequences.csv	66565	926	6	1840613b15011395	ballots|rank1|rank2|rank3|rank4|rank5
census	pl94171_counties.csv	labs/census/data/pl94171_counties.csv	68748	503	27	98337a6a29da30d6	fips|county|state|total|one_race|white|black|aian|asian|nhpi|other_race|two_or_more|hispanic|not_hispanic|nh_white|nh_black|nh_aian|nh_asian|nh_nhpi|nh_other|nh_two|gq_total|gq_correctional|gq_juvenile|gq_nursing|gq_college|gq_military
census-api	api_geography.csv	labs/census-api/data/api_geography.csv	3924	96	2	caedcf64e0f38232	level|name
census-api	api_variables.csv	labs/census-api/data/api_variables.csv	61021	338	3	7c4af7c672c31d7f	variable|label|concept
census-geography	chain.csv	labs/census-geography/data/chain.csv	326	5	7	45c523a943b8add9	level|digits|geoid|lev|name|id_digits|uid
census-geography	facts.csv	labs/census-geography/data/facts.csv	1360	23	3	96605aaf2059eb08	name|value|note
census-geography	levels.csv	labs/census-geography/data/levels.csv	534	7	6	934952745c6076ba	geography|count|id_length|id_encodes|nests_into|median_sq_mi
census-geography	map_ids.csv	labs/census-geography/data/map_ids.csv	145497	3433	5	3e89a4e8d226f7ff	lev|uid|geoid|name|pop
census-geography	map_units.csv	labs/census-geography/data/map_units.csv	941611	43563	5	cba14721269f8f7d	lev|uid|part|x|y
census-geography	nesting.csv	labs/census-geography/data/nesting.csv	215	4	4	92bc8cc7d0e425df	test|result|n_pass|n_total
census-geography	splits.csv	labs/census-geography/data/splits.csv	366	3	7	554010bc876c0b64	overlay|role|units|tracts_total|tracts_split|source|pct_split
census-geography	tract_split.csv	labs/census-geography/data/tract_split.csv	917	38	5	51f0f095abc8dd33	geoid|uid|split_bg|split_place|split_zcta
census-source	acs.csv	labs/census-source/data/acs.csv	331	6	3	e9d52144ad635770	quantity|value|unit
census-source	consistency.csv	labs/census-source/data/consistency.csv	293	4	3	4e581953b83d8e9b	check|violations|of
census-source	granularity.csv	labs/census-source/data/granularity.csv	434	8	3	9fba648da564ef91	quantity|value|unit
census-source	instruments.csv	labs/census-source/data/instruments.csv	964	6	4	90362dc1463bae48	question|decennial|acs|estimates
census-source	populations.csv	labs/census-source/data/populations.csv	384	3	3	82f9a5af080402f8	population|value|what_it_is_for
ces-class	ces2024_benchmarks.csv	labs/ces-class/data/ces2024_benchmarks.csv	1547	39	6	b6f91b3efc70a56b	variable|code|category|n|pct_unweighted|pct_weighted
ces-class	class_responses_EXAMPLE.csv	labs/ces-class/data/class_responses_EXAMPLE.csv	1405	133	2	88d88e3aa9535070	variable|code
county-returns	crosscheck_ap_2024.csv	labs/county-returns/data/crosscheck_ap_2024.csv	2000	51	7	9968d589dda9c735	state_postal|fips_state|votes_dem|votes_gop|total_votes|certified|provider
county-returns	crosscheck_ap_counties_2024.csv	labs/county-returns/data/crosscheck_ap_counties_2024.csv	128386	3113	7	1b318ef4b8cbce1a	state_postal|county_fips|county_name|votes_dem|votes_gop|total_votes|level
county-returns	provenance.csv	labs/county-returns/data/provenance.csv	23915	34	8	817ff71656730941	state|year|url|fetched_on|format|rows|certified|notes
county-returns	AK_2020.csv	labs/county-returns/data/states/AK_2020.csv	2037	41	6	ca7b1da6bbd3a1e1	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	AK_2024.csv	labs/county-returns/data/states/AK_2024.csv	2032	41	6	60d17cce4c49316f	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	AL_2020.csv	labs/county-returns/data/states/AL_2020.csv	3590	67	6	113284b68a622e35	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	AL_2024.csv	labs/county-returns/data/states/AL_2024.csv	3586	67	6	6450d01ee6b3df23	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	CA_2020.csv	labs/county-returns/data/states/CA_2020.csv	3445	58	6	247760b59dfba1f4	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	CA_2024.csv	labs/county-returns/data/states/CA_2024.csv	3440	58	6	38dd9748a012fe09	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	DC_2020.csv	labs/county-returns/data/states/DC_2020.csv	504	8	6	ddf088d8947636f0	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	DC_2024.csv	labs/county-returns/data/states/DC_2024.csv	504	8	6	1bcdf217b1c0936e	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	DE_2020.csv	labs/county-returns/data/states/DE_2020.csv	247	3	6	32361fe07a6079c5	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	DE_2024.csv	labs/county-returns/data/states/DE_2024.csv	247	3	6	97e4e192029ed44f	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	FL_2020.csv	labs/county-returns/data/states/FL_2020.csv	3699	67	6	52b2f273275ba08f	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	FL_2024.csv	labs/county-returns/data/states/FL_2024.csv	3699	67	6	f6368eb8571588a0	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	GA_2020.csv	labs/county-returns/data/states/GA_2020.csv	8282	159	6	3a886ff340495ff0	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	GA_2024.csv	labs/county-returns/data/states/GA_2024.csv	8292	159	6	04788dac1d170b94	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	HI_2020.csv	labs/county-returns/data/states/HI_2020.csv	311	4	6	ed75702516ea903c	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	HI_2024.csv	labs/county-returns/data/states/HI_2024.csv	311	4	6	e9fc9713bfed9db9	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	ID_2020.csv	labs/county-returns/data/states/ID_2020.csv	2233	44	6	0107ea189efe80c5	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	ID_2024.csv	labs/county-returns/data/states/ID_2024.csv	2235	44	6	3b0875bea5ed4936	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
county-returns	IL_2020.csv	labs/county-returns/data/states/IL_2020.csv	4150	102	6	2598fa7307c74491	state_name|county_fips|county_name|votes_dem|votes_gop|total_votes
