"year","men","women","n_men","n_women","gap"
1972,28.45,29.72,776,762,1.27
1973,17.73,25.82,660,771,8.09
1974,31.06,29.93,653,749,-1.13
1975,28.09,24.84,661,812,-3.25
1976,27.72,32.32,665,826,4.6
1977,26.89,28.75,684,829,1.86
1978,18.86,21.93,633,884,3.07
1980,21.81,20.91,636,820,-0.9
1982,18.47,23.34,769,1069,4.87
1983,19.77,20.49,682,898,0.72
1984,7.2,17.59,591,852,10.39
1985,6.98,11.28,678,834,4.3
1986,3.29,17.56,613,845,14.27
1987,6.33,15.1,769,1025,8.77
1988,3.84,13.36,636,840,9.52
1989,-4.55,13.48,654,865,18.03
1990,-4.68,7.46,596,760,12.14
1991,-8.19,6.77,624,873,14.96
1993,0.91,10.25,672,908,9.34
1994,3.05,10.99,1241,1658,7.94
1996,-4.45,15.6,1264,1591,20.05
1998,2.39,15.92,1195,1565,13.53
2000,-2.09,15.83,1200,1557,17.92
2002,-0.08,13.4,1185,1496,13.48
2004,2.46,11.17,1260,1511,8.71
2006,1.99,12.5,1949,2470,10.51
2008,11.28,17.05,897,1075,5.77
2010,5.25,19.77,858,1121,14.52
2012,8.98,14.87,842,1064,5.89
2014,6.22,15.67,1093,1357,9.45
2016,5.21,19.16,1218,1545,13.95
2018,-2.98,11.82,999,1239,14.8
2021,8.08,20.28,1661,2153,12.2
2022,-7.42,11.74,1561,1826,19.16
2024,-6.42,7.56,1417,1754,13.98
