"check","passed"
"the Stata file is where this script expects it",TRUE
"the whole cumulative file arrived, not one wave",TRUE
"every row carries the weight this chapter uses",TRUE
"the newer item covers a small minority of the file",TRUE
"the series is continuous enough to draw",TRUE
"no year rests on fewer than a hundred of either",TRUE
"both series move in the same direction across the series",TRUE
"the gap is wider at the end than at the start",TRUE
"the 1970s gap is small and the 2020s gap is not",TRUE
"the marriage split among women is not smaller than the sex gap that year",TRUE
