"year","married_women","unmarried_women","married_men","unmarried_men"
1972,25.9,37.42,25.08,37.48
1973,20.14,38.32,14.05,25.94
1974,27.96,34.23,26.95,40.46
1975,20,33.65,23.8,37.99
1976,33.27,30.36,25.77,31.42
1977,26.07,33.43,25.54,29.74
1978,17.33,29.04,13.64,30.6
1980,21.03,20.73,21.01,23.45
1982,20.76,27.17,12.47,29.67
1983,14.58,28.51,13.91,30.8
1984,4.98,36.37,14.1,-3.89
1985,3.3,22.03,5.87,8.95
1986,13.62,23.01,8.72,-5.89
1987,14.58,15.79,4.9,8.74
1988,6.44,22.56,4.32,3.03
1989,1.44,28.88,0.04,-12.31
1990,1.83,14.45,-6.13,-2.14
1991,2.91,11.89,-11.46,-3.07
1993,4.93,17.02,-2.61,6.92
1994,1.17,23.82,1.32,5.75
1996,3.49,30.3,-9.18,2.87
1998,6.75,27.55,-6.27,14.59
2000,8.07,25.69,-8.73,7.02
2002,1.69,28.04,-4.44,6.67
2004,-1.12,26.74,-8.71,17.6
2006,0.2,25.86,-7.22,13.44
2008,3.79,31.01,3.89,19.77
2010,8.92,30.44,-3.85,15.76
2012,-0.93,30.73,-4.77,23.25
2014,1.94,28.63,-3.5,16.97
2016,8.9,29.38,-5.49,16.13
2018,-1.36,25.1,-9.02,3.02
2021,8.32,30.36,-0.03,17.94
2022,-1.39,23.28,-13.46,-0.11
2024,-5.39,19.08,-9.09,-2.48
