"key","value","note"
"src_rows","75699","respondents in the GSS cumulative file"
"first_year","1972","first survey year in it"
"last_year","2024","and the most recent"
"sexnow_answers","7455","respondents ever asked the newer sex/gender item"
"sexnow_years","2021-2022","the years in which it was asked at all"
"n_used","73696","respondents with both a sex and a party identification"
"n_dropped_other","1375","who named another party and are not in either series"
"n_years","35","survey years with enough of both to report"
"men_first","28.45","men's net Democratic identification in the first year"
"women_first","29.72","women's, in the same year"
"gap_first","1.27","the gap between them then"
"men_last","-6.42","men's net Democratic identification in the most recent year"
"women_last","7.56","women's"
"gap_last","13.98","and the gap now"
"men_move","-34.87","how far men moved across the series"
"women_move","-22.16","how far women moved"
"faster_side","men","which side moved further"
"move_ratio","1.57","how many times as far that side moved"
"gap_1970s","2.1","the average gap in the 1970s"
"gap_2020s","15.1","and in the 2020s"
"gap_max","20.05","the widest gap in any single year"
"gap_max_year","1996","the year it happened"
"marital_years","35","years where all four marital cells clear the size floor"
"unmarried_women_last","19.08","unmarried women's net Democratic identification, most recent year"
"married_women_last","-5.39","married women's"
"marriage_gap_last","24.47","the gap between them"
"sex_gap_same_year","13.98","the gap between women and men in that same year"
